id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	Maxnum	cardId	needNum	fusion	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
670101001	67	671	5	-1	523	0	6:goods_icon_670101001	301	4199006	100		6401001	10	1	1	布脑斧的基因	布腦斧的基因	Tiger Plushie's Gene	布老虎の遺伝子	도끼눈냥 유전자	ยีนของแมวลายเสือ	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101002	67	671	5	-1	523	0	6:goods_icon_670101002	301	4199006	100		6401002	10	1	1	鬼马精灵的基因	鬼馬精靈的基因	Imp's Gene	小悪魔の遺伝子	고스트냥 유전자	ยีนของแฟนธอมแคท	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101003	67	671	5	-1	523	0	6:goods_icon_670101003	301	4199006	100		6401003	10	1	1	猫老大的基因	貓老大的基因	Top Cat's Gene	おかしらニャンコの遺伝子	냥보스 유전자	ยีนของลูกพี่เหมียว	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101004	67	671	5	-1	523	0	6:goods_icon_670101004	301	4199006	100		6401004	10	1	1	姜饼驯鹿的基因	姜餅馴鹿的基因	Rudie's Gene	赤い鼻の猫の遺伝子	진저루돌프 유전자	ยีน​ของ​เรนเดียร์​จิน​เจอร์​	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101005	67	671	5	-1	523	0	6:goods_icon_670101005	301	4199006	100		6401005	10	1	1	猫咪教父的基因	貓咪教父的基因	Whisker Don's Gene	ゴッドファーザーの遺伝子	냥신부님 유전자	ยีนของแคทฟาเธอร์	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101006	67	671	5	-1	523	0	6:goods_icon_670101006	301	4199006	100		6401006	10	1	1	混血王子的基因	混血王子的基因	Bookworm's Gene	猫の王子様の遺伝子	왕자님냥 유전자	ยีนของเจ้าชายเลือดผสม	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101007	67	671	5	-1	523	0	6:goods_icon_670101007	301	4199006	100		6401007	10	1	1	武林霸喵的基因	武林霸喵的基因	Little Warrior's Gene	争覇武林の遺伝子	무림고수냥 유전자	ยีนของแคทมาสเตอร์	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101008	67	671	5	-1	523	0	6:goods_icon_670101008	301	4199006	100		6401008	10	1	1	恐龙幼崽的基因	恐龍幼崽的基因	Baby Dino's Gene	ダイニャソーの遺伝子	아기공룡냥 유전자	ยีนของไดโนคิตตี้	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
670101009	67	671	4	-1	523	0	6:goods_icon_670101009	301	4199006	100		6401009	10	1	1	努力猫猫的基因	努力貓貓的基因	Go-Getter's Gene	サラリーニャンの遺伝子	수험생냥 유전자	ยีนของเหมียวจอมมุ่งมั่น	指定猫球的升星道具	指定貓球的升星道具	Star-up item for a specific Cato.	指定ガトの昇格用素材	지정 냥냥볼 승급 아이템	ไอเทม​เพิ่ม​ดาว​ของ​แค​ทบ​อล​ที่​กำหนด​	将猫球的基因浓缩进了独立立方体芯片中。	將貓球的基因濃縮進了獨立立方體晶片中。	A cubic chip infused with the concentrated essence of Cato's genetic material.	ガトの遺伝子を凝縮したキューブチップ。	냥냥볼의 유전자를 독립 큐브 칩에 농축했다.	ทำ​การสกัด​ยีน​ของ​แค​ทบ​อลลง​ใน​ชิป​ทรง​ลูกบาศก์​
