incidentId	region	npcPicture	desc2	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc1	desc1_zh_TW	desc1_en_UK	desc1_ja_JP	desc1_ko_KR	desc1_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1		1	1	奇怪的猫咪	奇怪的貓咪	Peculiar Cat	変な猫	이상한 고양이	แมวเหมียวประหลาด	十字路口，一只浑身乌黑的猫咪正直勾勾地看向我们......	十字路口，一隻渾身烏黑的貓咪正直勾勾地看向我們......	At the intersection, a mysterious black cat locks its gaze on us...	交差点の手前で、一匹の漆黒の猫がこちらをまっすぐ見つめている……	사거리에서 검은 고양이 한 마리가 우리를 보고 있다…	ทางแยก​ แมว​ตัว​หนึ่ง​ที่​มี​ดำ​สนิท​ทั้งตัว​จับ​จ้องมอง​มา​ที่​พวกเรา​...​
2	1		2	1	夜行者	夜行者	Night Wanderer	夜をゆく者	밤 거리를 배회하는 행인	ผู้เดินทางยามค่ำคืน	路过昆士区商业街时，一阵打斗声吸引了我的注意....	路過昆士區商業街時，一陣打鬥聲吸引了我的注意....	While passing through Quince Commercial Street, the sound of a scuffle catches my attention...	コンシ区の商店街を通りかかっているところ、争うような声が聞こえた……	퀸즈 타운 상점가를 지나갈 때, 싸우는 소리가 들리고 있어서 궁금해졌다…	ขณะ​เดินผ่าน​ถนน​การค้า​ใน​เขต​ควินซ์​ ก็​เกิด​เสียง​ต่อสู้​ดัง​ขึ้น​ดึงดูด​ความสนใจ​ของ​ฉัน​...​
3	1		3	1	拉面店传闻	拉麵店傳聞	Ramen Shop Tales	ラーメン屋の噂	라면 가게 소문	ข่าวลือร้านราเมง	传闻有家只在凌晨营业的拉面店，顾客会极度走运或不幸。我恰好走到这家店附近。	傳聞有家只在淩晨營業的拉麵店，顧客會極度走運或不幸。我恰好走到這家店附近。	There's a rumor about a ramen shop that only opens in the early morning, where customers either encounter great fortune or misfortune. Coincidentally, I find myself near this establishment.	噂によると、深夜だけ営業するラーメン屋があって、そこで金を落とした者は極端な強運を、もしくは不幸を引き寄せてしまうという。奇しくも、今自分はちょうどその店の付近にいる。	새벽에만 영업한다는 라면 가게, 손님은 엄청나게 운이 좋아질 수도 있고, 나빠질 수도 있다. 다행히 나는 이 가게 근처에 산다	มี​ข่าวลือ​ว่า​มี​ร้า​นรา​เม​ง​ที่​เปิด​เฉพาะตอน​เช้ามืด​ ลูกค้า​ของ​ร้าน​นี้​จะ​พบ​กับ​โชคดี​หรือไม่​ก็​โชคร้าย​แบบ​สุด​ๆ​ และ​ฉัน​ก็​บังเอิญ​เดิน​มา​แถว​ ๆ​ ร้าน​นั้น​พอดี​
4	2		4	1	店主的感谢	店主的感謝	Grateful Shopkeeper	店長からのお礼	점주의 감사	คำขอบคุณ​จาก​เจ้าของร้าน​	去深夜食堂解决了一次食品傀化事件，店主拿出一些食物来感谢我们，却被店员阻止了……	去深夜食堂解決了一次食品傀化事件，店主拿出一些食物來感謝我們，卻被店員阻止了……	We handle an outbreak of Affliction at a late-night eatery, and the shopkeeper tries to express his gratitude by offering us some food, but the staff intervenes...	深夜営業の食堂で食品の傀化事件を解決した後、店主はお礼としてご馳走を振る舞おうとしたが、それを店員に止められた。	심야식당에 갔다가 음식 퍼펫화 사건을 해결했다. 점주가 맛있는 음식을 우리에게 대접하려고 했지만, 점원이 말렸다…	ไป​ที่​ร้านอาหาร​ยามดึก​เพื่อ​จัดการ​เรื่อง​อาหาร​กับ​สภาวะ​หุ่นเชิด​ เจ้าของร้าน​นำ​อาหาร​ออกมา​ขอบคุณ​เรา​ แต่กลับ​ถูก​พนักงาน​ร้าน​ห้าม​เอาไว้​...​
5	2		5	1	阵法推演	陣法推演	Formation Analysis	陣法の推衍	워프 포인트 시뮬레이션	จำลองการจัดทีม	靠近花园街时，有一种古怪的感觉……	靠近花園街時，有一種古怪的感覺……	As I approach Garden Street, an unsettling feeling creeps over me...	ガーデンストリートに近づくと、変な感覚がした……	가든 스트리트에 갔을 때, 뭔가 이상한 느낌이 들었다…	เมื่อ​เข้าใกล้​ถนน​การ์​เด้​น​ ก็​รู้สึก​ถึง​ความ​แปลกประหลาด​บางอย่าง​...​
6	2		6	1	集装箱上的醉汉	集裝箱上的醉漢	Drunkard on the Container	コンテナの上の酔漢	콘테이너 위의 취객	ชาย​ขี้เมา​บน​ตู้​คอนเทนเนอร์​	突然看见一名人类醉汉睡在集装箱顶部，吊车的机械臂眼看就要伸向那里……	突然看見一名人類醉漢睡在集裝箱頂部，吊車的機械臂眼看就要伸向那裡……	Suddenly, we spot a drunken man sleeping on top of a container, with the mechanical arm of a crane dangerously close to reaching him...	ふいに視界に入ったのは、コンテナの上で熟睡している人間の酔っ払いだった。ちょうどその時、クレーンのアームがそこへ伸ばそうとしているところだった……	한 취객이 콘테이너 위에서 잠들어 있는 것을 발견했는데, 마침 크레인이 그 콘테이너를 잡으려고 한다…	จู่ๆ​ ก็​เห็น​ชาย​ขี้เมา​เผ่า​มนุษย์​คน​หนึ่ง​หลับ​อยู่​บน​ตู้​คอนเทนเนอร์​ แขน​กล​ของ​เครน​ดูเหมือน​จะ​ยื่น​ไป​ถึง​ตรงนั้น​แล้ว​...​
7	3		7	1	味蕾盛宴	味蕾盛宴	Feast of Flavors	味覚のカーニバル	맛의 향연	เทศกาลรสชาติ	熟悉的拐角处，夜市的烟火气为寂寥深夜铺上喧嚣暖色……	熟悉的拐角處，夜市的煙火氣為寂寥深夜鋪上喧囂暖色……	Upon reaching a familiar bend, the night market illuminates the tranquil night with its vibrant energy...	見慣れた街角にて、屋台街の雑踏は紺碧の夜を暖かい色に染め上げる……	익숙한 길을 돌아가면, 야시장의 불빛이 쓸쓸한 밤을 활기차게 만들어주고 있다…	มุม​ที่​คุ้นเคย​ บรรยากาศ​ของตลาด​กลางคืน​ทำให้​ค่ำคืน​ที่​เงียบเหงา​กลับมา​มีชีวิตชีวา​ด้วย​เสียง​อัน​ครึกครื้น​...​
8	3		8	1	警惕诈骗	警惕詐騙	Scam Warning	詐欺に注意	사기 조심	ระวังการหลอกลวง	穿着讲究的男子蹲坐在古董拍卖行旁痛哭流涕，难道是没拍到想要的拍品？	穿著講究的男子蹲坐在古董拍賣行旁痛哭流涕，難道是沒拍到想要的拍品？	A well-dressed gentleman is huddled near the Antique Auction House, shedding tears. Perhaps he missed out on an item he desired?	オークションハウスの傍らに、こぎれいな身だしなみをしている男がっ膝を抱えて号泣している。ひょっとして、競売でほしい商品を逃したのだろうか？	세련된 옷을 입은 남자가 골동품 경매장 옆에서 울고 있다, 원하는 물건을 구하지 못한 건가?	ชาย​ที่​แต่งตัว​ดูดี​นั่ง​ร้องไห้​น้ำมูก​โป่ง​อยู่​ข้าง​หอ​ประมูล​โบราณวัตถุ​ หรือ​จะ​ประมูล​ของ​ที่​ต้องการ​มา​ไม่​ได้​นะ​?​
9	3		9	1	命理之说	命理之說	Words of Destiny	運命は語る	사주팔자	คำสอนแห่งโชคชะตา	一位身着长褂、戴着墨镜的男人拦住了我们的去路，他自称算命先生……	一位身著長褂、戴著墨鏡的男人攔住了我們的去路，他自稱算命先生……	A man in a long coat and sunglasses intercepts us, claiming to be a fortune teller...	伝統的な服装を着てサングラスをかけた男が私たちの行く手を遮り、占い師をしていると自己紹介した……	긴 외투를 입고 선글라스를 쓴 남자가 우리의 길을 막았는데, 자칭 점쟁이라고 한다…	ชาย​คน​หนึ่ง​ที่​สวม​ชุด​คลุม​ยาว​และ​สวม​แว่นกันแดด​ได้​ขวางทาง​เรา​เอาไว้​ โดย​เขา​เรียก​ตัวเอง​ว่า​เป็น​หมอดู​...​
