id	activetyId	chapter	type	unlockPoint	unlockPlot	regionId	plotImage	fristRewards	fristRewardsNum	showItem	showItemTag	showItemNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	plotDesc	plotDesc_zh_TW	plotDesc_en_UK	plotDesc_ja_JP	plotDesc_ko_KR	plotDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10101	1	101	1	0	0	12150101	152:christmas_point_cd_pic_0	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	冬日之歌	冬日之歌	Winter's Song	冬の唄	겨울의 노래	บทเพลงฤดูหนาว	十二月，冰雪节如期而至！由超级偶像特莉丝和艾琳娜开启的冰雪音乐节，即将在万众瞩目中正式亮相。然而，危险早已潜伏在了舞台附近……	十二月，冰雪節如期而至！由超級偶像特莉絲和艾琳娜開啟的冰雪音樂節，即將在萬眾矚目中正式亮相。然而，危險早已潛伏在了舞台附近……	December is here, bringing with it the much-anticipated Snow Festival! The Snow Music Gala, hosted by superstar idols Triss and Erina, is about to make its dazzling debut. But danger lurks just off-stage...	十二月、雪まつりの季節がやって来た！スーパーアイドル・トリスとエリナが主役となる「氷雪音楽祭」が衆目を集めている中、危険はステージのすぐそばまで忍び寄っている…...	눈꽃축제가 예정대로 도래했다! 슈퍼 아이돌 트리스와 에리나가 주최하는 눈꽃축제 음악제가 곧 대중의 주목을 받으며 정식으로 데뷔할 예정입니다. 하지만, 위험은 이미 무대 근처에 잠복하고 있었으니...	เทศกาล​หิมะ​มาถึง​แล้ว​!​ เทศกาล​ดนตรี​หิมะ​ที่​เปิด​โดย​ซูเปอร์​ไอดอล​ท​ริ​ส​และ​เอ​ริ​นา​ กำลังจะ​เปิดตัว​ท่ามกลาง​ความสนใจ​ของ​ผู้คน​ แต่​อันต​รายได้​แฝงตัว​อยู่​แถว​เวที​แล้ว​...​
10102	1	101	1	100	10101	12150102	152:christmas_point_cd_pic_1	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	冰雪的邂逅	冰雪的邂逅	A Frozen Encounter	氷雪との邂逅	눈얼음의 만남	การ​พบ​หน้า​ของ​หิมะ​น้ำแข็ง​	和小白一同出门购置冰雪主题装饰，正沉浸在冰雪节的氛围之时，却意外撞上了声称“在追踪坏人”的艾琳娜！	和小白一同出門購置冰雪主題裝飾，正沉浸在冰雪節的氛圍之時，卻意外撞上了聲稱“在追蹤壞人”的艾琳娜！	You head out with Shiro to pick up some frosty decorations for the festival. Caught up in the holiday cheer, you run into Erina, who says she's "on the trail of a criminal."	シロと一緒に雪まつりの飾り物を買いに出かけ、すっかり雪まつり気分になっていた調査官は、「悪者を追っている」と息巻くエリナとばったり鉢合わせしてしまう。	눈꽃축제 테마 장식을 사러 나간 화이트가와 함께할 때, 눈꽃축제의 분위기에 푹 빠져 있는 중에, 나쁜 사람을 추적 중이라고 주장하는 에리나와 우연히 마주쳤다!	คุณ​ออก​ไป​ซื้อ​ของ​ตกแต่ง​ธีม​หิมะ​กับ​ชิ​โระ​ และ​กำลัง​ดื่มด่ำ​กับ​บรรยากาศ​เทศกาล​หิมะ​ แต่กลับ​บังเอิญ​ชน​เอ​ริ​นา​ที่​บอ​กว่า​ "​กำลัง​ไล่ตาม​คนร้าย​"!​
10103	1	101	1	200	10102	12150103	152:christmas_point_cd_pic_2	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	追踪进行中！	追蹤進行中！	Chase On!	追跡中！	추적 진행 중!	กำลังตามรอย!	艾琳娜告诉调查官，冰雪节舞台遭到不明人员和野兽的破坏，艾琳娜追踪的目标正是嫌疑人。在安雅和米娅的协助下，追踪调查，正式开启！	艾琳娜告訴調查官，冰雪節舞台遭到不明人員和野獸的破壞，艾琳娜追蹤的目標正是嫌疑人。在安雅和米婭的協助下，追蹤調查，正式開啟！	Erina informs you that the Snow Festival stage has been vandalized by unknown assailants and a mysterious beast. The suspect is the very target she's chasing. With Anja and Mia by your side, the investigation begins!	エリナによれば、音楽祭のステージは野獣と何者かによって荒らされてしまい、彼女はその犯人を追っている最中だという。アンヤとミーヤの協力を得て、追跡と調査が本格的に始まる。	에리나는 조사관에게 눈과 얼음 축제 무대가 신원 불명의 사람들과 야수에 의해 파괴되었다고 말했다. 에리나가 추적하는 대상은 바로 용의자였다. 아냐와 미아의 도움으로 추적 조사가 정식으로 시작되었다!	เอ​ริ​นา​บอก​ผู้ตรวจการ​ว่า​เวที​เทศกาล​หิมะ​ถูก​คน​และ​สัตว์ป่า​ที่​ไม่​รู้จัก​ทำลาย​ เป้าหมาย​ที่​เอ​ริ​นา​ตาม​คือ​ผู้ต้องสงสัย​ ด้วย​ความช่วยเหลือ​ของ​อัน​ยา​และ​มี​อา​ การ​ติดตาม​สืบสวน​จึง​เริ่ม​ขึ้น​อย่าง​เป็นทางการ​!​
10104	1	101	2	300	10103	12150104	152:christmas_point_cd_pic_3	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	少女与野兽	少女與野獸	The Girl and the Beast	少女と野獣	소녀와 야수	สาวน้อยกับสัตว์ป่า	嫌疑人混进了冰艺大赛的赛场内，正在调查陷入困境时，一场意外却让嫌疑人主动现身——这位与野兽为伍的猫族女孩，名叫雪莉。	嫌疑人混進了冰藝大賽的賽場內，正在調查陷入困境時，一場意外卻讓嫌疑人主動現身——這位與野獸為伍的貓族女孩，名叫雪莉。	The suspect has vanished into the Ice Sculpture Competition! As the probe stalls, a twist emerges, forcing the suspect out of hiding. It's Sherry, a Felinian girl, with a troupe of wild beasts by her side.	犯人は、氷彫刻大会の会場内に紛れ込んでいた。捜査が行き詰まりかけたその時、ひょんな事がきっかけで、犯人が自ら姿を現す。野獣たちと行動を共にするそのフェリニアンス少女の名は──シェリー。	용의자는 얼음 예술 대회 경기장 안으로 숨어들었고, 조사가 난관에 부딪혔을 때, 우연히 발생한 사건이 용의자가 자발적으로 모습을 드러내게 했다 — 이 야수와 함께 다니는 캣족 소녀, 그녀의 이름은 셀리였다.	ผู้ต้องสงสัย​แทรกตัว​เข้าไป​ใน​สนาม​แข่ง​ศิลปะ​น้ำแข็ง​ ขณะที่​การสืบสวน​ไม่​ราบรื่น​นัก​ อุบัติเหตุ​กลับ​ทำให้​ผู้ต้องสงสัย​ปรากฏตัว​ออกมา​—​ เด็กสาว​เผ่า​แมว​ที่อยู่​กับ​สัตว์ป่า​มี​ชื่อว่า​เชอร์รี​
10105	1	101	1	400	10104	12150105	152:christmas_point_cd_pic_4	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	手中失落之物	手中失落之物	The Lost Thing	掌からこぼれ落ちる物	잃어버린 물건	สูญหายไปจากมือ	背后主谋突然出现并带走了雪莉，失去线索的众人商议安置好雪莉的动物伙伴后继续追查。但躁动不安的动物似乎在空气中嗅到了雪莉的去向……	背後主謀突然出現並帶走了雪莉，失去線索的眾人商議安置好雪莉的動物夥伴後繼續追查。但躁動不安的動物似乎在空氣中嗅到了雪莉的去向……	Suddenly, the mastermind whisked Sherry away. With the lead lost, your team opts to guard her animal friends before resuming the hunt. Yet, the restless creatures seem to catch her scent on the breeze.	黒幕が突然姿を現し、シェリーを連れ去ってしまう。手がかりを失った一行は、まずシェリーの動物仲間たちの行き先を確保してから、捜査を続けることに。しかし、不安げに落ち着かない動物たちは、どうやら空気の中からシェリーの行方を嗅ぎ取っているようで……	배후의 주모자가 갑자기 나타나 셀리를 데려가자, 단서를 잃은 이들은 셀리의 동물 친구들을 잘 돌보기로 하고 계속해서 추적하기로 했다. 그러나 불안해하는 동물들은 공기 중에서 셀리의 행방을 느낀 듯 했다…	ผู้อยู่เบื้องหลัง​โผล่​ออกมา​อย่าง​กะทันหัน​และ​พา​ตัว​เชอร์รี​ไป​ เมื่อ​สูญเสีย​เบาะแส​ ทีม​จึง​จึง​ปรึกษา​กัน​เพื่อ​จัดการ​กับ​สัตว์​คู่หู​ของ​เชอร์รี​ก่อน​จะ​ออก​ติดตาม​ต่อ​ แต่​สัตว์​ตัว​นั้น​เหมือน​จะ​ได้กลิ่น​ของ​เชอร์รี​...​
10106	1	101	2	500	10105	12150106	152:christmas_point_cd_pic_5	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	危机初现	危機初現	Danger Emerges	危機の暗流	위기와 첫대면	วิกฤตแรกปรากฏ	在动物们的帮助下，众人追踪到了烟花秀观景台，并在附近的通风管道外发现大面积拖拽痕迹。在通风管道的尽头，等待众人的是怎样的敌人呢？	在動物們的幫助下，眾人追蹤到了煙花秀觀景台，並在附近的通風管道外發現大面積拖拽痕跡。在通風管道的盡頭，等待眾人的是怎樣的敵人呢？	Guided by the animals, you reach the Fireworks Show's viewing platform. There, you spot significant drag marks near a vent. What secrets lie at the duct's end?	動物たちの手助けを受け、一行は花火ショーの観覧デッキへとたどり着く。その近くの換気ダクトの外側には、大きな「何か」が引きずられたような跡がくっきりと残っていた。ダクトの先で、彼らを待ち受けている「敵」とは──	동물들의 도움으로, 모두는 불꽃놀이 관람대를 추적해 찾아내고, 근처의 환기구 바깥에서 큰 끌려간 흔적을 발견했다. 환기구의 끝에서, 그들을 기다리는 적은 과연 무엇일까?	ด้วย​ความช่วยเหลือ​ของ​สัตว์​คู่หู​ ทุกคน​ตามรอย​มาถึง​จุด​ชม​ดอกไม้ไฟ​ และ​พบ​รอย​ลาก​ขนาดใหญ่​นอก​ท่อระบายอากาศ​ใกล้​ๆ​ ที่​ปลาย​ท่อระบายอากาศ​ จะ​มี​ศัตรู​แบบ​ไหน​รอ​อยู่​กัน​แน่​?​
10107	1	101	1	600	10106	12150107	152:christmas_point_cd_pic_6	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	陷入黑暗	陷入黑暗	Shrouded in Darkness	暗闇	어둠 속으로	จมสู่ความมืด	在烟花仓库，众人迎来操纵雪莉的幕后主使——蛇信。由于他的布置，仓库内无法使用情绪武装，众人寸步难行，米娅也在骚乱中走失……	在煙花倉庫，眾人迎來操縱雪莉的幕後主使——蛇信。由於他的佈置，倉庫內無法使用情緒武裝，眾人寸步難行，米婭也在騷亂中走失……	In the fireworks depot, you confront the puppeteer, Serpent's Tongue, orchestrating Sherry's moves. His schemes disable your Pathos Armament, leaving you exposed. Amidst the turmoil, Mia vanishes...	花火倉庫で、一行はシェリーを操っていた黒幕──バイパーと対峙する。彼の仕掛けにより、倉庫内ではエモーション武装が使用不能となり、一行の動きは封じられてしまう。混乱のさなか、ミーヤもまた行方不明になってしまった……	불꽃놀이 창고에서, 모두는 셀리를 조종하는 배후의 주모자, 바이퍼를 맞이했다. 그의 준비로 인해 창고 내에서는 감정 무기를 사용할 수 없게 되어 모두가 한 발짝도 움직일 수 없게 되었고, 미아는 소란 속에서 행방불명되었다…	ใน​โกดัง​ดอกไม้ไฟ​ ทุกคน​พบ​กับ​ "ลิ้นอสรพิษ"​ ผู้อยู่เบื้องหลัง​ที่​ควบคุม​เชอร์รี​ เขา​ได้​วางแผน​ไว้​ล่วงหน้า​ ทำให้​ไม่​สามารถ​ใช้​อาวุธ​พา​โธส​ได้​ ทุกคน​ถูก​จำกัด​การเคลื่อนไหว​ และ​ท่ามกลาง​ความวุ่นวาย​ มี​อา​ก็​พลัด​หลง​ไป​...​
10108	1	101	2	700	10107	12150108	152:christmas_point_cd_pic_7	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	彷徨的心结	彷徨的心結	A Troubled Heart	彷徨う心	방황하는 마음	ปมในใจที่สับสน	就在敌人准备发动总攻时，顺利找到逃跑通道的米娅却联合外面的伙伴，破坏了蛇信的计划。众人脱离了危险，但雪莉却陷入了更深的痛苦……	就在敵人準備發動總攻時，順利找到逃跑通道的米婭卻聯合外面的夥伴，破壞了蛇信的計畫。眾人脫離了危險，但雪莉卻陷入了更深的痛苦……	As the enemy prepares for an all-out attack, Mia finds an escape route and joins your allies outside, disrupting Serpent's Tongue's plan. Though you escape danger, Sherry falls deeper into despair…	絶体絶命のタイミングで、脱出ルートを見つけたミーヤが、外で待機していた仲間たちと連携してバイパーの計画を阻止した。一行はなんとか危機を脱するが、シェリーの心は、より深い闇の中へと沈んでいく……	적이 총공세를 준비할 때, 탈출 통로를 찾아낸 미아는 밖의 동료들과 함께 바이퍼의 계획을 파괴했다. 모두는 위험에서 벗어났지만, 셀리는 더 깊은 고통에 빠졌다…	ขณะที่​ศัตรู​กำลังจะ​โจมตี​ครั้งสุดท้าย​ มี​อา​ที่​หาทาง​หนี​เจอ​ก็​กลับ​ร่วมมือ​กับ​เพื่อน​ข้างนอก​ ทำลาย​แผน​ของ​ลิ้นอสรพิษ​ ทุกคน​รอด​พ้นอันตราย​ แต่​เชอร์รี​กลับ​จมดิ่ง​สู่​ความเจ็บปวด​...​
10109	1	101	1	800	10108	12150109	152:christmas_point_cd_pic_8	4190004;4190001;4199001	100;200;5	4190004;4190001;4199001	3;3;3	100;200;5	1	另一种选择	另一種選擇	Another Choice	もう一つの選択	또 하나의 선택	อีกทางเลือกหนึ่ง	雪莉描述了自己的经历——从小与动物相依为命，遭受人类的背叛……在众人的劝说下，雪莉挣脱了思想的束缚，而艾琳娜似乎也有所感悟呢？	雪莉描述了自己的經歷——從小與動物相依為命，遭受人類的背叛……在眾人的勸說下，雪莉掙脫了思想的束縛，而艾琳娜似乎也有所感悟呢？	Sherry unveils her backstory—a life reliant on animals, marred by human treachery... Touched by your compassion, she casts off the chains of her past. Even Erina is visibly moved by Sherry's tale.	シェリーは、自身の過去を語り始める。幼い頃から動物と寄り添って生きてきたこと、そして、人間に裏切られたこと……。皆の言葉に耳を傾けるうち、シェリーは少しずつ自分を縛っていた鎖を断ち切っていく。そしてその姿は、エリナの心にもある変化をもたらしたようだ。	셀리는 자신의 경험을 이야기했다 — 어릴 때부터 동물들과 엘리하며 살아왔고, 인류의 배신을 겪었다… 모두의 설득에 따라, 셀리는 생각의 구속에서 벗어났고, 에리나도 무언가를 깨달은 것 같았다.	เชอร์รี​เล่า​อดีต​ของ​ตน​—​ เธอ​เติบ​โตมา​กับ​เหล่าสัตว์​ ถูก​มนุษย์​ทรยศ​...​ ภายใต้​การโน้มน้าว​ของ​ทุกคน​ เชอร์รี​จึง​หลุดพ้น​จาก​พันธนาการ​ และ​ดูเหมือน​เอ​ริ​นา​จะ​ได้​บทเรียน​บางอย่าง​?​
