id	num	status	txt	txt_zh_TW	txt_en_UK	txt_ja_JP	txt_ko_KR	txt_th_TH
int	int	int	int	int	int	int	int	int
1	4	1						
2	3	1						
6	1	1						
7	20	1						
10	12	1						
12	3	1						
13	99	1						
14	40	1						
15	0.3	1						
16		1	深夜，人类的情绪容易处于脆弱的状态，因此暴风眼特别调查署建立了夜间巡逻机制，防止傀儡化事件发生	深夜，人類的情緒容易處於脆弱的狀態，因此暴風眼特別調查署建立了夜間巡邏機制，防止傀儡化事件發生	As the night deepens and human emotions become more fragile, the SEBI has implemented a Nightly Patrol to curb the spread of Affliction.	深夜は人間の感情が脆弱な状態になりやすいので、傀化事件を未然に防ぐために、ストームアイ特別調査署は夜間パトロールの仕組みを設けている。	깊은 밤에는 이모션이 불안정한 경우가 많으니 스톰아이 조사국에서는 야간 순찰을 통해 퍼펫화 사건이 방지하는 것을 막고 있다	ใน​ยามดึก​ พา​โธส​ของ​มนุษย์​ตก​อยู่​ใน​สภาวะ​ที่​เปราะบาง​ได้​ง่าย​ ด้วยเหตุนี้​สำนัก​ตรวจสอบ​พิเศษ​ของ​สตอร์ม​อาย​จึง​ได้​จัดตั้ง​ระบบ​ลาดตระเวน​ยามดึก​ขึ้น​มา​ ป้องกัน​ไม่​ให้​เกิด​เหตุการณ์​หุ่นเชิด​อาละวาด​
17	60	1						
18	3000023	1						
19		1	隐藏于新海市各处的特别调查官补给点	隱藏於新海市各處的特別調查官補給點	Special Inspector Supply Points hidden throughout Catto City.	新海市の各地に隠されている調査官専用の特別補給ポイント	뉴오션 시티 곳곳에는 조사관 특별 보급 포인트가 있습니다	จุด​เสบียง​พิเศษ​สำหรับ​ผู้ตรวจการ​ที่ซ่อน​อยู่​ทุกที่​ใน​แค​ทโตะ​ ซิตี้​
20		1	选择一名战斗员，协助你完成本次冒险吧	選擇一名戰鬥員，協助你完成本次冒險吧	Choose a Combatant to accompany you on this adventure.	パトロールを協力する戦闘員を1人選んでください。	전투원을 1명 선택하여, 이번 모험을 완료하기 위해 도움을 받으세요	เลือก​ตัวละคร​ 1​ คน​ เพื่อ​ช่วย​คุณ​ผ่าน​การผจญภัย​ครั้งนี้​กัน​เถอะ​
21		1	经过短暂的休整,所有出战的武装生命值恢复30%	經過短暫的休整,所有出戰的戰鬥員生命值恢復30%	After a short rest, all deployed Combatants will regain 30% of their HP.	一時的な休息を経て、出陣した戦闘員のHPが30%回復した。	짧은 휴식을 취하여 출전 중인 전투원의 HP가 30% 회복했습니다	ตัวละคร​ทั้งหมด​ได้รับ​การฟื้นฟู​ HP​ 30%​ ผ่าน​การพักผ่อน​
22	8	1						
23		1	bgm_yejianxunluo_01	bgm_yejianxunluo_01	bgm_yejianxunluo_01	bgm_yejianxunluo_01	bgm_yejianxunluo_01	bgm_yejianxunluo_01
24	1	1						
25	200	1						
26	3000025	1						
27		1	1、通关不同类型的关卡可以获得不同数量的积分，同一类型的关卡，挑战的层数越高对应积分越多\n2、重置区域不会重置积分	1、通關不同類型的關卡可以獲得不同數量的積分，同一類型的關卡，挑戰的層數越高對應積分越多\n2、重置區域不會重置積分	1. Completing different types of stages grants varying points; the higher the floor of the stage within the same type, the more points you earn.\n2. Resetting a district does not reset your points.	1、クリア時に獲得するポイントは、挑戦するステージのタイプによって異なります。同じタイプのステージでも、挑戦する階層が高いほど、獲得するポイントは多くなります。\n2、エリアをリセットしても、ポイントはリセットされません。	1. 다른 유형의 스테이지 클리어 시 획득하는 포인트 수량이 다르며, 같은 유형의 스테이지 클리어 시, 높은 층에 도전할 수록 더 많은 포인트를 획득합니다.\n2. 지역을 초기화해도, 포인트가 초기화되지 않습니다.	1.​ การ​ผ่าน​ด่าน​ประเภท​ต่างๆ​ จะ​ได้รับ​คะแนน​ใน​จำนวน​ที่​ต่างกัน​ สำหรับ​ด่าน​ประเภท​เดียวกัน​ ยิ่ง​ท้าทาย​ใน​ระดับสูง​ก็​จะ​ได้​คะแนน​ที่​มากขึ้น​\n2.​การ​รีเซ็ต​พื้น​ที่จะ​ไม่​รีเซ็ต​คะแนน​
