id	type	showType	quality	openType	openParameter	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
8700001	49	491	5	0	0	6:goods_icon_8700005	1	毛色-幽紫	毛色-幽紫	Fur Color - Mysterious Purple	毛色-ダークパープル	털 색상-진보라색	สีขน-ม่วงบาง	深沉而神秘的幽紫，带着无尽的瑕想。	深沉而神秘的幽紫，帶著無盡的瑕想。	Profound and enigmatic, the violet hue is filled with endless reverie.	深みのある神秘的な紫色、果てしない余韻をもたらす。	차분하고 신비로운 진한 보라색, 무한한 허상이 담겨있다.	สีม่วง​เข้ม​ที่​ทั้ง​ลึกลับ​และ​ลึกซึ้ง​ นำพา​ความคิด​ประหลาด​ที่​ไม่​สิ้นสุด​	深沉而神秘的幽紫，带着无尽的瑕想。	深沉而神秘的幽紫，帶著無盡的瑕想。	Profound and enigmatic, the violet hue is filled with endless reverie.	深みのある神秘的な紫色、果てしない余韻をもたらす。	차분하고 신비로운 진한 보라색, 무한한 허상이 담겨있다.	สีม่วง​เข้ม​ที่​ทั้ง​ลึกลับ​และ​ลึกซึ้ง​ นำพา​ความคิด​ประหลาด​ที่​ไม่​สิ้นสุด​
8700002	49	491	5	0	0	6:goods_icon_8700009	1	毛色-海蓝	毛色-海藍	Fur Color - Azure	毛色-マーリンブルー	털 색상-남색	สีขน-ฟ้าทะเล	清澈而又深邃的蓝，如同宁静的海洋。	清澈而又深邃的藍，如同寧靜的海洋。	Lustrous and deep, the azure mirrors the tranquil ocean.	澄み切った深い藍色、穏やかな海のよう。	맑지만 심오한 남색, 바다와 고요하다.	สีน้ำเงิน​ที่​ทั้ง​ใส​สะอาด​และ​ลึกล้ำ​ ราวกับ​ทะเล​ที่​เงียบสงบ​	清澈而又深邃的蓝，如同宁静的海洋。	清澈而又深邃的藍，如同寧靜的海洋。	Lustrous and deep, the azure mirrors the tranquil ocean.	澄み切った深い藍色、穏やかな海のよう。	맑지만 심오한 남색, 바다와 고요하다.	สีน้ำเงิน​ที่​ทั้ง​ใส​สะอาด​และ​ลึกล้ำ​ ราวกับ​ทะเล​ที่​เงียบสงบ​
8700003	49	491	5	0	0	6:goods_icon_8700010	1	毛色-天青	毛色-天青	Fur Color - Pale Blue	毛色-スカイブルー	털 색상-하늘색	สีขน-ฟ้าสว่าง	淡淡的青色，就像雨过天晴后的天空一般。	淡淡的青色，就像雨過天晴後的天空一般。	Subtle pale blue, like the sky after a refreshing rain.	雨上がりの空のような淡い青。	희미한 하늘색, 비가 온 다음 날의 하늘 같다.	สี​คราม​อ่อน​ๆ​ ราวกับ​ท้องฟ้า​หลัง​ฝน​หยุด​ก็​ไม่​ปาน​	淡淡的青色，就像雨过天晴后的天空一般。	淡淡的青色，就像雨過天晴後的天空一般。	Subtle pale blue, like the sky after a refreshing rain.	雨上がりの空のような淡い青。	희미한 하늘색, 비가 온 다음 날의 하늘 같다.	สี​คราม​อ่อน​ๆ​ ราวกับ​ท้องฟ้า​หลัง​ฝน​หยุด​ก็​ไม่​ปาน​
8700004	49	491	5	0	0	6:goods_icon_8700012	1	毛色-明绿	毛色-明綠	Fur Color - Vivid Green	毛色-ブライトグリーン	털 색상-연두색	สีขน-เขียวสดใส	明艳的绿色，充满了无限生机。	明豔的綠色，充滿了無限生機。	Lush and radiant, the green is teeming with life.	鮮やかな緑、無限の活力に満ちている。	선명한 초록색, 무한한 생기로 가득하다.	สี​เขียว​สดใส​ เต็มไปด้วย​พลัง​ชีวิต​อัน​ไม่​มี​ที่​สิ้นสุด​	明艳的绿色，充满了无限生机。	明豔的綠色，充滿了無限生機。	Lush and radiant, the green is teeming with life.	鮮やかな緑、無限の活力に満ちている。	선명한 초록색, 무한한 생기로 가득하다.	สี​เขียว​สดใส​ เต็มไปด้วย​พลัง​ชีวิต​อัน​ไม่​มี​ที่​สิ้นสุด​
8700005	49	491	5	0	0	6:goods_icon_8700005	1	毛色-素紫	毛色-素紫	Fur Color - Subtle Lilac	毛色-ペールパープル	털 색상-보라색	สีขน-ม่วงอ่อน	淡雅的紫色，高贵而又内敛。	淡雅的紫色，高貴而又內斂。	Elegant and subdued, the violet exudes nobility.	白と紫色の組み合わせ、気品があり控えめ。	우아한 연보라색, 고귀하고 심오하다.	สีม่วง​อ่อน​ที่​สง่างาม​ ทั้ง​สูงส่ง​และ​แฝง​ไว้​ด้วย​ความ​เงียบขรึม​	淡雅的紫色，高贵而又内敛。	淡雅的紫色，高貴而又內斂。	Elegant and subdued, the violet exudes nobility.	白と紫色の組み合わせ、気品があり控えめ。	우아한 연보라색, 고귀하고 심오하다.	สีม่วง​อ่อน​ที่​สง่างาม​ ทั้ง​สูงส่ง​และ​แฝง​ไว้​ด้วย​ความ​เงียบขรึม​
8700006	49	491	5	0	0	6:goods_icon_8700006	1	毛色-晚樱	毛色-晚櫻	Fur Color - Cherry Pink	毛色-ピンク	털 색상-연분홍색	สีขน-ซากุระ	温柔与神秘的完美结合，浪漫又梦幻。	溫柔與神秘的完美結合，浪漫又夢幻。	A perfect blend of gentleness and mystery, romantic and dreamlike.	優しさとミステリアスさの完璧な調和、ロマンティックな夢のよう。	부드럽고 신비한 느낌의 완벽한 조합, 낭만적이기도 하고 몽환적이기도 하다.	การ​ผสมผสาน​ที่​ลงตัว​ระหว่าง​ความอ่อนโยน​และ​ความลึกลับ​ ทั้ง​โรแมนติก​และ​มหัศจรรย์​	温柔与神秘的完美结合，浪漫又梦幻。	溫柔與神秘的完美結合，浪漫又夢幻。	A perfect blend of gentleness and mystery, romantic and dreamlike.	優しさとミステリアスさの完璧な調和、ロマンティックな夢のよう。	부드럽고 신비한 느낌의 완벽한 조합, 낭만적이기도 하고 몽환적이기도 하다.	การ​ผสมผสาน​ที่​ลงตัว​ระหว่าง​ความอ่อนโยน​และ​ความลึกลับ​ ทั้ง​โรแมนติก​และ​มหัศจรรย์​
8700007	49	491	5	0	0	6:goods_icon_8700007	1	毛色-绛紫	毛色-絳紫	Fur Color - Dark Purple	毛色-ダークパープル	털 색상-자주색	สีขน-ม่วงเข้ม	沉静庄重的绛紫，迷人而又独特。	沉靜莊重的絳紫，迷人而又獨特。	Sober and dignified, the deep purple is captivating and distinctive.	落ち着いた風格のある紫色、魅力的でユニーク。	평온하고 정중한 자주색, 매력적이고 독특하다.	สีม่วง​เข้ม​ที่​สงบเสงี่ยม​ น่าหลงใหล​และ​มี​เอกลักษณ์​เฉพาะตัว​	沉静庄重的绛紫，迷人而又独特。	沉靜莊重的絳紫，迷人而又獨特。	Sober and dignified, the deep purple is captivating and distinctive.	落ち着いた風格のある紫色、魅力的でユニーク。	평온하고 정중한 자주색, 매력적이고 독특하다.	สีม่วง​เข้ม​ที่​สงบเสงี่ยม​ น่าหลงใหล​และ​มี​เอกลักษณ์​เฉพาะตัว​
8700008	49	491	5	0	0	6:goods_icon_8700008	1	毛色-碧空	毛色-碧空	Fur Color - Sky Blue	毛色-クリアブルー	털 색상-비취색	สีขน-ฟ้าใส	空中的云朵，好似棉花糖一般。	空中的雲朵，好似棉花糖一般。	The clouds above are as fluffy as marshmallow confections.	宙に浮く雲の綿菓子のよう。	하늘 위에 있는 구름, 솜사탕처럼 보인다.	ก้อน​เมฆ​บน​ท้องฟ้า​ ดู​เหมือนกับ​ขนม​สายไหม​ก็​ไม่​ปาน​	空中的云朵，好似棉花糖一般。	空中的雲朵，好似棉花糖一般。	The clouds above are as fluffy as marshmallow confections.	宙に浮く雲の綿菓子のよう。	하늘 위에 있는 구름, 솜사탕처럼 보인다.	ก้อน​เมฆ​บน​ท้องฟ้า​ ดู​เหมือนกับ​ขนม​สายไหม​ก็​ไม่​ปาน​
8700009	49	491	5	0	0	6:goods_icon_8700009	1	毛色-远海	毛色-遠海	Fur Color - Distant Sea	毛色-グレイブルー	털 색상-바다 남색	สีขน-ทะเลลึก	蓝天与碧海相互交融，只留下一片蔚蓝。	藍天與碧海相互交融，只留下一片蔚藍。	The blue sky and the azure sea merge into one, leaving behind a canvas of cerulean.	青い空と青い海が混ざり合い、ブルーだけが残る。	하늘과 바다가 맞닿은 곳, 하늘의 색만이 남았다.	ท้อง​นภา​สี​ฟ้า​และ​ทะเล​สี​เขียว​มรกต​หลอม​รวมกัน​เป็นหนึ่ง​ จน​เหลือ​เพียงแค่​ทิวทัศน์​สี​คราม​	蓝天与碧海相互交融，只留下一片蔚蓝。	藍天與碧海相互交融，只留下一片蔚藍。	The blue sky and the azure sea merge into one, leaving behind a canvas of cerulean.	青い空と青い海が混ざり合い、ブルーだけが残る。	하늘과 바다가 맞닿은 곳, 하늘의 색만이 남았다.	ท้อง​นภา​สี​ฟ้า​และ​ทะเล​สี​เขียว​มรกต​หลอม​รวมกัน​เป็นหนึ่ง​ จน​เหลือ​เพียงแค่​ทิวทัศน์​สี​คราม​
8700010	49	491	5	0	0	6:goods_icon_8700010	1	毛色-清风	毛色-清風	Fur Color - Gentle Breeze	毛色-ホワイトブルー	털 색상-시원한 바람색	สีขน-ลมเย็น	纯净的色调，带来清风拂过的凉爽。	純淨的色調，帶來清風拂過的涼爽。	Pure in hue, it brings the coolness of a gentle breeze.	爽やかな風の涼しさをもたらす色。	순수한 색상, 맑은 바람이 불어온 후에 시원함을 가져다 준다.	โทน​สี​อัน​บริสุทธิ์​ นำพา​ความ​เย็นสบาย​ดั่ง​สายลม​ที่​พัดผ่าน​	纯净的色调，带来清风拂过的凉爽。	純淨的色調，帶來清風拂過的涼爽。	Pure in hue, it brings the coolness of a gentle breeze.	爽やかな風の涼しさをもたらす色。	순수한 색상, 맑은 바람이 불어온 후에 시원함을 가져다 준다.	โทน​สี​อัน​บริสุทธิ์​ นำพา​ความ​เย็นสบาย​ดั่ง​สายลม​ที่​พัดผ่าน​
8700011	49	491	5	0	0	6:goods_icon_8700011	1	毛色-薄荷	毛色-薄荷	Fur Color - Minty Fresh	毛色-ミントグリーン	털 색상-민트색	สีขน-มินต์	清新的绿色，仿佛带来了新的活力。	清新的綠色，仿佛帶來了新的活力。	The fresh green seems to bring a burst of new vitality.	フレッシュなハーブグリーン、エネルギーをもたらしてくれる。	상쾌한 연두색, 새로운 활력이 있는 것만 같다.	สี​เขียว​ที่​สด​ใหม่​ ราวกับ​นำพา​ความมีชีวิตชีวา​มา​ให้​	清新的绿色，仿佛带来了新的活力。	清新的綠色，仿佛帶來了新的活力。	The fresh green seems to bring a burst of new vitality.	フレッシュなハーブグリーン、エネルギーをもたらしてくれる。	상쾌한 연두색, 새로운 활력이 있는 것만 같다.	สี​เขียว​ที่​สด​ใหม่​ ราวกับ​นำพา​ความมีชีวิตชีวา​มา​ให้​
