furnitureId	type	furnitureType	photoId	quality	showType	isLoad	prefab	decorationValue	source	goodsId	originalNum	goodsNum	hot	suitId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	fullName	fullName_zh_TW	fullName_en_UK	fullName_ja_JP	fullName_ko_KR	fullName_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5800401		3	144:goods_icon_5800401	4	581	1	143:MaidCoffee_bar_03	90	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·柜台	聖誕·櫃台	Christmas - Counter	クリスマス・カウンター	크리스마스 카운터	คริสต์มาส·เคาน์เตอร์	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800402		4	144:goods_icon_5800402	4	581	1	143:MaidCoffee_barBg_03	70	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·操作台	聖誕·操作台	Christmas - Workstation	クリスマス・作業台	크리스마스 작업대	คริสต์มาส·โต๊ะทำงาน	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800403		7	144:goods_icon_5800403	4	581	1	143:MaidCoffee_kitchenCorner_03	28	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·厨房	聖誕·廚房	Christmas - Kitchen	クリスマス・キッチン	크리스마스 주방	คริสต์มาส·ห้องครัว	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800404		8	144:goods_icon_5800404	4	581		143:MaidCoffee_catRoom_03	28	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·休息室	聖誕·休息室	Christmas - Lounge	クリスマス・休憩室	크리스마스 휴게실	คริสต์มาส·ห้องพัก	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800405		5	144:goods_icon_5800405	4	581		143:MaidCoffee_table_03	46	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·桌椅	聖誕·桌椅	Christmas - Dining Set	クリスマス・テーブル＆チェア	크리스마스 책상의자	คริสต์มาส​·​โต๊ะ​และ​เก้าอี้​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800406		10	144:goods_icon_5800406	4	581		143:MaidCoffee_restCorner_03	28	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·边桌	聖誕·邊桌	Christmas - Side Table	クリスマス・カウンター席	크리스마스 사이드 테이블	คริสต์มาส·โต๊ะเล็ก	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800407		6	144:goods_icon_5800407	4	581		143:MaidCoffee_sofa_03	46	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·沙发	聖誕·沙發	Christmas - Couch	クリスマス・ソファー	크리스마스 소파	คริสต์มาส·โซฟา	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800408		9	144:goods_icon_5800408	4	581		143:MaidCoffee_doorCorner_03	28	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·门口	聖誕·門口	Christmas - Doorway	クリスマス・玄関装飾	크리스마스 문	คริสต์มาส·ประตู	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800409		1	144:goods_icon_5800409	4	581	1	143:MaidCoffee_wall_03	88	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·墙纸	聖誕·牆紙	Christmas - Wallpaper	クリスマス・壁紙	크리스마스 벽지	คริสต์มาส·วอลเปเปอร์	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
