id	type	targetId	targetNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1		2	1	二明牌	二明牌	Dual View	ツーオープン	오픈딜(2)	เผยไพ่สองใบ	对局时可以看到双方的前2张战牌	對局時可以看到雙方的前2張戰牌	During the match, players can view the first two battle cards in their opponent's deck.	お互い1〜2番目の手札を公開した状態でプレイする。	게임 중 양측의 앞 2장의 배틀카드를 확인할 수 있습니다	เมื่อ​เริ่ม​เทิร์น​จะ​สามารถ​ดู​การ์ด​ 2​ ใบ​แรก​ของ​ทั้งคู่​ได้​
2	1		3	1	三明牌	三明牌	Triple View	スリーオープン	오픈딜(3)	เผยไพ่สามใบ	对局时可以看到双方的前3张战牌	對局時可以看到雙方的前3張戰牌	During the match, players can view the first three battle cards in their opponent's deck.	お互い1〜3番目の手札を公開した状態でプレイする。	게임 중 양측의 앞 3장의 배틀카드를 확인할 수 있습니다	เมื่อ​เริ่ม​เทิร์น​จะ​สามารถ​ดู​การ์ด​ 3​ ใบ​แรก​ของ​ทั้งคู่​ได้​
3	1		5	1	全明牌	全明牌	Full Visibility	オールオープン	오픈딜(all)	เผยไพ่ทั้งหมด	对局时可以看到双方所有的战牌	對局時可以看到雙方所有的戰牌	Throughout the match, players have complete visibility of all the battle cards in their opponent's deck.	お互い手札を全て公開した状態でプレイする。	게임 중 양측의 모든 배틀카드를 확인할 수 있습니다	เมื่อ​เริ่ม​เทิร์น​จะ​สามารถ​เห็น​การ์ด​ทั้งหมด​ของ​ทั้งคู่​ได้​
4	2			1	混乱	混亂	Disorder	カオス	혼란	สลับ	双方强制按照系统随机安排的顺序使用卡组中的战牌	雙方強制按照系統隨機安排的順序使用卡組中的戰牌	Both players are forced to use the battle cards in their deck in a random order determined by the system.	カードを繰り出せる順番がシステムによってランダムに決定されます。	양측은 시스템에서 랜덤으로 배정한 순서에 따라 카드 덱의 배틀카드를 강제로 사용합니다	ทั้งสองฝ่าย​จะ​ถูก​บังคับ​ให้​ใช้​การ์ด​ใน​สำรับ​ตามลำดับ​ที่​ระบบ​สุ่ม​กำหนด​ไว้​
5	3			1	王牌杀手	王牌殺手	Ace Snipe	エースキラー	에이스 킬러	นักล่าเอซ	卡面数值A的卡会被敌方战牌邻边的1所抢夺，逆转规则下1会被A所抢夺	卡面數值A的卡會被敵方戰牌鄰邊的1所搶奪，逆轉規則下1會被A所搶奪	Battle cards with a value of 1 can steal an adjacent Ace card from the opponent. Conversely, an Ace card can take a 1 under the reverse rule.	「1」が「A」に勝つようになる。「リバース」と同時に適用されている場合、例えエースキラー中でも「Ａ」は「１」を倒すようになる。	카드 숫자A는 적의 카드 옆에 있는 1에 의해 빼앗깁니다. 역전 규칙에서는 1이 A에 의해 빼앗깁니다.	การ์ด​ที่​มีค่า​หน้า​ไพ่​เป็น​ A​ จะ​ถูก​แบตเทิลการ์ด​ของ​ฝ่าย​ศัตรู​ที่อยู่​ติดกัน​และ​มีค่า​เป็น​ 1​ ขโมย​ไป​ แต่​ภายใต้​กติกา​การพลิก​สถานการณ์​ ค่า​ 1​ จะ​ถูก​ A​ ขโมย​ไป​แทน​
6	4			1	同类强化	同類強化	Type Boost	タイプアセンド	동일유형 강화	เสริมพลังประเภทเดียวกัน	玩家打出有类别的牌在结算夺牌完毕后，双方同类别的战牌，无论在牌桌上还是在手牌中，上下左右4个数值都+1。数值最大为10，即A	玩家打出有類別的牌在結算奪牌完畢後，雙方同類別的戰牌，無論在牌桌上還是在手牌中，上下左右4個數值都+1。數值最大為10，即A	When a player plays a card of a specific type and after resolving the card stealing, the values of all battle cards of that type—whether on the table or in hand—increase by 1 in all four directions (up, down, left, right). The maximum value is 10 (Ace).	同じカードタイプのものを場に出す度に、同じタイプのカード（盤上＋手札）の全ての数字「＋1」。最大10（A）まで。	특정 유형의 카드를 사용하고 카드 뺏기 결산이 완료되면, 양측의 동일한 유형의 배틀카드는 카드 테이블 혹은 손에 가지고 있든 관계없이 상하좌우 4개의 수치가 +1됩니다. 최대 수치는 10이며, A라고 불립니다.	เมื่อ​ผู้​เล่น​ลง​การ์ด​ที่​มี​ประเภท​ใดๆ​ หลัง​การคำนวณ​การแย่งชิง​การ์ด​เสร็จสิ้น​แล้ว​ แบตเทิลการ์ด​ประเภท​เดียวกัน​ของ​ทั้งสองฝ่าย​ไม่​ว่า​จะ​อยู่​บน​โต๊ะ​หรือ​ใน​มือ​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ขึ้น​ +1​ โดย​ค่าตัวเลข​สูงสุด​คือ​ 10​ หรือ​ A​
7	5			1	交换	交換	Card Exchange	スワップ	교환	แลกเปลี่ยน	对局开始时，系统随机从双方各自的卡组中选择一张战牌交换，本局结束时归还。	對局開始時，系統隨機從雙方各自的卡組中選擇一張戰牌交換，本局結束時歸還。	At the start of the match, the system randomly selects one battle card from each player's deck and swaps them. These exchanged cards will be returned at the end of the round.	対決開始時に、お互いの手札の内１枚ずつ交換してから始める。対決終了時に復元される。	게임 시작 시, 시스템이 양측의 카드 덱에서 1장의 배틀카드를 랜덤으로 선택해 교환합니다. 이번 게임 종료 시 다시 되돌아갑니다.	เมื่อ​เริ่ม​เกม​ ระบบ​จะ​สุ่ม​เลือก​การ์ด​ 1​ ใบ​จาก​สำรับ​ของ​ทั้งสองฝ่าย​เพื่อ​แลกเปลี่ยน​กัน​ และ​การ์ด​เหล่านี้​จะ​ถูก​ส่ง​คืนหลัง​จบเกม​
8	6			1	秩序	秩序	Order	コスモス	질서	ลำดับ	系统强制双方，只能按照所选卡组的原始组卡顺序，从左往右打出卡组中的战牌。	系統強制雙方，只能按照所選卡組的原始組卡順序，從左往右打出卡組中的戰牌。	The system requires both players to play their battle cards in the original order, from left to right.	デッキのデフォルト順番（左から右へ）でカードを繰り出すことになる。	시스템이 양측이 선택한 카드 덱의 원래 카드 순서를 왼쪽에서 오른쪽으로만 강제로 사용하게 합니다.	ระบบ​จะ​บังคับ​ให้​ทั้งสองฝ่าย​ใช้​การ์ด​ตามลำดับ​การ​จัด​สำรับ​เดิม​ โดย​จะ​ออก​การ์ด​จาก​ซ้าย​ไป​ขวา​
9	7			1	逆转	逆轉	Reverse	リバース	역전	พลิกสถานการณ์	改变基础规则，若打出战牌的数字小于对方的战牌，则对方战牌会改变底色，转移归属权。即1>2>3>4>5>6>7>8>9>A。	改變基礎規則，若打出戰牌的數字小於對方的戰牌，則對方戰牌會改變底色，轉移歸屬權。即1>2>3>4>5>6>7>8>9>A。	This rule alters the basic gameplay: if the played battle card is lower than the opponent's battle card, the opponent's battle card changes color and ownership. The order of values is 1 > 2 > 3 > 4 > 5 > 6 > 7 > 8 > 9 > A.	基礎ルールの逆バージョン。1>2>3>4>5>6>7>8>9>A。	기본 규칙이 변경됩니다. 만약 사용된 배틀카드 숫자가 상대방보다 작으면, 상대방 배틀카드의 바탕색이 변하고 소유권이 이전됩니다. 1>2>3>4>5>6>7>8>9>A	เปลี่ยนแปลง​กติกา​พื้นฐาน​ หาก​ตัวเลข​ของ​แบตเทิลการ์ด​ที่​ออก​น้อยกว่า​แบตเทิลการ์ด​ของ​คู่ต่อสู้​ แบตเทิลการ์ด​ของ​คู่ต่อสู้​จะ​เปลี่ยนสี​พื้น​ และ​โอน​สิทธิ​การ​เป็นเจ้าของ​ให้​อีก​ฝ่าย​ นั่น​คือ​ 1​ >​ 2​ >​ 3​ >​ 4​ >​ 5​ >​ 6​ >​ 7​ >​ 8​ >​ 9​ >​ A​
