id	activetyId	chapter	type	unlockItem	unlockNum	unlockPlot	endFlag	regionId	plotId	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	buffUnlockTips	buffUnlockTips_zh_TW	buffUnlockTips_en_UK	buffUnlockTips_ja_JP	buffUnlockTips_ko_KR	buffUnlockTips_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1000	1	0	1	0	0	0	1	12002571	3016000	1	接到参加兰达国移交罗寇的交接仪式的邀请，你正与司诺一起前往现场……	接到參加蘭達國移交羅寇的交接儀式的邀請，你正與司諾一起前往現場……	You received an invitation to attend Randa's handover ceremony for Loco, and now you're heading to the venue with Snow.	ランダ国で行われるロコの引き渡し式に招待され、あなたはスノーと共に会場へ向かっていた。	로코라는 범죄자 인도식에 와 달라는 요청을 받아 스노우와 함께 인도식 현장으로 향하게 되는데...	ได้รับ​คำเชิญ​ให้​เข้าร่วม​พิธี​ส่งตัว​โล​โค่​จาก​อาณาจักร​แลน​ด้า​ คุณ​กำลัง​เดินทาง​ไป​ยัง​สถานที่​จัดงาน​พร้อมกับ​ส​โน​ว์​...​						
10101	1	101	1	9000068	100	0	0	12002572	3016010	1	一路上，司诺告诉了你有关于罗寇的事情。然而，当你终于得见这位「人类杀手」的真面目时，却发现她似乎盯上了你……	一路上，司諾告訴了你有關於羅寇的事情。然而，當你終於得見這位「人類殺手」的真面目時，卻發現她似乎盯上了你……	As you made your way there, Snow shared stories about Loco. However, when you finally laid eyes on the "Human Killer," it seemed she had her sights set on you.	道中、スノーはロコについて語る。そしてついに「ヒューマンキラー」と呼ばれる彼女と対面するが、その視線があなたに向けられていることに気づく……	범죄자 인도식으로 가는 길, 스노우는 로코에 관한 이야기를 해준다. 말로만 듣던 ‘인간 학살자’의 모습과 마주한 순간, 그녀 또한 나를 빤히 응시하고 있음을 느끼게 되는데...	ระหว่างทาง​ ส​โน​ว์​ได้​เล่า​เรื่องราว​เกี่ยวกับ​โล​โค่​ ทว่า​เมื่อ​คุณ​ได้​พบ​กับ​ "​เพชฌฆาต​มนุษย์​"​ ผู้​นี้​เป็นครั้งแรก​ กลับ​พบ​ว่า​เธอ​กำลัง​จ้องมอง​มา​ที่​คุณ​...​	通关无赦之罪第1节后解锁	通關無赦之罪第1節後解鎖	Clear Unforgivable Sin Chapter 1 to unlock	「赦されざる罪EP1」クリア後に解放される。	용서불가의 죄 챕터1 클리어 후 해제	ปลดล็อกเมื่อผ่านบาปที่ไม่อาจให้อภัย บทที่ 1
10102	1	101	1	9000068	100	10101	0	12002573	3016020	1	交接仪式现场发生骚乱，竟有人持枪挟持议长，而他们的目的竟然是对兰达国复仇？！	交接儀式現場發生騷亂，竟有人持槍挾持議長，而他們的目的竟然是對蘭達國復仇？！	A commotion erupted at the handover ceremony when someone took the Speaker hostage with a gun, seeking revenge on Randa!	式典の最中、突如として騒乱が起こる。なんと、議長が武装した集団に人質に取られたのだ。彼らの目的はランダ国への復讐……？	인도식에서는 누군가 총을 들고 의장을 위협하며 한바탕 소동이 일어난다. 그들의 목적은 정말 란다국에 대한 복수인 것일까?	เกิด​ความวุ่นวาย​ขึ้น​ใน​พิธี​ส่งตัว​!​ มี​ผู้ใช้​อาวุธ​จับตัว​ประธาน​สภา​เป็น​ตัวประกัน​ และ​เป้าหมาย​ที่​แท้จริง​ของ​พวกเขา​ก็​คือ​การ​ล้างแค้น​อาณาจักร​แลน​ด้า​	通关无赦之罪第2节后解锁	通關無赦之罪第2節後解鎖	Clear Unforgivable Sin Chapter 2 to unlock	「赦されざる罪EP2」クリア後に解放される。	용서불가의 죄 챕터2 클리어 후 해제	ปลดล็อกเมื่อผ่านบาปที่ไม่อาจให้อภัย บทที่ 2
10103	1	101	1	9000068	100	10102	0	12002574	3016030	1	混乱之中，罗寇被人劫走。这时，你才发现他们的本意就是劫走罗寇。可最后他们却被罗寇杀死了……	混亂之中，羅寇被人劫走。這時，你才發現他們的本意就是劫走羅寇。可最後他們卻被羅寇殺死了……	In the midst of the chaos, Loco was kidnapped. You soon realized their true intention was to abduct her, but ultimately, they met their end at her hands.	混乱の中、ロコは何者かにさらわれる。しかし、それこそが彼らの本当の狙いだった。だが、結局彼らはロコによって殺されてしまう……	혼란을 틈타 로코가 납치당하고, 그제서야 그들의 원래 목적이 로코였다는 것을 깨닫는다. 하지만 결국 그들은 로코에게 전부 살해당하고 마는데...	ท่ามกลาง​ความโกลาหล​ โล​โค่​ถูก​ลักพาตัว​!​ แต่​สุดท้าย​ ผู้​ลักพาตัว​กลับ​ถูก​เธอ​สังหาร​จน​หมด​…​	通关无赦之罪第3节后解锁	通關無赦之罪第3節後解鎖	Clear Unforgivable Sin Chapter 3 to unlock	「赦されざる罪EP3」クリア後に解放される。	용서불가의 죄 챕터3 클리어 후 해제	ปลดล็อกเมื่อผ่านบาปที่ไม่อาจให้อภัย บทที่ 3
10104	1	101	1	9000068	100	10103	1	12002575	3016040	1	罗寇意外从他人口中听到了久违的故人之名——圣女，这时的她似乎第一次有了情绪……	羅寇意外從他人口中聽到了久違的故人之名——聖女，這時的她似乎第一次有了情緒……	Loco unexpectedly heard the name of an old friend—The Saint—spoken by someone else, and for the first time, she showed a flicker of emotion.	その時、ロコは思いがけず「聖女」の名を耳にする。久しく聞くその名に、彼女は初めて感情を揺らがせる。	로코는 오랜만에 타인의 입을 통해 성녀란 단어를 듣게 되고, 거의 처음으로 감정을 드러낸다	โล​โค่​ได้ยิน​ชื่อ​ของ​เพื่อนเก่า​ที่​ห่างหาย​ไป​นาน​จาก​ปาก​ของ​เขา​—​ สตรี​ศักดิ์สิทธิ์​ และ​ใน​ตอนนี้​เธอ​ดูเหมือน​จะ​มี​อารมณ์​ความรู้สึก​เป็น​ครั้ง​แร​ก.​..​	通关无赦之罪第4节后解锁	通關無赦之罪第4節後解鎖	Clear Unforgivable Sin Chapter 4 to unlock	「赦されざる罪EP4」クリア後に解放される。	용서불가의 죄 챕터4 클리어 후 해제	ปลดล็อกเมื่อผ่านบาปที่ไม่อาจให้อภัย บทที่ 4
10201	1	102	1	9000068	100	0	0	12002576	3016050	1	罗寇逃离时引发了雪崩，你也被卷入其中。当你从医院醒来时，却得知此时的罗寇已经去往别处的消息。	羅寇逃離時引發了雪崩，你也被捲入其中。當你從醫院醒來時，卻得知此時的羅寇已經去往別處的消息。	Loco's escape triggered an avalanche, and you were caught up in it. When you regained consciousness in the hospital, you learned that Loco had already moved on.	ロコの逃亡中、雪崩が発生し、あなたも巻き込まれてしまう。病院で目を覚ました時には、すでにロコは別の場所へと姿を消していた。	나는 로코가 일으킨 눈사태에 휘말리게 되고, 병원에서 눈을 뜬 후에는 로코가 이미 다른 곳으로 떠났다는 소식을 듣게 된다	โล​โค่​ทำให้เกิด​หิมะ​ถล่ม​ขณะ​หลบหนี​ คุณ​ถูก​พัด​ไป​ด้วย​ เมื่อ​ฟื้น​ขึ้น​ใน​โรงพยาบาล​ กลับ​ได้รับ​ข่าว​ว่า​เธอ​ได้​ไป​ที่อื่น​แล้ว​...​	通关灼眼之银第1节后解锁	通關灼眼之銀第1節後解鎖	Clear Scorching Silver Chapter 1 to unlock	「灼眼のシルバーEP1」クリア後に解放される。	타오르는 은빛 챕터1 클리어 후 해제	ปลดล็อกเมื่อผ่านแร่เงินเจิดจรัส บทที่ 1
10202	1	102	1	9000068	100	10201	0	12002577	3016060	1	你的行为受到了限制，无法参与追逼罗寇的行动，正当一筹莫展之时，一扇「任意门」便出现在你面前。	你的行為受到了限制，無法參與追逼羅寇的行動，正當一籌莫展之時，一扇「任意門」便出現在你面前。	With your actions restricted, you couldn't join in the pursuit of Loco. Just as you felt lost, a "Dimension Door" appeared before you.	行動を制限されたあなたは、彼女の追跡に加わることもできず、途方に暮れる。そんな時、目の前に突如として「門」が現れる……	행동에 제약이 생겨 대놓고 로코를 쫓아갈 수 없게 된다. 아무 방법이 없이 막막하던 찰나, 눈앞에 ‘랜덤 도어’가 나타난다	การเคลื่อนไหว​ของ​คุณ​ถูก​จำกัด​ ทำให้​ไม่​สามารถ​ไล่ตาม​โล​โค่​ได้​ ขณะที่​คุณ​กำลัง​จน​หนทาง​ จู่ๆ​ "​ประตู​มิติ​"​ ก็​ปรากฏ​ขึ้น​ตรงหน้า​...​	通关灼眼之银第2节后解锁	通關灼眼之銀第2節後解鎖	Clear Scorching Silver Chapter 2 to unlock	「灼眼のシルバーEP2」クリア後に解放される。	타오르는 은빛 챕터2 클리어 후 해제	ปลดล็อกเมื่อผ่านแร่เงินเจิดจรัส บทที่ 2
10203	1	102	1	9000068	100	10202	0	12002578	3016070	1	你没有找到罗寇的身影，却在机缘巧合之下看到了罗寇的过去……	你沒有找到羅寇的身影，卻在機緣巧合之下看到了羅寇的過去……	Though you didn't find Loco, you stumbled upon a glimpse of her past.	ロコの行方は掴めなかったが、偶然にも彼女の過去を垣間見ることになる……	로코의 흔적을 찾지는 못했지만 우연히 그녀의 과거를 보게 되는데...	คุณ​ไม่​พบ​ร่องรอย​ของ​โล​โค่​ แต่กลับ​ได้​เห็น​อดีต​ของ​เธอ​โดยบังเอิญ​...​	通关灼眼之银第3节后解锁	通關灼眼之銀第3節後解鎖	Clear Scorching Silver Chapter 3 to unlock	「灼眼のシルバーEP3」クリア後に解放される。	타오르는 은빛 챕터3 클리어 후 해제	ปลดล็อกเมื่อผ่านแร่เงินเจิดจรัส บทที่ 3
10204	1	102	1	9000068	100	10203	1	12002579	3016080	1	不知为何，你竟被罗寇抓住并绑在了铁处女上根本无法脱身，而这时菲菲出现了……	不知為何，你竟被羅寇抓住並綁在了鐵處女上根本無法脫身，而這時菲菲出現了……	For some reason, Loco captured you and bound you to an iron maiden, leaving you unable to escape when Fifi suddenly appeared.	そして気がつけば、あなたはロコに捕らえられ、鉄の処女に拘束されていた。逃げ場のない状況の中、そこへフィフィが現れる……	어떻게 된 영문인지 모르겠지만, 로코에게 붙잡혀 아이언 메이든에 꼼짝없이 묶인 신세가 된다. 그때 피피가 나타나는데...	ไม่​รู้​เพราะอะไร​ คุณ​กลับ​ถูก​โล​โค่​จับตัว​และ​มัด​ไว้​ใน​ไอ​เอิร์น​เม​เดน​ ทว่า​ใน​ช่วงเวลา​นั้น​เอง​เฟย์เฟย์​ก็​ปรากฏตัว​ขึ้น​...​	通关灼眼之银第4节后解锁	通關灼眼之銀第4節後解鎖	Clear Scorching Silver Chapter 4 to unlock	「灼眼のシルバーEP4」クリア後に解放される。	타오르는 은빛 챕터4 클리어 후 해제	ปลดล็อกเมื่อผ่านแร่เงินเจิดจรัส บทที่ 4
