id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	status	辅助列	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101008	10	101	4	1	601	0	18:card_icon_101008_1	0	0	0	1	非天	自由轮滑	自由輪滑	Freestyle Skater	フリースケーティング	프리 스케이팅	โรลเลอร์เบลด	用于解锁非天的自由轮滑。	用於解鎖非天的自由輪滑。	Unlocks Asura: Freestyle Skater.	アスラ･フリースケーティングを解放するのに使える。	아수라의 프리 스케이팅 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "โรลเลอร์เบลด" ​ของ​อา​สึ​ระ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
101011	10	101	4	1	304	0	18:card_icon_101011_1	0	0	0	1	非天	棒球龙魂	棒球龍魂	Blaze Battler	ドラゴンストライク	드래곤 베이스볼	ดราก้อนสไตรค์	用于解锁非天的棒球龙魂。	用於解鎖非天的棒球龍魂。	Unlocks Asura: Blaze Battler.	アスラ･ドラゴンストライクを解放するのに使える。	아수라의 드래곤 베이스볼 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ดราก้อน​สไตรค์" ​ของ​อา​สึ​ระ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
101005	10	101	3	1	601	0	18:card_icon_101005_1	0	0	0	1	非天	涂鸦战争	塗鴉戰爭	Scribble Scramble	グラフィティ戦争	그래피티	สงครามกราฟฟิตี	用于解锁非天的涂鸦战争。	用於解鎖非天的塗鴉戰爭。	Unlocks Asura: Scribble Scramble.	アスラ･グラフィティ戦争を解放するのに使える。	아수라의 그래피티 워 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "สงคราม​กราฟ​ฟิ​ตี" ​ของ​อา​สึ​ระ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
101013	10	101	5	1	601	0	18:card_icon_101013_1	0	0	0	1	非天	森林守护者	森林守護者	Forest Ranger	森の守護者	포레스트 가디언	ผู้พิทักษ์แห่งป่า	用于解锁非天的森林守护者。	用於解鎖非天的森林守護者。	Unlocks Asura: Forest Ranger.	アスラ･森の守護者を解放するのに使える。	아수라의 포레스트 가디언 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ผู้พิทักษ์แห่งป่า" ​ของ​อา​สึ​ระ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
102008	10	101	4	1	601	0	18:card_icon_102008_1	0	0	0	1	艾可	机械助理	機械助理	Mechanicat	アシスタントロボット	머신 어시스턴트	เหมียวเครื่องกล	用于解锁艾可的机械助理。	用於解鎖艾可的機械助理。	Unlocks Echo: Mechanicat.	アイコ･アシスタントロボットを解放するのに使える。	에코의 머신 어시스턴트 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "เหมียว​เครื่องกล" ​ของ​เอ​ค​โค​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
102007	10	101	5	1	601	0	18:card_icon_102007_1	0	0	0	1	艾可	电音骑士	電音騎士	Sparkle Rider	ポップナイト	EDM 여신	เหมียวนักบิด	用于解锁艾可的电音骑士。	用於解鎖艾可的電音騎士。	Unlocks Echo: Sparkle Rider.	アイコ･ポップナイトを解放するのに使える。	에코의 EDM 여신 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "เหมียวนักบิด" ​ของ​เอ​ค​โค​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
102011	10	101	5	1	625	0	18:card_icon_102011_1	0	0	0	1	艾可	鳐摇心情	鰩搖心情	Marine Maverick	バイオニックエイ	마인드 셰이커	ผู้กล้าคาบสมุทร	用于解锁艾可的鳐摇心情。	用於解鎖艾可的鰩搖心情。	Unlocks Echo: Marine Maverick.	アイコ･バイオニックエイを解放するのに使える。	에코의 마인드 셰이커 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ ผู้​กล้า​คาบสมุทร" ​ของ​เอ​ค​โค​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
102001	10	101	3	1	601	0	18:card_icon_102001_1	0	0	0	1	艾可	星之愿	星之愿	Stargazer	星に願いを	별의 기원	สตาร์เกซเซอร์	用于解锁艾可的星之愿。	用於解鎖艾可的星之愿。	Unlocks Echo: Stargazer.	アイコ･星に願いをを解放するのに使える。	에코의 별의 기원 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "สตาร์เกซเซอร์" ​ของ​เอ​ค​โค​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
102021	10	101	5	1	601	0	18:card_icon_102021_1	0	0	0	1	艾可	完美效劳	完美效勞	Perfect Pitch	パーフェクトサービス	효율냥땅	ฟูลเซอร์วิส	用于解锁艾可的完美效劳。	用於解鎖艾可的完美效勞。	Unlocks Echo: Perfect Pitch.	アイコ･パーフェクトサービスを解放するのに使える。	에코의 효율냥땅 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ฟูลเซอร์วิส" ​ของ​เอ​ค​โค​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
