id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2			辞青	怎么样，没骗你们，这里是蝴蝶泉。有温泉还有蝴蝶，而且还能看到雪山，真的很漂亮吧！		1	57:story_cg_newyear_003				17	-1								1					bgm_instance_spring03	sfx_story_sea_chushui																											1	辭青	Savanna	辞青	지세이	ซาวันน่า						怎麼樣，沒騙你們，這裡是蝴蝶泉。有溫泉還有蝴蝶，而且還能看到雪山，真的很漂亮吧！	See? I wasn't lying—this is Butterfly Spring. Hot springs, butterflies, and a view of the snowy peaks—truly stunning!	どうだ、嘘じゃないだろ？ここは蝶の泉だ、温泉もあって、蝶も舞ってる。そして、雪山も見える。美しいだろう？	어때요, 제가 말했죠? 나비 온천이 있다고 했잖아요. 온천이랑 나비라니, 그것도 설산 위에, 너무 아름답지 않나요!	เป็นไง​ เรา​ไม่​ได้​โม้​ใช่​มั้ย​ล่ะ​ ที่นี่​คือ​บ่อน้ำพุ​ผีเสื้อ​ มี​ทั้ง​น้ำพุ​ร้อน​และ​ผีเสื้อ​เลย​ แถม​ยัง​มองเห็น​ภูเขา​หิมะ​ด้วย​นะ​ สวย​ใช่​มั้ย​ล่ะ​!​															
2	3			辞青	我早就想来这里，一边泡温泉，一边围炉煮茶了！当然，如果是煮酒也很不错哈哈！																1																																	1	辭青	Savanna	辞青	지세이	ซาวันน่า						我早就想來這裡，一邊泡溫泉，一邊圍爐煮茶了！當然，如果是煮酒也很不錯哈哈！	I've always wanted to come here, soaking in the hot springs while sipping tea by the fireplace! Of course, enjoying some wine would be delightful too, haha!	とっくにここに来たかったよ。温泉に入りながら、ストーブを囲んでお茶を沸かす！もちろん、お酒でも素晴らしいよね、ハハ！	전부터 와 보고 싶었어요. 온천을 즐기면서 차를 음미하는 거예요! 물론, 술도 나쁘지 않고요. 하하!	เรา​อยาก​มา​ที่นี่​มา​นาน​แล้ว​ล่ะ​ อยาก​แช่​น้ำพุ​ร้อน​ไป​พร้อมกับ​ต้ม​ชา​ที่​เตาไฟ​ไป​ด้วย​!​ และ​แน่นอน​ ถ้า​จะ​ต้ม​เหล้า​กัน​ก็​ไม่เลว​เหมือนกัน​นะ​ ฮ่า​ฮ่า​!​															
3	4			辞青	参加完庆典，再来泡个温泉，简直是太完美了！																1																																	1	辭青	Savanna	辞青	지세이	ซาวันน่า						參加完慶典，再來泡個溫泉，簡直是太完美了！	After the festival, unwinding in these hot springs—it doesn't get any better!	祭りの後、また温泉に入って、最高だよ！	축제 후에 즐기는 온천이라니, 너무 완벽하잖아요!	เข้าร่วม​เทศกาล​ แล้ว​มา​แช่​น้ำพุ​ร้อน​ นี่​มัน​ช่าง​สมบูรณ์แบบ​จริงๆ​ เลย​!​															
4	5			辞青	来，干杯！																1																																	1	辭青	Savanna	辞青	지세이	ซาวันน่า						來，乾杯！	Let's raise a toast!	さあ、乾杯！	자, 건배!	มา ชนแก้ว!															
5	6			#playerName	干杯……																1																																	1	#playerName	#playerName	#playerName	#playerName	#playerName						乾杯……	Cheers...	乾杯……	건배...	ชนแก้ว...															
6	7			艾可	小阙阙你可算被放出来了，我告诉你哦，你错过了超多精彩的事情！																1																						54;2											1	艾可	Echo	アイコ	에코	เอคโค						小闕闕你可算被放出來了，我告訴你哦，你錯過了超多精彩的事情！	Ah, Que, they've finally let you out! You've missed so much excitement!	闕ちゃん、やっと出てくれたんだ。ねえ、知ってる？こないだめちゃすごいこといっぱいあったんだよ！	금궐, 드디어 왔네. 네가 얼마나 엄청난 모험을 놓쳤는지 알려나?	ในที่สุด​เชน​เชน​ก็​ออกมา​ได้​แล้ว​สิ​นะ​ เอ​ค​โค​ขอ​บอก​เธอ​ไว้​เลย​นะ​ เธอ​พลาด​เรื่อง​สนุก​ๆ​ ไป​เยอะแยะ​เลย​ล่ะ​!​															
7	8			金阙	喂喂，你离我远一点啦！你的情绪也太吵了！																1																						54;2											1	金闕	Jinque	金闕	금궐	จินเชน						喂喂，你離我遠一點啦！你的情緒也太吵了！	Hey, give me some space! Your Pathos is overwhelming!	おい、そっちいけ！そなたのエモーション、うるさすぎ！	이봐, 좀 떨어져! 네 이모션은 너무 시끄럽다!	เฮ้เฮ้​ เธอ​น่ะ​ออก​ไป​ให้​ห่าง​ๆ​ เรา​หน่อย​สิ​!​ พา​โธส​ของ​เธอ​มัน​จะ​หนวกหู​เกินไป​แล้ว​!​															
8	9			金阙	祈姐姐，不是说我已经脱敏成功了吗？为什么还是能感觉到这么浓厚的情绪啊！吵死了！！！																1																						54;2											1	金闕	Jinque	金闕	금궐	จินเชน						祈姐姐，不是說我已經脫敏成功了嗎？為什麼還是能感覺到這麼濃厚的情緒啊！吵死了！！！	Qi, didn't you say I've been successfully desensitized? Why do I still feel such strong Pathos? It's overwhelming!	祈姉さん、私はもう免疫に成功したと言ったのじゃないか？どうしてまだこんなに猛烈なエモーションを感じられるんだ！うるせぇ！！！	기 언니, 나 이제 안 예민한 거 아니었어? 왜 아직도 이모션이 이렇게 잘 느껴지는 거야! 시끄러워 죽겠다고!!!	พี่​ฉี​ ไม่​ใช่​ว่า​เรา​หาย​จาก​อาการ​แพ้​แล้ว​เหรอ​?​ ทำไม​ถึง​ยัง​รู้สึก​ได้​ถึง​พา​โธส​ที่​เข้มข้น​ขนาด​นี้​อีก​ล่ะ​!​ หนวกหู​ตาย​อยู่แล้ว​เนี่ย​!!!​															
9	10			祈	任何事情都不是一蹴而就的哟~阿阙你还需要多加努力地适应才行。																1																						54;2											1	祈	Qi	祈	기	ฉี						任何事情都不是一蹴而就的喲~阿闕你還需要多加努力地適應才行。	Nothing happens overnight, Que—you still need to keep working on adapting.	何事も一足飛びじゃないわよ～闕ちゃんはね、もっと頑張って慣れなればいけないわ。	한 번에 이뤄지는 일은 없지 않소~ 궐이도 노력을 해야 하오	ทุก​ต่างๆ​ เรื่อง​ไม่​อาจ​สำเร็จ​ลุล่วง​ได้​เพียง​ชั่ว​ข้ามคืน​หรอก​นะ​~​ อา​เชน​ยัง​ต้อง​ตั้งใจ​ปรับตัว​ให้​เข้ากับ​มัน​ต่อไป​ก่อน​ด้วย​															
