id	status	unlockCondition	unlockCondition_zh_TW	unlockCondition_en_UK	unlockCondition_ja_JP	unlockCondition_ko_KR	unlockCondition_th_TH
int	int	int	int	int	int	int	int
1	1	玩家等级达到_target_num_级时解锁	玩家等級達到_target_num_級時解鎖	Reach Player Lv._target_num_ to unlock	プレイヤーLv._target_num_に達すると解放される	플레이어 레벨 _target_num_ 달성 시 해금	ปลดล็อก​เมื่อ​มี​เล​เวล​ _target_num_​
2	1	消耗_target_num_金币解锁	消耗_target_num_金幣解鎖	Use _target_num_ Catto Coins to unlock	新海コインを_target_num_消費すると解放される	_target_num_ 골드 소모 시 해금	ปลดล็อก​เมื่อ​ใช้​โกลด์​ถึง​ _target_num_​
3	1	消耗_target_num_原铂解锁	消耗_target_num_原鉑解鎖	Use _target_num_ Platinum(s) to unlock	原白金_target_num_を消費すると解放される	_target_num_ 백금 원석 소모 시 해금	ปลดล็อก​เมื่อ​ใช้​แพลทินัม​ถึง​ _target_num_​
4	1	通关主线_target_num_	通關主線_target_num_	Clear Main Story _target_num_	メインストーリー_target_num_クリアで解放されます	메인 스토리 _target_num_ 클리어	ผ่านเนื้อเรื่องหลัก _target_num_
5	1	通关主线_target_num_章	通關主線_target_num_章	Clear Main Story Chapter _target_num_	メインストーリーChapter．_target_num_クリアで解放される	메인 스토리 _target_num_ 챕터 클리어	ผ่านเนื้้อเรื่องหลักบท _target_num_
6	1	需通关日常副本_target_num_关卡解锁	需通關日常副本_target_num_關卡解鎖	Clear Daily Stage _target_num_ to unlock	日常ダンジョンステージ_target_num_をクリアすると解放される	_target_id_일상 던전 _target_num_ 스테이지 클리어 시 해금	ปลดล็อกเมื่อผ่านดันเจี้ยนรายวันด่าน _target_num_
7	1	需通关主线_target_num_关卡解锁	需通關主線_target_num_關卡解鎖	Clear Main Story Stage _target_num_ to unlock	メインストーリー_target_num_ステージをクリアすると解放される	메인 스토리 _target_num_ 스테이지 클리어 시 해금	ปลดล็อกเมื่อผ่านเนื้อเรื่องหลักด่าน _target_num_
8	1	通关_target_num_关卡后可使用	通關_target_num_關卡後可使用	Clear the stage _target_num_ to use	_target_num_ステージをクリアすると使用可能になる	_target_num_ 스테이지 클리어 후 사용 가능	ปลดล็อก​เมื่อ​ผ่าน​ด่าน​ _target_num_​
9	1	月卡生效期间可使用	月卡生效期間可使用	Available when the Monthly Plan is activated	月間プラン利用中に使用可能です	월간 구독 유효 기간동안 사용 가능	สามารถ​ใช้ได้​ใน​ช่วง​ที่​บัตร​รายเดือน​มีผล​อยู่​
10	1	购买后可使用	購買後可使用	Available after purchase	購入後に使用可能になります	구매 후 사용 가능	สามารถ​ใช้ได้​หลังจาก​ซื้อ​
11	1	好感度_target_num_级解锁	好感度_target_num_級解鎖	Reach Affection Lv._target_num_ to unlock	好感度Lv._target_num_で解放されます	호감도 _target_num_ 레벨에 해금	ปลดล็อก​เมื่อ​ค่า​ความสัมพันธ์​ถึง​เล​เวล​ _target_num_​
12	1	获取角色_target_num_解锁	獲取角色_target_num_解鎖	Acquire the character _target_num_ to unlock	_target_num_を入手すると解放されます	_target_num_ 캐릭터 획득 시 해금	ปลดล็อก​เมื่อ​ได้รับ​ตัวละคร​ _target_num_​ตัว​
13	1	获取战斗员_target_num_解锁	獲取戰鬥員_target_num_解鎖	Acquire the Combatant _target_num_.	_target_num_未獲得	_target_num_레벨 전투원을 해제하고 획득	ปลดล็อก​เมื่อ​ได้รับ​ตัวละคร​ _target_num_​ ตัว​
14	1	战斗员_target_num_到达_target_num_星级解锁	戰鬥員_target_num_到達_target_num_星級解鎖	Unlocks when _target_num_ reaches _target_num_★.	戦闘員_target_num_が★_target_num_になると解放。	전투원 _target_num_(이)가 _target_num_★ 달성 후 해제	ปลดล็อก​เมื่อ​ตัวละคร​ _target_num_​ ตัว​ มีระดับ​ดาว​ถึง​ _target_num_​★​
15	1	消耗_target_num_后宅币解锁	消耗_target_num_後宅幣解鎖	Use _target_num_ Backhouse Coins to unlock	バックヤードコイン_target_num_を消費すると解放されます	_target_num_ 리어 코인 소모 시 해금	ปลดล็อก​เมื่อ​ใช้​เหรียญ​โอ​ตา​คุ​ถึง​ _target_num_​
16	1	通关活动剧情_target_num_章	通關活動劇情_target_num_章	Complete the event story Chapter _target_num_.	イベントストーリー第_target_num_章をクリアすると解放されます	이벤트 스토리 _target_num_ 챕터 클리어	ผ่าน​ด่าน​กิจกรรม​บท​ที่​ _target_num_​
17	1	通关主线前置关卡_target_num_	通關主線前置關卡_target_num_	Clear the Main Story Prerequisite Stage _target_num_	メインストーリーの前提ステージ_target_num_をクリアすると解放されます	이전 메인 스토리 _target_num_ 스테이지클리어	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ที่​กำหนด​ _target_num_​
18	1	通关主线挑战_target_num_	通關主線挑戰_target_num_	Clear the Main Story Challenge _target_num_	チャレンジモードで_target_num_をクリアすると解放される	메인 도전 _target_num_ 클리어	ผ่าน​เนื้อเรื่อง​หลัก​โหมด​ท้าทาย​ _target_num_​
1001	1	在喵喵屋中获得_target_num_后解锁	在喵喵屋中獲得_target_num_後解鎖	Acquire _target_num_ from the Cat House to unlock	ニャンニャンハウスで_target_num_を入手すると解放されます	냥냥이 집에서 _target_num_ 획득 후 해금	ปลดล็อก​หลังจาก​ได้รับ​ถึง​ _target_num_​ ใน​บ้าน​แมว​
1002	1	在喵喵屋中获得_target_num_数据后解锁	在喵喵屋中獲得_target_num_資料後解鎖	Acquire _target_num_ data from the Cat House to unlock	ニャンニャンハウスでデータを_target_num_入手すると解放されます	냥냥이 집에서 _target_num_ 획득 후 해제	ปลดล็อก​หลังจาก​ใน​บ้าน​แมว​ได้รับ​ข้อมูล​ _target_num_​
21	1	餐厅达到_target_num_级后解锁	餐廳達到_target_num_級後解鎖	Reach Cafe Lv._target_num_ to unlock	レストランLv._target_num_で解放されます	카페테리아 레벨 _target_num_ 달성 후 해제	ปลดล็อก​เมื่อ​คาเฟ่​\nเล​เวล​ _target_num_​
22	1	_target_id_好感度达到_target_num_级	_target_id_好感度達到_target_num_級	_target_id_'s Affection reaches Lv._target_num_	_target_id_の好感度がLv._target_num_に達すると解放されます	_target_id_호감도 달성_target_num_레벨	ค่า​ความสัมพันธ์​ของ​ _target_id_​ มี​เล​เวล​ถึง​ _target_num_​
23	1	天梯达到_target_id_段位	天梯達到_target_id_段位	Reach Division _target_id_ in the Arena.	アリーナランクが_target_id_に達すると解放されます	하늘 계단 _target_id_티어 달성	ไต่​แรงก์​ใน​โหมด​สกาย​ถึง​แรงก์​ _target_id_​
24	1	餐厅达到_target_num_星后解锁	餐廳達到_target_num_星後解鎖	Upgrade the Cafe to _target_num_★ to unlock	レストランが★_target_num_に達すると解放されます	카페테리아 레벨 _target_num_ 달성 후 해제	ปลดล็อก​เมื่อ​คาเฟ่​มีระดับ​ดาว​ถึง​ _target_num_​★​
25	1	接受主线_target_num_任务后解锁	接受主線_target_num_任務後解鎖	Accept Main Story _target_num_'s mission	メインストーリー_target_num_クリアで解放	메인 스토리 _target_num_ 미션 수락 후 해제	ปลดล็อก​หลังจาก​รับ​ภารกิจ​หลัก​ _target_num_​
26	1	所属社团达到_target_num_级解锁	所屬社團達到_target_num_級解鎖	Unlocks when your Clan reaches Lv. _target_num_.	所属ギルドがLv._target_num_に達すると解放されます	소속 클럽 _target_num_레벨 달성 후 해제	ปลดล็อกเมื่อชมรมที่เข้าร่วมมีเลเวลถึง _target_num_
27	1	通关区域内关卡_target_num_后解锁	通關區域內關卡_target_num_後解鎖	Clear Stage _target_num_ in this district to unlock	エリア内のステージ_target_num_をクリアすると解放されます	해당 지역의 _target_num_레벨 클리어 후 해제	ปลดล็อก​หลังจาก​ผ่าน​ด่าน​ _target_num_​ ภายใน​พื้นที่​
28	1	区域内关卡_target_num_开放后解锁	區域內關卡_target_num_開放後解鎖	Unlocks when Stage _target_num_ in this district is open.	エリア内のステージ_target_num_が開放されると解放されます	지역 내 _target_num_레벨 개방 후 해제	ปลดล็อก​หลังจาก​เปิด​ด่าน​ _target_num_​ ภายใน​พื้นที่​
29	1	钓起_target_id_鱼后解锁	釣起_target_id_魚後解鎖	Unlocks after catching _target_id_.	_target_id_を釣り上げると解放されます	물고기 _target_id_를 낚은 후 해제	ปลดล็อก​เมื่อ​ตก​ได้​ปลา​_target_id_​
30	1						
31	1						
32	1						
33	1						
34	1	拥有_target_num_个初始品质为_target_id_的战斗员	擁有_target_num_個初始品質為_target_id_的戰鬥員	Obtain _target_num_ Combatant(s) with original _target_id_ quality.	初期レアリティが_target_id_の戦闘員を_target_num_名所持する。	기본 등급이 _target_id_인 전투원 _target_num_명 보유	มี​ตัวละคร​ที่​ระดับ​เริ่มต้น​ _target_id_​ จำนวน​ _target_num_​ คน​
35	1						
