id	storyId	groupId	people	jumpId	choiceOneId	choiceTwoId	choiceThreeId	faceId	action	time	music	sound	voice	voiceLady	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	2	2												1	我	我	You	調査官	나	ฉัน	怎么了？有什么事，你直接联系我不就好了？	怎麼了？有什麼事，你直接聯繫我不就好了？	What's going on? If there's a problem, let me know immediately.	どうしたの？何かあったなら、直接連絡すればよかったのに。	무슨 일 있어? 필요한 거 있으면 나한테 바로 연락하면 되잖아?	เป็น​อะไร​เหรอ​?​ เกิด​อะไร​ขึ้น​รึเปล่า​ เธอ​บอก​ฉัน​มา​ตรงๆ​ เลย​ก็​พอแล้ว​นี่​?​
2	1	2	1	3												1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	也不是什么要紧的事情啦，只是有些好奇的事情，想来问问你……	也不是什麼要緊的事情啦，只是有些好奇的事情，想來問問你……	It's nothing important, Inspector. I'm just curious…	大したことじゃないんだけどさ、ちょっと気になることがあって、聞いてみたくなっただけで……	그렇게 급한 건 아니야. 그냥 좀 궁금한 게 있어서 물어보려고 했어..	มัน​ก็​ไม่​ใช่​เรื่อง​เร่งรีบ​อะไร​หรอก​น่า​ ก็​แค่​มีเรื่อง​ที่​สงสัย​...​ ที่​อยาก​จะ​ถาม​เธอ​นิดหน่อย​น่ะ​...​
3	1	3	2	4												1	我	我	You	調査官	나	ฉัน	好奇的事情？	好奇的事情？	Curious?	気になること？	궁금한 거?	เรื่องที่สงสัย?
4	1	4	1	5												1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	就是……哎呀！就是你和凌霄那家伙是怎么认识的啊？	就是……哎呀！就是你和淩霄那傢伙是怎麼認識的啊？	Well, um… how did you and Linsho meet?	その……ああもう！調査官と凌霄って、どうやって知り合ったのかなって。	그러니까.. 아 정말! 너는 영소 그 녀석이랑 어떻게 알게된 사이야?	คือ​ว่า​...​ โธ่​!​ ก็​เรื่อง​ที่​เธอ​กับ​เจ้า​ห​ลิง​เซียว​นั่น​รู้จัก​กัน​นั่นแหละ​ พวก​เธอ​ไป​รู้​จัก​กัน​ได้​ยังไง​?​
5	1	5	2	6												1	我	我	You	調査官	나	ฉัน	诶？！你想知道这个？\n唔——怎么说呢？只是纯属意外吧。我们外出调查时，得到了凌霄的帮忙。	咦？！你想知道這個？\n嗯——怎麼說呢？只是純屬意外吧。我們外出調查時，得到了淩霄的幫忙。	Oh! That's your question? How should I say this - pure coincidence. We got some help from him on an investigation before.	えっ！？それを知りたいの？うーん……どう説明したらいいかな。まったくの偶然だよ。外に調査へ出たとき、凌霄に助けてもらったんだ。	엥?! 그걸 알고 싶다고?\n음.. 뭐랄까 그냥 우연이었어. 외부 조사를 나갔을 때, 영소가 도와줬었거든	เอ๋​?!​ อยาก​รู้เรื่อง​นี้​เหรอ​?​ อืม​—​ จะ​ว่า​ยังไง​ดี​ ก็​คง​เป็น​แค่​เรื่อง​บังเอิญ​มากกว่า​นะ​ ระหว่าง​ที่​พวกเรา​ออก​ไป​สืบสวน​ ห​ลิง​เซียว​ก็​เข้ามา​ช่วย​พอดี​น่ะ​
6	1	6	1	7				200301								1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	他帮忙了？！那家伙没讹你吧？	他幫忙了？！那傢伙沒坑你吧？	He was helpful? He didn't try to trick you, did he?	あいつが？誑かすとかしてないよね？	도와줬었다고?! 그녀석이 너를 속인 거 아니야?	เขา​ช่วย​คน​เป็น​ด้วย​เหรอ​?!!​ หมอ​นั่น​คง​ไม่​ได้​หลอก​เอา​เงิน​จาก​เธอ​ไป​ใช่​มั้ย​เนี่ย​?​
7	1	7	2												1	1	我	我	You	調査官	나	ฉัน	哈哈……没有没有。\n不过——凌霄在你心中到底是个什么样的形象啊……	哈哈……沒有沒有。\n不過——淩霄在你心中到底是個什麼樣的形象啊……	Haha, no…don't worry.\nI wonder though, what image of Linsho do you have in mind that you ask?	はは……いやいや、そんなことはなかったよ。ていうか――雲燦の中で、凌霄ってどんな人なのさ…...	하하.. 그런 건 없어.\n그나저나.. 영소가 뭘 했길래 너한테 그런 이미지로 남아있는 거지..	ฮ่า​ฮ่า​...​ เปล่าสักหน่อย​\nว่าแต่​—​ ห​ลิง​เซียว​ใน​ความคิด​ของ​เธอ​นี่​เป็น​คน​ยังไง​กัน​แน่​ล่ะ​เนี่ย​...​
8	2	1	2	2												1	我	我	You	調査官	나	ฉัน	嗯？你在等我吗？	嗯？你在等我嗎？	Huh, are you waiting for me?	あれ？待っててくれたの？	응? 나 기다린 거야?	หืม​?​ เธอ​กำลัง​รอ​ฉัน​อยู่​เหรอ​?​
9	2	2	1	3				200101								1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	对啊，庆典人这么多，怕你找不到嘛！\n马上就是新曜庆典最精彩的点灯环节啦，这可不能错过！	對啊，慶典人這麼多，怕你找不到啊！\n馬上就是新曜慶典最精彩的點燈環節啦，這可不能錯過！	Yes! It's so crowded here, I was worried you couldn't find me.\nIt's the most exciting part of the Lantern Rite now, don't miss it!	そうだよ！お祭りで人が多いから、迷子になっちゃうじゃないかと思ってさ！もうすぐ新曜祭で一番盛り上がる点灯の時間だよ。これは見逃せないでしょ！	그렇지, 축제를 보러온 사람이 이렇게 많은데 너를 못 찾을 가봐 걱정했어!\n곧 엄청 화려한 등불 축체가 시작되는데 놓칠 수는 없잖아!	ก็​ใช่​น่ะ​สิ​ ใน​งานฉลอง​มี​คน​เยอะ​ตั้ง​ขนาด​นี้​ กลัว​ว่า​เธอ​จะ​หาไม่​เจอ​ไง​!​ เดี๋ยว​ก็​จะ​ถึง​อีเวนต์​โคมไฟ​ของ​เทศกาล​สุริยัน​แล้ว​นะ​ นี่แหละ​ที่​เป็น​ไฮไลต์​สุด​ๆ​ จะ​พลาด​ไม่​ได้​เด็ดขาด​เลย​!​
