id	prefab	icon	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	66:bamboo_boss_01.prefab	115:activity_bamboo_map_icon_tips_3	1	战斗	戰鬥	Battle	戦闘	전투	ต่อสู้	有一只强大的首领傀，或许和这次事件有关。	有一隻強大的首領傀，或許和這次事件有關。	A powerful Anomaly boss is likely connected to this event.	強力なBOSS傀がいる。 おそらく、今回のイベントと関係があるだろう。	강력한 보스 괴수가 있습니다, 아마 이번 사건과 관련이 있을 것입니다.	มี​บอส​หุ่นเชิด​สุด​แข็งแกร่ง​อยู่​หนึ่ง​ตัว​ อาจ​เกี่ยวกับ​เหตุการณ์​นี้​ก็ได้​
2	66:bamboo_boss_02.prefab	115:activity_bamboo_map_icon_tips_2	1	战斗	戰鬥	Battle	戦闘	전투	ต่อสู้	一群傀挡住了道路。	一群傀擋住了道路。	A menacing cluster of Anomalies obstructs the path ahead.	傀の群が道をふさいでいた。	괴수 무리가 길을 막고 있습니다.	มี​หุ่นเชิด​กลุ่ม​หนึ่ง​มา​ขวางทาง​
3	66:bamboo_incident_01.prefab	115:activity_bamboo_map_icon_tips_4	1	事件	事件	Event	イベント	사건	อีเวนต์	似乎会有什么好事发生？	似乎會有什麼好事發生？	It seems something good might happen?	何かいいことが起こりそうですよ？	좋은 일이 생길 것 같아요?	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​?​
4	66:bamboo_incident_02.prefab	115:activity_bamboo_map_icon_tips_1	1	事件	事件	Event	イベント	사건	อีเวนต์	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
11	66:bamboo_plant_01_01.prefab	115:activity_bamboo_map_icon_tips_101	1	一座土堆	一座土堆	An Earthen Mound	土の山	흙더미	กองดินหนึ่งกอง	巨大的土堆，看看有没有其他路线吧。	巨大的土堆，看看有沒有其他路線吧。	An imposing mound of earth blocks our path. Let's see if there's another way around.	巨大な土の山が道をふさいでいた。別のルートを探そう。	거대한 흙더미, 다른 길을 찾아봅시다.	กอง​ดิน​กอง​ใหญ่​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
12	66:bamboo_plant_01_02.prefab	115:activity_bamboo_map_icon_tips_102	1	一块巨石	一塊巨石	A Giant Rock	巨石	바위	หินยักษ์หนึ่งก้อน	巨大的岩石，看看有没有其他路线吧。	巨大的岩石，看看有沒有其他路線吧。	A giant rock blocks our path. Let's see if there's another way around.	巨大な石が道をふさいでいた。別のルートを探そう。	거대한 바위, 다른 길을 찾아봅시다.	หิน​ขนาด​ยักษ์​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
13	66:bamboo_plant_01_03.prefab	115:activity_bamboo_map_icon_tips_103	1	一滩积水	一灘積水	A Pool of Water	水たまり	웅덩이	แอ่งน้ำขัง	前面积水严重，看看有没有其他路线吧。	前面積水嚴重，看看有沒有其他路線吧。	A substantial accumulation of water obstructs our path. Let's see if there's another way around.	大きな水たまりが道をふさいでいた。別のルートを探そう。	앞에 심각한 웅덩이, 다른 길을 찾아봅시다.	แอ่งน้ำ​ขัง​ขนาดใหญ่​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
14	66:bamboo_plant_01_04.prefab	115:activity_bamboo_map_icon_tips_104	1	一个树桩	一個樹樁	A Tree Stump	切り株	나무 그루터기	ตอไม้ต้นหนึ่ง	砍伐剩下的巨大树桩，看看有没有其他路线吧。	砍伐剩下的巨大樹樁，看看有沒有其他路線吧。	An enormous tree stump obstructs our path. Let's see if there's another way around.	目の前にあるのは巨大な切り株だけ。別のルートを探そう。\n	베어낸 큰 나무 그루터기, 다른 길을 찾아봅시다.	ตอไม้​ขนาดใหญ่​ที่​ถูก​ตัด​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
15	66:bamboo_plant_01_05.prefab	115:activity_bamboo_map_icon_tips_104	1	一个树桩	一個樹樁	A Tree Stump	切り株	나무 그루터기	ตอไม้ต้นหนึ่ง	砍伐剩下的巨大树桩，看看有没有其他路线吧。	砍伐剩下的巨大樹樁，看看有沒有其他路線吧。	An enormous tree stump obstructs our path. Let's see if there's another way around.	目の前にあるのは巨大な切り株だけ。別のルートを探そう。\n	베어낸 큰 나무 그루터기, 다른 길을 찾아봅시다.	ตอไม้​ขนาดใหญ่​ที่​ถูก​ตัด​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
