id	activityId	startLevel	maxLevel	icon	levelupConsumeItem	levelupConsume	price	unlockLevel	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH	des2	des2_zh_TW	des2_en_UK	des2_ja_JP	des2_ko_KR	des2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	3	172:9030213;172:9030214;172:9030215	9030002;9030002	150;500	6;9;12	1	1	面糊	麵糊	Batter	生地	반죽	แป้ง	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
2	1	1	3	172:9030225;172:9030225;172:9030225;	9030002;9030002	150;500	6;9;12	2	1	冰淇淋	霜淇淋	Ice Cream	アイスクリーム	아이스크림	ไอศกรีม	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
3	1	1	3	172:9030226;172:9030226;172:9030226;	9030002;9030002	150;500	6;9;12	8	1	新鲜果切	新鮮果切	Fresh Fruit Slices	フルーツ盛り合わせ	과일 슬라이스	ผลไม้หั่นชิ้น	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
4	1	1	3	172:9030217;172:9030218;172:9030217	9030002;9030002	150;500	6;9;12	5	1	甜甜圈胚	甜甜圈胚	Donut Dough	ドーナツ生地	도너츠 반죽	โดนัท	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
5	1	1	3	172:9030228;172:9030228;172:9030228;	9030002;9030002	150;500	6;9;12	12	1	巧克力酱	巧克力醬	Chocolate Sauce	チョコレートシロップ	초콜렛 소스	ซอสช็อกโกแลต	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
6	1	1	3	172:9030227;172:9030227;172:9030227;	9030002;9030002	150;500	6;9;12	14	1	香草奶油酱	香草奶油醬	Vanilla Cream Sauce	バニラクリーム	생크림 소스	ซอสวานิลลา	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
7	1	1	3	172:9030232;172:9030233;172:9030234	9030002;9030002	150;500	6;9;12	10	1	优酪乳	優酪乳	Yogurt	ヨーグルト	요거트	โยเกิร์ตพรีเมียม	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
8	1	1	3	172:9030229;172:9030230;172:9030231	9030002;9030002	150;500	6;9;12	3	1	咖啡	咖啡	Coffee	コーヒー	커피	คอฟฟี่	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
9	2	1	3	199:9030313;199:9030314;199:9030315	9000078;9000078	150;500	6;9;12	22	1	面糊	麵糊	Batter	生地	반죽	แป้ง	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
10	2	1	3	199:9030320;199:9030320;199:9030320;	9000078;9000078	150;500	6;9;12	23	1	炒韭菜	炒韭菜	Stir-Fried Chives	ニラの炒めもの	부추 볶음	ผัดกุ้ยช่าย	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
11	2	1	3	199:9030319;199:9030319;199:9030319;	9000078;9000078	150;500	6;9;12	29	1	酱肉丝	京醬肉絲	Sauced Meat Shreds	ジンジャンロウスー	채썬 양념고기	หมูเส้นผัดซอส	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
12	2	1	3	199:9030316;199:9030317;199:9030318	9000078;9000078	150;500	6;9;12	26	1	米线	米線	Rice Noodles	米線	쌀국수	หมี่เส้น	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
13	2	1	3	199:9030322;199:9030322;199:9030322;	9000078;9000078	150;500	6;9;12	33	1	煎蛋	煎蛋	Fried Egg	目玉焼き	달걀 프라이	ไข่ทอด	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
14	2	1	3	199:9030321;199:9030321;199:9030321;	9000078;9000078	150;500	6;9;12	35	1	火腿	火腿	Ham	ハム	햄	แฮม	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
15	2	1	3	199:9030326;199:9030327;199:9030328	9000078;9000078	150;500	6;9;12	31	1	烧麦	燒麥	Shaomai	焼売	사오마이	ขนมจีบ	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
16	2	1	3	199:9030323;199:9030324;199:9030325	9000078;9000078	150;500	6;9;12	24	1	茶	茶	Tea	お茶	차	ชา	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
17	3	1	3	206:9030413;206:9030414;206:9030415	9000094;9000094	150;500	6;9;12	43	1	薯条	薯條	Fries	フライドポテト	감자튀김	มันฝรั่งทอด	售价从_curPrice_提升到_upgradePrice_	售價從_curPrice_提升到_upgradePrice_	Price changed from _curPrice_ to _upgradePrice_.	売値が_curPrice_から_upgradePrice_に上がる。	가격이 _curPrice_에서 _upgradePrice_로 올라갑니다.	ราคาขาย​จาก​ _curPrice_​ เพิ่มขึ้น​เป็น​ _upgradePrice_​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
