id	character	condition	status	content	content_zh_TW	content_en_UK	content_ja_JP	content_ko_KR	content_th_TH
int	int	int	int	int	int	int	int	int	int
10101	101	101	1	位置偏移了。	位置偏移了。	The position is off.	位置がずれました。	스팟에서 조금 벗어났어	ตำแหน่ง​เคลื่อน​ไป​นิดนึง​นะคะ​
10102	101	102	1	很精准。	很精準。	Very precise.	とても正確です。	정확해	แม่นมากค่ะ!
10103	101	103	1	啊……真是厉害。	啊……真是厲害。	Ahh... Nicely done!	ああ……本当にすごいです。	아… 정말 대단하네	ว้าว​...​ เก่ง​มาก​เลย​ค่ะ​!​
10104	101	201	1	真是难得。	真是難得。	How rare.	珍しいですね。	쉽지 않은 일이야	หายากนะคะเนี่ย!
10105	101	201	1	鱼上钩了！	魚上鉤了！	We got a fish!	魚が釣れました！	물고기가 걸렸어!	ติดเบ็ดแล้วค่ะ!
10106	101	201	1	是好东西！	是好東西！	It's a good one!	良いものです！	좋은 물고기같아	ของดีเลยนะคะ!
10107	101	201	1	呼，终于成功了。	呼，終於成功了。	Phew. We got it!	ふぅ、ついに成功しました。	휴, 드디어 잡았구나	ฟู่​ว​...​ ในที่สุด​ก็​ทำได้​แล้ว​ค่ะ​!​
10108	101	201	1	果然不愧是调查官。	果然不愧是調查官。	As I expected from the Inspector.	さすが調査官ですね。	역시 조사관이야	สม​แล้ว​ที่​เป็น​ผู้ตรวจการ​!​
10109	101	202	1	刚刚的是_fishName_，调查官得控制好力道才行，最好不要一直用力。	剛剛的是_fishName_，調查官得控制好力道才行，最好不要一直用力。	That was _fishName_. Inspector, you need to control your pull. Don't go all in every time.	先ほど釣れたのは_fishName_でした。調査官、力加減が大事ですよ、ずっと力を入れ続けない方がいいです。	조금 전 그건 _fishName_였어. 조사관, 힘 조절을 잘하고 계속 힘을 주면 안 돼	เมื่อกี้​เป็น​ _fishName_​ ผู้ตรวจการ​ต้อง​ควบคุม​แรง​ให้​ดี​ ไม่​ควร​ออกแรง​ตลอด​ค่ะ​
10110	101	203	1	被挣脱了，看外形应该是_fishName_，再耐心点吧，下次一定能钓上来的。	被掙脫了，看外形應該是_fishName_，再耐心點吧，下次一定能釣上來的。	It got away... It looked like a _fishName_. All right, next time, be patient.	逃げられたが、見た目から_fishName_だったかと。もう少し根気強く待ちましょう、次はきっと釣れますよ。	놓쳐버렸네. 모양을 보니 _fishName_ 같은데, 포기하지 말고 도전하면 다음엔 꼭 잡을 수 있을 거야	หลุด​ไป​แล้ว​ ดู​จาก​รูปร่าง​น่าจะเป็น​ _fishName_​ ใจเย็น​ๆ​ นะคะ​ คราวหน้า​ต้อง​ตก​ได้​แน่นอน​!​
10111	101	204	1	看来跑掉的是_fishName_，别灰心，调查官，或许<color=#ff1baf>换种渔具</color>就能成功。	看來跑掉的是_fishName_，別灰心，調查官，或許<color=#ff1baf>換種漁具</color>就能成功。	Looks like it was a _fishName_ that got away. Don't be disappointed, Inspector. Maybe you'll have better luck if you <color=#ff1baf>swap your gear</color>.	逃げたのは_fishName_みたいです。落ち込まないでください、調査官。<color=#ff1baf>違う釣具</color>を使えば成功するかもしれません。	놓친 물고기는  _fishName_ 인 것 같아. 조사관, 실망할 필요 없어.  <color=#ff1baf>다른 낚시 도구</color>를 사용하면 성공할 수 있을지도 몰라	ดูเหมือน​ที่​หนี​ไป​จะ​เป็น​ _fishName_​ อย่า​เพิ่ง​ท้อ​นะ​ผู้ตรวจการ​ ลอง​<color=#ff1baf>เปลี่ยนอุปกรณ์ตกปลา</color>​ดู​ก็ได้​นะ​
10112	101	301	1	它要上钩了。	它要上鉤了。	It's gonna bite!	もうすぐかかります。	물고기가 곧 걸릴 것 같아	มัน​กำลังจะ​กิน​เหยื่อ​แล้ว​ล่ะ​!​
10113	101	301	1	马上就要钓上来了。	馬上就要釣上來了。	We're gonna get it!	もうすぐ釣り上げられます。	이제 곧 낚을 수 있을 거야	อีก​นิดเดียว​จะ​ได้​แล้ว​ค่ะ​!​
10114	101	301	1	要沉住气。	要沉住氣。	Stay calm…	冷静に。	침착하게 숨을 참아 봐	ใจเย็นๆ ไว้นะคะ
10115	101	301	1	还不能安心。	還不能安心。	Can't let up now.	まだ安心できません。	아직 안심할 수 없어	อย่าเพิ่งวางใจค่ะ
10116	101	301	1	再加把劲。	再加把勁。	You can do it!	もう少し頑張りましょう。	조금 더 힘을 내 봐	ออกแรงอีกหน่อย!
10117	101	302	1	鱼要逃了！	魚要逃了！	The fish is getting away!	魚が逃げます！	물고기가 도망칠 것 같아!	ปลาจะหนีไปแล้วค่ะ!
10118	101	302	1	调查官，注意！	調查官，注意！	Careful, Inspector!	調査官、注意してください！	조사관, 집중해!	ผู้ตรวจการ ระวังค่ะ!
10119	101	302	1	拉紧鱼竿！	拉緊魚竿！	Don't let go of the pole!	釣り竿をしっかり持ってください！	낚시대를 당겨야 해!	ดึงคันเบ็ดให้แน่นค่ะ!
10120	101	302	1	小心被它挣脱！	小心被它掙脫！	Careful! Don't let it get away!	逃がさないように気をつけてください！	놓치지 않으려면 조심해!	ระวังมันจะหลุดนะ!
10121	101	302	1	还不能放松！	還不能放鬆！	We gotta keep up!	まだ油断できません！	아직 힘을 빼면 안 돼!	ยัง​ผ่อนแรง​ไม่​ได้​นะคะ​!​
10201	102	101	1	哎呀，这位置不太妙呀~	哎呀，這位置不太妙呀~	Oh. This isn't a good position!	あ～この位置はちょっと……	아니, 그 스팟은 별로 좋지 않아~	เอ๋​ ตำแหน่ง​นี้​ไม่ค่อย​ดี​เลย​~​
10202	102	102	1	咻~还不错嘛，调查官。	咻~還不錯唷，調查官。	Hmm— Not bad, Inspector.	ヒュー！悪くないね、調査官。	유후~ 잘하잖아. 조사관	วู้​ว​~​ ไม่เลว​เลย​ ผู้ตรวจการ​
10203	102	103	1	喔哇——完美啊！	喔哇——完美啊！	Whoa— Perfect!	わー！完璧にゃ！	우와—— 퍼펙트!	โอ้โห— เพอร์เฟคเลย!
10204	102	201	1	调查官，快看看是什么好东西~！	調查官，快看看是什麼好東西~！	Inspector! Let's see what goodies you got!	調査官、何が釣れたか見てみよう！	조사관, 어떤 걸 잡았는지 한 번 봐봐!	ผู้ตรวจการ​ มา​ดู​เร็ว​ว่า​ได้​ของดี​อะไร​มา​~!​
10205	102	201	1	钓上来啦！这可得好好庆祝一下！	釣上來啦！這可得好好慶祝一下！	We got a fish! Time to celebrate!	釣れた！これはお祝いしないと！	잡았구나! 제대로 축하해줘야겠는걸!	ตก​ได้​แล้ว​!​ ต้อง​ฉลอง​กัน​หน่อย​!​
10206	102	201	1	太厉害了！艾可也想钓这么大的鱼~	太厲害了！艾可也想釣這麼大的魚~	This is awesome! Echo wants to get this big of a fish, too!	すごいね！アイコもこんな大きな魚を釣りたいな～	정말 대단하네! 에코도 이런 월척을 잡아보고 싶어~	เก่ง​มาก​เลย​!​ เอ​ค​โค​ก็​อยาก​ตกปลา​ตัว​ใหญ่​แบบนี้​ได้​บ้าง​~​
10207	102	201	1	再来一条！再来一条！	再來一條！再來一條！	One more fish! One more fish!	もう一匹！もう一匹！	한 마리 더! 한 마리 더!	เอาอีก! เอาอีก!
10208	102	201	1	上钩啦！快让艾可看看鱼有多大！	上鉤啦！快讓艾可看看魚有多大！	It took the bait! Let Echo see how big the fish is!	かかった！アイコにも魚の大きさを見せて！	걸렸어! 어서 에코한테 물고기가 얼마나 큰지 보여달라구!	ติด​แล้ว​!​ ให้​เอ​ค​โค​ดู​เร็ว​ว่า​ปลา​ตัว​ใหญ่​แค่​ไหน​!​
10209	102	202	1	是_fishName_，调查官太用力啦，需要艾可帮你做一个力道控制仪吗？	是_fishName_，調查官太用力啦，需要艾可幫你做一個力道控制儀嗎？	It's _fishName_. Inspector, you pulled too hard. Do you need Echo to make you a force suppressor?	_fishName_だよ。調査官力み過ぎ、コントローラーをアイコが作ってあげようか？	_fishName_(이)야. 조사관, 힘을 너무 많이 주는 것 같은데, 에코가 드렉(힘조절기)을 만들어 줄까?	เป็น​ _fishName_​ ล่ะ​ ผู้ตรวจการ​ออกแรง​เกินไป​แล้ว​ ให้​เอ​ค​โค​ทำ​เครื่อง​ควบคุม​แรง​ให้​ไหม​ล่ะ​เมี้ยว​?​
