showType	showStar	showQuality	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int
101	0	1	1	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
301	1	0	1	货币	貨幣	Currency	通貨	화폐	สกุลเงิน
302	1	0	1	入场凭证	入場憑證	Ticket	入場券	입장권	บัตรเข้าสนาม
303	1	0	1	积分	積分	Points	ポイント	포인트	คะแนน
311	1	0	1	聊天表情	聊天表情	Emote	スタンプ	채팅 이모티콘	อีโมจิแชต
401	0	1	1	装备道具	裝備道具	Equipment	装備	장비 아이템	ไอเทมอุปกรณ์
4101	1	0	1	战斗员升级道具	戰鬥員升級道具	Combatant Upgrade Item	戦闘員レベルアップ	전투원 레벨업 아이템	ไอเทมอัปเกรดตัวละคร
4102	1	0	1	战斗员突破道具	戰鬥員突破道具	Combatant Ascension Item	戦闘員突破	전투원 돌파 아이템	ไอเทมปลดลิมิตตัวละคร
4103	1	0	1	战斗员升星道具	戰鬥員升星道具	Combatant Star-up Item	戦闘員昇格	전투원 승급 아이템	ไอเทมเพิ่มดาวตัวละคร
4104	1	0	1	战斗员技能提升道具	戰鬥員技能提升道具	Skill Upgrade Item	戦闘員スキル	전투원 스킬 향상 아이템	ไอเทม​อัปเกรด​สกิล​ตัวละคร​
10001	0	1	1	战斗员时装	戰鬥員時裝	Outfit	戦闘員外観	전투원 스킨	คอสตูมตัวละคร
4105	1	0	1	装备升级道具	裝備升級道具	Equipment Upgrade Item	装備レベルアップ	장비 레벨업 아이템	ไอเทมอัปเกรดอุปกรณ์
4106	1	0	1	装备升星道具	裝備升星道具	Equipment Star-Up Item	装備昇格	장비 승급 아이템	ไอเทมเพิ่มดาวอุปกรณ์
4107	1	0	1	装备强化道具	裝備強化道具	Equipment Enhancement Item	装備強化用アイテム	장비 강화 아이템	ไอเทมตีบวกอุปกรณ์
4108	1	0	1	装备洗练道具	裝備洗練道具	Refinement Item	装備洗練	장비 제련 아이템	ไอเทมรีไฟน์​อุปกรณ์​
4109	1	0	1	专武材料	專武材料	Pathos Weapon Material	専用武器材料	전용 무기 재료	วัตถุดิบสำหรับอาวุธเฉพาะ
4110	1	0	1	加速道具	加速道具	Acceleration Item	加速アイテム	가속 아이템	ไอเทมเร่ง​ความเร็ว​
4111	1	0	1	猫球升级道具	貓球升級道具	Cato Upgrade Item	ガトレベルアップ	냥냥볼 레벨업 아이템	ไอเทมอัปเกรดแคทบอล
4112	1	0	1	猫球升星道具	貓球升星道具	Cato Star-Up Item	ガト昇格	냥냥볼 승급 아이템	ไอเทมเพิ่มดาวแคทบอล
4113	1	0	1	恢复道具	恢復道具	Recovery Item	回復	회복 아이템	ไอเทมฟื้นฟู
4114	1	0	1	钓鱼道具	釣魚道具	Fishing Item	フィッシング	낚시 아이템	ไอเทมตกปลา
4115	1	0	1	召唤道具	召喚道具	Summoning Item	召喚	소환 아이템	ไอเทมรับสมัคร
4116	1	0	1	区域货币	區域貨幣	District Currency	エリア通貨	지역 화폐	สกุลเงินเขตพื้นที่
4117	1	0	1	时装升级道具	時裝升級道具	Outfit Upgrade Item	外観アップグレード	스킨 레벨업 아이템	ไอเทมอัปเกรดคอสตูม
4118	1	0	1	战略点	戰略點	Strategy Points	戦略ポイント	전략 포인트	จุดกลยุทธ์
4119	1	0	1						
4120	1	0	1						
4121	1	0	1						
4122	1	1	1						
4199	1	0	1	见闻	見聞	Knowledge	見聞	견문	ประสบการณ์
451	1	0	1	礼物道具	禮物道具	Gift Item	プレゼント	선물 아이템	ไอเทมของขวัญ
501	1	0	1	礼包道具	禮包道具	Gift Pack	パック	패키지 아이템	ไอเทมแพ็กเกจ
511	1	0	1	体力道具	體力道具	Pathos Item	エモーション補充	행동력 아이템	ไอเทมพลังงาน
521	1	0	1	自选礼包	自選禮包	Selection Pack	選択パック	선택 패키지	แพ็กกำหนดเอง
531	1	0	1	经验道具	經驗道具	EXP Item	EXPアイテム	EXP 아이템	ไอเทม EXP
541	1	0	1	专辑	專輯	Album	アルバム	앨범	อัลบั้ม
551	1	0	1	食谱	食譜	Recipe	レシピ	레시피	สูตรอาหาร
561	1	0	1	食材	食材	Ingredients	食材	식재료	วัตถุดิบอาหาร
571	1	0	1	料理	料理	Food	料理	요리	อาหาร
581	1	0	1	家具	傢俱	Furniture	家具	가구	เฟอร์นิเจอร์
590	1	1	1						
591	1	1	1						
601	1	1	1						
621	1	0	1	头像	頭像	Avatar	アイコン	프로필	รูปโปรไฟล์
622	1	0	1	头像框	頭像框	Avatar Frame	アイコン枠	프로필 프레임	กรอบโปรไฟล์
623	1	0	1	徽章	徽章	Badge	バッチ	엠블럼	ตรา
624	1	0	1	主题	主題	Theme	スタイル	테마	ธีม
625	0	0	1	社团头像	社團頭像	Clan Avatar	ギルドアイコン	클럽 로고	รูปโปรไฟล์ชมรม
626	1	0	1						
627	1	0	1						
641	0	1	1	猫球	貓球	Cato	ガト	냥냥볼	แคทบอล
671	0	1	1	猫球基因	貓球基因	Cato Gene	ガト遺伝子	냥냥볼 유전자	ยีนแคทบอล
681	0	1	1						
701	1	0	1	战斗员核心	戰鬥員核心	Combatant Core	戦闘員核心	전투원 코어	แกนหลัก​ตัวละคร​
801	1	0	1	鱼	魚	Fish	魚	물고기	ปลา
811	1	0	1	卷线轮	卷線輪	Fishing Reel	リール	릴	รอก
821	1	0	1	鱼饵	魚餌	Bait	釣り餌	미끼	เหยื่อตกปลา
822	1	0	1	定向鱼饵	定向魚餌	Targeted Bait	定向釣り餌	특수 미끼	กำหนด​ทิศทาง​ของ​เหยื่อ​ตกปลา​
831	1	0	1	鱼竿	魚竿	Fishing Rod	ロッド	낚싯대	เบ็ดตกปลา
