id	roleID	roletype	cardID	skinId	targetNum	given	displayOrder	time	voicecode	ladyVoicecode	type	priority	showInBook	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desk	desk_zh_TW	desk_en_UK	desk_ja_JP	desk_ko_KR	desk_th_TH	ladyDesk	ladyDesk_zh_TW	ladyDesk_en_UK	ladyDesk_ja_JP	ladyDesk_ko_KR	ladyDesk_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	101	3	101005		0			0	vo_hello_101005_01	vo_hello_101005_01	1	2	1	1	打招呼1	打招呼1	Greeting 1	挨拶1	인사1	ทักทาย 1	调查官，你喜欢什么样的色彩？	調查官，你喜歡什麼樣的色彩？	Hey, Inspector, what's your favorite color?	調査官はなに色が好きですか？	조사관은 어떤 색을 좋아해?	ผู้ตรวจการ​ชอบ​สี​อะไร​เหรอ​คะ​?	调查官，你喜欢什么样的色彩？	調查官，你喜歡什麼樣的色彩？	Hey, Inspector, what's your favorite color?	調査官はなに色が好きですか？	조사관은 어떤 색을 좋아해?	ผู้ตรวจการ​ชอบ​สี​อะไร​เหรอ​คะ​?
2	101	3	101005		0			0	vo_hello_101005_02	vo_hello_101005_02	1	2	1	1	打招呼2	打招呼2	Greeting 2	挨拶2	인사2	ทักทาย 2	休息，也是工作的一部分。	休息，也是工作的一部分。	Taking breaks is part of the job too, you know.	休憩も、仕事の内ですよ。	휴식도, 업무의 일환이야	การพักผ่อน​ก็​เป็น​ส่วนหนึ่ง​ของ​การทำงาน​นะคะ​	休息，也是工作的一部分。	休息，也是工作的一部分。	Taking breaks is part of the job too, you know.	休憩も、仕事の内ですよ。	휴식도, 업무의 일환이야	การพักผ่อน​ก็​เป็น​ส่วนหนึ่ง​ของ​การทำงาน​นะคะ​
3	101	3	101005		1			0	vo_touch_101005_01	vo_touch_101005_01	2	2	1	1	主界面触碰1	主介面觸碰1	Main Screen Interaction 1	タッチ1	메인 화면 터치1	สัมผัสหน้าหลัก 1	嗯，我有新的灵感了，就这样上色吧……调查官要看看吗？	嗯，我有新的靈感了，就這樣上色吧……調查官要看看嗎？	Hmm, I've got a new idea for the colors... Care to take a look, Inspector?	インスピレーションが沸いてきた。構図はこんな感じで……調査官、ちょっと見てくれませんか？	음, 영감이 떠올랐어. 이렇게 칠하면… 조사관, 내가 그린 것 좀 볼래?	อืม​ ฉัน​ได้​แรงบันดาลใจ​ใหม่​แล้ว​ล่ะ​ จะ​ลงสี​แบบ​นี้แหละ​...​ ผู้ตรวจการ​อยาก​ดู​ไหม​คะ​?​	嗯，我有新的灵感了，就这样上色吧……调查官要看看吗？	嗯，我有新的靈感了，就這樣上色吧……調查官要看看嗎？	Hmm, I've got a new idea for the colors... Care to take a look, Inspector?	インスピレーションが沸いてきた。構図はこんな感じで……調査官、ちょっと見てくれませんか？	음, 영감이 떠올랐어. 이렇게 칠하면… 조사관, 내가 그린 것 좀 볼래?	อืม​ ฉัน​ได้​แรงบันดาลใจ​ใหม่​แล้ว​ล่ะ​ จะ​ลงสี​แบบ​นี้แหละ​...​ ผู้ตรวจการ​อยาก​ดู​ไหม​คะ​?​
4	101	3	101005		1			0	vo_touch_101005_02	vo_touch_101005_02	2	2	1	1	主界面触碰2	主介面觸碰2	Main Screen Interaction 2	タッチ2	메인 화면 터치2	สัมผัสหน้าหลัก 2	调查官，这是今天的任务计划。	調查官，這是今天的任務計畫。	Here's the mission plan for today, Inspector.	調査官、これが今日の任務計画です。	조사관, 오늘의 미션 일정이야	ผู้ตรวจการ​ นี่​แผน​ภารกิจ​วันนี้​ค่ะ​	调查官，这是今天的任务计划。	調查官，這是今天的任務計畫。	Here's the mission plan for today, Inspector.	調査官、これが今日の任務計画です。	조사관, 오늘의 미션 일정이야	ผู้ตรวจการ​ นี่​แผน​ภารกิจ​วันนี้​ค่ะ​
5	101	3	101005		1			0	vo_touch_101005_03	vo_touch_101005_03	2	2	1	1	主界面触碰3	主介面觸碰3	Main Screen Interaction 3	タッチ3	메인 화면 터치3	สัมผัสหน้าหลัก 3	痒痒的……我，我身上沾了什么东西吗？	癢癢的……我，我身上沾了什麼東西嗎？	That tickles... Is there something on me?	くすぐったい……服に何かついたのでしょうか？	가, 간지러워... 호, 혹시 제 몸에 뭐가 묻었어?	คัน​จัง​...​ มี​...​ มี​อะไร​ติดตัว​ฉัน​อยู่​หรือเปล่า​?​	痒痒的……我，我身上沾了什么东西吗？	癢癢的……我，我身上沾了什麼東西嗎？	That tickles... Is there something on me?	くすぐったい…服に何かついたのでしょうか？	가, 간지러워... 호, 혹시 제 몸에 뭐가 묻었어?	คัน​จัง​...​ มี​...​ มี​อะไร​ติดตัว​ฉัน​อยู่​หรือเปล่า​?​
6	101	3	101005		3			0	vo_touch_101005_04	vo_touch_101005_04	2	2	1	1	主界面触碰4	主介面觸碰4	Main Screen Interaction 4	タッチ4	메인 화면 터치4	สัมผัสหน้าหลัก 4	唔！你看到了？……捏泡泡纸很解压……这样会很奇怪吗？	咦！你看到了？……捏泡泡紙很解壓……這樣會很奇怪嗎？	Oh! You saw that? Popping bubble wrap is so satisfying... Is it weird that I enjoy it?	うっ！見てたんですか？！い、いいえ……プチプチを潰してストレスの解消になるかと……やっぱり変？	앗! 봤어? ...그, 그게... 뽁뽁이를 터뜨리면 스트레스가 풀려서... 좀 이상해?	อ๊ะ​!​ เห็น​แล้ว​เหรอ​คะ​?...​ บีบ​กระดาษ​กันกระแทก​ช่วย​ผ่อนคลาย​น่ะ​...​ แปลก​ใช่ไหม​คะ​?​	唔！你看到了？……捏泡泡纸很解压……这样会很奇怪吗？	咦！你看到了？……捏泡泡紙很解壓……這樣會很奇怪嗎？	Oh! You saw that? Popping bubble wrap is so satisfying... Is it weird that I enjoy it?	うっ！見てたんですか？！い、いいえ……プチプチを潰してストレスの解消になるかと……やっぱり変？	앗! 봤어? ...그, 그게... 뽁뽁이를 터뜨리면 스트레스가 풀려서... 좀 이상해?	อ๊ะ​!​ เห็น​แล้ว​เหรอ​คะ​?...​ บีบ​กระดาษ​กันกระแทก​ช่วย​ผ่อนคลาย​น่ะ​...​ แปลก​ใช่ไหม​คะ​?​
7	101	3	101005		6			0	vo_touch_101005_05	vo_touch_101005_05	2	2	1	1	主界面触碰5	主介面觸碰5	Main Screen Interaction 5	タッチ5	메인 화면 터치5	สัมผัสหน้าหลัก 5	调查官累了吗？我扶你去休息吧。我……我可以在你身边陪着你。	調查官累了嗎？我扶你去休息吧。我……我可以在你身邊陪著你。	Feeling tired, Inspector? Let me help you get some rest. I can keep you company, you know.	お疲れ様です。大丈夫ですか？部屋まで送りましょうか。大丈夫です、私は調査官のそばにいますから。	많이 피곤해? 내가 부축할 테니까 얼른 가서 쉬어… 내, 내가... 옆에 있어 줄게	ผู้ตรวจการ​เหนื่อย​แล้ว​เหรอ​คะ​?​ ให้​ฉัน​พา​ไป​พัก​นะ​ ฉัน​...​ ฉัน​ขอ​อยู่​เป็นเพื่อน​นะคะ​	调查官累了吗？我扶你去休息吧。我……我可以在你身边陪着你。	調查官累了嗎？我扶你去休息吧。我……我可以在你身邊陪著你。	Feeling tired, Inspector? Let me help you get some rest. I can keep you company, you know.	お疲れ様です。大丈夫ですか？部屋まで送りましょうか。大丈夫です、私は調査官のそばにいますから。	많이 피곤해? 내가 부축할 테니까 얼른 가서 쉬어… 내, 내가... 옆에 있어 줄게	ผู้ตรวจการ​เหนื่อย​แล้ว​เหรอ​คะ​?​ ให้​ฉัน​พา​ไป​พัก​นะ​ ฉัน​...​ ฉัน​ขอ​อยู่​เป็นเพื่อน​นะคะ​
8	101	3	101005		0			0	vo_get_card_101005	vo_get_card_101005	14	2	1	1	获得武装	獲得武裝	Obtain Combatant	武装獲得	뽑기로 전투원 획득	ได้รับตัวละคร	让一切都染上色彩！	讓一切都染上色彩！	Let's paint the town with our creativity!	すべて私の色に染まりなさい！	세상을 알록달록하게 만들 거야!	ให้​ทุกอย่าง​เติม​เต็มไปด้วย​สีสัน​!​	让一切都染上色彩！	讓一切都染上色彩！	Let's paint the town with our creativity!	すべて私の色に染まりなさい！	세상을 알록달록하게 만들 거야!	ให้​ทุกอย่าง​เติม​เต็มไปด้วย​สีสัน​!​
9	101	3	101005		0			0	vo_touch_card_101005	vo_touch_card_101005	15	2	1	1	养成触摸	養成觸摸	Interaction	養成タッチ	터치 리액션	สัมผัสการพัฒนา	找到真相之前，我绝不停歇。	找到真相之前，我絕不停歇。	I won't stop until I uncover the truth.	真相を突き止めるまで、私は止まらない。	진실을 찾기 전까지 절대 멈추지 않을 거야	ก่อน​จะ​พบ​ความจริง​ ฉัน​จะ​ไม่​มี​วัน​หยุดพัก​	找到真相之前，我绝不停歇。	找到真相之前，我絕不停歇。	I won't stop until I uncover the truth.	真相を突き止めるまで、私は止まらない。	진실을 찾기 전까지 절대 멈추지 않을 거야	ก่อน​จะ​พบ​ความจริง​ ฉัน​จะ​ไม่​มี​วัน​หยุดพัก​
10	101	3	101005		0			0	vo_levelup_101005	vo_levelup_101005	3	2	1	1	升级成功	升級成功	Upgrade Successful	レベルアップ	레벨 업	อัปเกรดสำเร็จ	新的喷漆？效果不错。	新的噴漆？效果不錯。	New spray paint? Not bad at all.	新しいスプレー？いい使い心地だ。	새로운 락카네? 좋은데.	สเปรย์​กระป๋อง​ใหม่​เหรอ​?​ ใช้ได้​เลย​	新的喷漆？效果不错。	新的噴漆？效果不錯。	New spray paint? Not bad at all.	新しいスプレー？いい使い心地だ。	새로운 락카네? 좋은데.	สเปรย์​กระป๋อง​ใหม่​เหรอ​?​ ใช้ได้​เลย​
11	101	3	101005		0			0	vo_starup_101005	vo_starup_101005	4	2	1	1	升星成功	升星成功	Star-up Successful	スターアップ	승급	เพิ่มดาวสำเร็จ	太好了，新的灵感出现了！	太好了，新的靈感出現了！	Awesome, the ideas are flowing!	インスピレーションが湧いてくる……！	마음에 들어, 새로운 영감이 떠올랐어!	เยี่ยม​!​ ได้​แรงบันดาลใจ​ใหม่​แล้ว​!​	太好了，新的灵感出现了！	太好了，新的靈感出現了！	Awesome, the ideas are flowing!	インスピレーションが湧いてくる……！	마음에 들어, 새로운 영감이 떠올랐어!	เยี่ยม​!​ ได้​แรงบันดาลใจ​ใหม่​แล้ว​!​
12	101	3	101005		0			0	vo_battle_start_101005	vo_battle_start_101005	8	2	1	1	战斗开始	戰鬥開始	Battle Start	戦闘開始	전투 개시	เริ่มการต่อสู้	灵感来了，开始上色吧！	靈感來了，開始上色吧！	Ideas are popping up! Let's bring them to life with our brushes!	閃いた！着彩を始めよう！	영감이 떠올랐으니, 본격적으로 칠해 볼까!	แรงบันดาลใจ​มา​แล้ว​ มา​เริ่ม​ลงสี​กัน​!​	灵感来了，开始上色吧！	靈感來了，開始上色吧！	Ideas are popping up! Let's bring them to life with our brushes!	閃いた！着彩を始めよう！	영감이 떠올랐으니, 본격적으로 칠해 볼까!	แรงบันดาลใจ​มา​แล้ว​ มา​เริ่ม​ลงสี​กัน​!​
13	101	3	101005		0			0	vo_battle_win_101005	vo_battle_win_101005	9	2	1	1	战斗胜利	戰鬥勝利	Battle Victory	勝利	전투 승리	ชนะการต่อสู้	再加一个tag……好，完成了！	再加一個tag……好，完成了！	Just one more tag... and done!	タグをもう一つ……よしっ、完成！	여기에 태그를 추가하면... 자, 완성이야!	เพิ่ม​แท็ก​อีก​อัน​...​ เสร็จ​แล้ว​!​	再加一个tag……好，完成了！	再加一個tag……好，完成了！	Just one more tag... and done!	タグをもう一つ……よしっ、完成！	여기에 태그를 추가하면... 자, 완성이야!	เพิ่ม​แท็ก​อีก​อัน​...​ เสร็จ​แล้ว​!​
14	101	3	101005		0			0	vo_cuting_101005	vo_cuting_101005	17	2	1	1	大招释放	大招釋放	Release Ultimate	スキル発動	궁극기 시전	ใช้งานอัลติเมท	crossing out，覆盖掉吧。	crossing out，覆蓋掉吧。	Conceal everything that came before!	この色で塗り替えてやる。	크로싱 아웃, 전부 덧칠해 버릴 거야.	ขีดฆ่าทิ้ง ทับไปเลย	crossing out，覆盖掉吧。	crossing out，覆蓋掉吧。	Conceal everything that came before!	この色で塗り替えてやる。	크로싱 아웃, 전부 덧칠해 버릴 거야.	ขีดฆ่าทิ้ง ทับไปเลย
15	101	3	101005		0			0	vo_death_101005	vo_death_101005	11	2	1	1	角色死亡	角色死亡	Character Death	死亡	사망	ตัวละครเสียชีวิต	还……没画完……	還……沒畫完……	Still... not done...	アートはまだ完成していないのに……	그림을... 다 못 그렸는데...	ยัง​...​ วาด​ไม่​เสร็จเลย​...​	还……没画完……	還……沒畫完……	Still... not done...	アートはまだ完成していないのに……	그림을... 다 못 그렸는데...	ยัง​...​ วาด​ไม่​เสร็จเลย​...​
16	101	3	101005		0			0	vo_battle_fail_101005	vo_battle_fail_101005	10	2	1	1	战斗失败	戰鬥失敗	Battle Failed	作戦失敗	전투 패배	พ่ายแพ้การต่อสู้	上色……失败……	上色……失敗……	My work... it didn't turn out as expected...	まさか着彩で失敗するなんて……	채색... 실패...	ลงสี​...​ ล้มเหลว​ซะ​แล้ว​...​	上色……失败……	上色……失敗……	My work... it didn't turn out as expected...	まさか着彩で失敗するなんて……	채색... 실패...	ลงสี​...​ ล้มเหลว​ซะ​แล้ว​...​
17	101	3	101005		0			0	vo_skill3_101005	vo_skill3_101005	20	2	0	1	大招语音	大招語音	Ultimate Voices	スキル時	궁극기 음성	เสียงอัลติเมท	哼！嘿~——！	哼！嘿~——！	Hmph! Hee!	フンッ！ハーッ！	흥! 하앗~!	ฮึ่ม! ฮ้า~!	哼！嘿~——！	哼！嘿~——！	Hmph! Hee!	フンッ！ハーッ！	흥! 하앗~!	ฮึ่ม! ฮ้า~!
18	101	3	101005		0			0	vo_skill1_101005	vo_skill1_101005	21	2	0	1	A技能语音	A技能語音	A Skill Voices	Aスキル	스킬A 음성	เสียงพากย์สกิล A	嘿！打个招呼吧!	嘿！打個招呼吧!	Hey! Let's get this started!	ハッ！挨拶だ！	헤이! 우리 통성명이나 할까!	เฮ้​!​ นี่​สำหรับ​คำทักทาย​!​	嘿！打个招呼吧!	嘿！打個招呼吧!	Hey! Let's get this started!	ハッ！挨拶だ！	헤이! 우리 통성명이나 할까!	เฮ้​!​ นี่​สำหรับ​คำทักทาย​!​
19	101	3	101005		0			0	vo_skill2_101005	vo_skill2_101005	22	2	0	1	B技能语音	B技能語音	B Skill Voices	Bスキル	스킬B 음성	เสียงพากย์สกิล B	颜色修正！	顏色修正！	Time for a color adjustment!	色調補正！	컬러 수정!	แก้สีกันใหม่!	颜色修正！	顏色修正！	Time for a color adjustment!	色調補正！	컬러 수정!	แก้สีกันใหม่!
20	101	3	101005		0			0	vo_idle_101005	vo_idle_101005	23	2	0	1	待机语音	待機語音	Idle Voices	待機	대기 음성	เสียงท่ารอคำสั่ง	调查官，不试试新的喷漆吗？	調查官，不試試新的噴漆嗎？	Inspector, care to try out the new spray paint?	調査官、新しいスプレーを試してみませんか？	조사관, 새 락카를 써 볼래?	ผู้ตรวจการ​ ลอง​ใช้​สเปรย์​กระป๋อง​ใหม่​ไหม​คะ​?​	调查官，不试试新的喷漆吗？	調查官，不試試新的噴漆嗎？	Inspector, care to try out the new spray paint?	調査官、新しいスプレーを試してみませんか？	조사관, 새 락카를 써 볼래?	ผู้ตรวจการ​ ลอง​ใช้​สเปรย์​กระป๋อง​ใหม่​ไหม​คะ​?​
21	101	3	101005		0			0	vo_attack_hit_101_01	vo_attack_hit_101_01	24	2	0	1	轻受击语音1	輕受擊語音1	Lightly Hit Voices 1	軽傷1	가벼운 피격 음성1	เสียงโดนโจมตีเบา 1	嗯……	嗯……	Ugh...	うっ……	윽...	อืม...	嗯……	嗯……	Ugh...	うっ……	윽...	อืม...
22	101	3	101005		0			0	vo_attack_hit_101_02	vo_attack_hit_101_02	24	2	0	1	轻受击语音2	輕受擊語音2	Lightly Hit Voices 2	軽傷2	가벼운 피격 음성2	เสียงโดนโจมตีเบา 2	哼，再来！	哼，再來！	Hmph, come at me again!	フンッ、もう一度だ！	흥, 이거나 받아라!	ฮึ่ม จัดมาอีกสิ!	哼，再来！	哼，再來！	Hmph, come at me again!	フンッ、もう一度だ！	흥, 이거나 받아라!	ฮึ่ม จัดมาอีกสิ!
23	101	3	101005		0			0	vo_heavy_hit_101_01	vo_heavy_hit_101_01	25	2	0	1	重受击语音1	重受擊語音1	Heavily Hit Voices 1	重傷1	강한 피격 음성1	เสียงโดนโจมตีเบา 1	唔！	嗯！	Oh!	うっ！	으윽!	อุ๊!	唔！	嗯！	Oh!	うっ！	으윽!	อุ๊!
24	101	3	101005		0			0	vo_heavy_hit_101_02	vo_heavy_hit_101_02	25	2	0	1	重受击语音2	重受擊語音2	Heavily Hit Voices 2	重傷2	강한 피격 음성2	เสียงโดนโจมตีเบา 2	呵呀！	呵呀！	Ouch!	ぐっ！	흡!	โอ๊ย!	呵呀！	呵呀！	Ouch!	ぐっ！	흡!	โอ๊ย!
