id	cat	mbti	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	catTitle	catTitle_zh_TW	catTitle_en_UK	catTitle_ja_JP	catTitle_ko_KR	catTitle_th_TH	result	result_zh_TW	result_en_UK	result_ja_JP	result_ko_KR	result_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	117:download_img_cat_10102	102;202;301;401	1	INTJ	INTJ	INTJ	INTJ	INTJ	INTJ	狸花猫	狸花貓	Dragon Li	キジトラ	드래곤리	แมวลายสลิดจีน	率性自由、果敢独立	率性自由、果敢獨立	Free-spirited and independent.	合理性重視、自由に憧れる努力家	자유분방하고 과감하며 독립적인 고양이	ไม่​ขึ้น​ตรง​ต่อ​ใคร​ กล้าหาญ​และ​เด็ดขาด​	沉着冷静的狸花猫，一旦被冒犯会充满攻击性。有自己的“绝对领域”，喜欢独自思考一些猫生目标，例如如何征服宇宙。思索再三，决定先从家里的沙发开始。	沉著冷靜的狸花貓，一旦被冒犯會充滿攻擊性。有自己的“絕對領域”，喜歡獨自思考一些貓生目標，例如如何征服宇宙。思索再三，決定先從家裡的沙發開始。	A Dragon Li cat is always cool as a cucumber, but can be aggressive when offended. They are territorial and like to think about the goals of life, maybe something like taking over the world. After much consideration, they have decided to start by claiming the home sofa.	冷静な性格を持つネコ。独立心が強く、単独で行動することを好む。怒らせると攻撃的になる。かなりの野心家で、宇宙征服を「ニャン生の対象」としている。	침착하고 냉정한 드래곤리는, 한 번 기분이 상하면 공격적으로 변합니다. 자신만의 '절대 영역'을 가지고 있으며, 혼자서 고양이의 삶에 대한 목표를 생각하는 것을 좋아합니다. 예를 들어, 우주를 정복하는 방법과 같은 것들입니다. 심사숙고 끝에, 소파에서 시작하기로 결정했습니다.	แมว​ลาย​สลิด​จีน​ เป็น​แมว​ที่​ทั้ง​ใจเย็น​และ​สงบนิ่ง​ เมื่อ​ถูก​ยั่วยุ​ก็​จะ​แสดงท่าที​ที่​เต็มไปด้วย​ความก้าวร้าว​ มี​ "​อาณาเขต​ส่วนตัว​"​ เป็น​ของ​ตัวเอง​ ชอบ​คิดทบทวน​เกี่ยวกับ​เป้าหมาย​ชีวิต​แมว​ของ​ตน​ อย่างเช่น​วิธีการ​พิชิต​จักรวาล​ หลัง​คิด​อย่าง​รอบคอบ​แล้ว​ จึง​ติด​สิน​ใจ​ที่จะ​เริ่มต้น​จาก​โซฟา​ใน​บ้าน​ก่อน​
2	117:download_img_cat_10202	101;201;302;401	1	ESFJ	ESFJ	ESFJ	ESFJ	ESFJ	ESFJ	美短猫	美短貓	American Shorthair	アメリカンショートヘア	아메리칸 쇼트헤어	แมวอเมริกันชอร์ตแฮร์	自得其乐、机灵可爱	自得其樂、機靈可愛	Content and adorable.	遊び心と適応能力はピカイチ、気配り上手な世話焼きタイプ	자신만의 즐거움을 아는, 영리하고 귀여운 고양이	มีความสุข​ด้วยตัวเอง​ เฉลียวฉลาด​และ​น่ารักน่าเอ็นดู​	不喜冲突的美短猫，有着温暖且宽广的内心，遇到饿肚子的猫咪，即使会忍耐饥饿也要让出自己的小鱼干。作为一只乐于助猫的小猫咪，已经开始计划下一次的猫咪派对要改成慈善晚宴了。	不喜衝突的美短貓，有著溫暖且寬廣的內心，遇到餓肚子的貓咪，即使會忍耐饑餓也要讓出自己的小魚乾。作為一隻樂於助貓的小貓咪，已經開始計畫下一次的貓咪派對要改成慈善晚宴了。	The peace-loving American Shorthair cat possesses a warm and generous heart. When faced with a hungry feline, they willingly share their treats, even when they are hungry themselves. As a cat that loves to assist others, they are already planning to turn the next cat gathering into a charity dinner.	争いを好まないアメリカンショートヘアは、温かく寛大な心の持ち主で、お腹を空かせた猫に出会うと、空腹に耐えながらも煮干しを差し出す。面倒見のいい猫なので、次回のキャットパーティーをチャリティーディナーに変更する計画をすでに立てているようだ。	충돌을 싫어하는 아메리칸 쇼트헤어는, 따뜻하고 넓은 마음을 가지고 있습니다. 배가 고픈 고양이를 만나면, 자신이 배고파도 작은 생선을 양보합니다. 도와주길 좋아하는 작은 고양이로서, 다음 고양이 파티를 자선 만찬으로 바꾸려고 계획 중입니다.	แมว​อเมริกัน​ชอร์ต​แฮร์​ เป็น​แมว​ที่​ไม่​ชอบ​ความขัดแย้ง​ มี​จิตใจ​ที่​กว้างขวาง​และ​อบอุ่น​ หาก​พบ​เจอ​แมว​เหมียว​ที่​หิวโซ​ ก็​ยัง​ยอม​ที่จะ​แบ่ง​ปลา​แห้ง​ให้​ ถึงแม้ว่า​จะ​ต้อง​อดทน​กับ​ความหิว​ของ​ตัวเอง​ก็ตาม​ ใน​ฐานะ​ที่​เป็น​แมว​ผู้​ชื่นชอบ​ช่วยเหลือ​ผู้อื่น​ จึง​ได้​เริ่ม​วางแผน​ที่จะ​เปลี่ยน​งาน​ปาร์ตี้​แมว​ครั้ง​ถัดไป​ให้​กลายเป็น​งานเลี้ยง​การกุศล​
3	117:download_img_cat_10302	102;201;302;402	1	ISFP	ISFP	ISFP	ISFP	ISFP	ISFP	布偶猫	布偶	Ragdoll	ラグドール	랙돌	แมวแร็กดอลล์	一身仙气、友好善良	一身仙氣、友好善良	Enchanting and kind.	独特な興味や情熱を持つ冒険家	신비로운 분위기, 친절하고 착한 고양이	ทั้งเป็นมิตรและใจดี	拥有艺术家灵魂的布偶猫，总是有着充满仙气的灵感。当置身于大自然中时，会觉得内心充盈，然后灵感涌现，将平日搜集的猫咪毛球都变成猫界有名的艺术品。	擁有藝術家靈魂的布偶貓，總是有著充滿仙氣的靈感。當置身于大自然中時，會覺得內心充盈，然後靈感湧現，將平日搜集的貓咪毛球都變成貓界有名的藝術品。	The Ragdoll cat with an artistic soul is always filled with ethereal inspiration. When surrounded by nature, they feel complete, and their creativity breathes life into collected cat hairballs, transforming them into renowned works of art in the feline world.	芸術家の魂を持つラグドールは、いつもインスピレーションに満ちている。自然の中にいると、心が満たされた気分になり、普段集めている毛玉を猫界の有名なマスターピースに変えてしまう。	예술가의 영혼을 가진 랙돌은 항상 신비로운 영감을 가지고 있습니다. 자연 속에 있을 때, 힐링할 수 있고, 그런 다음 영감이 솟아나와 평소에 모은 고양이털 뭉치를 고양이 세계에서 유명한 예술품으로 만듭니다.	แมว​แร็ก​ดอลล์​ เป็น​แมว​ที่​มี​จิตวิญญาณ​ของ​ศิลปิน​ มักจะ​มี​แรงบันดาลใจ​ที่​เต็มเปี่ยม​ไป​ด้วย​กลิ่นอาย​ของ​พระเจ้า​ เมื่อ​อยู่​ท่ามกลาง​ธรรมชาติ​ จะ​รู้สึก​ถึง​ความ​อิ่มเอม​ใน​ใจ​ หลังจากนั้น​ แรงบันดาลใจ​ก็​เริ่ม​หลั่งไหล​ออกมา​ ทำการ​เปลี่ยน​ก้อน​ขนแมว​ที่เก็บ​สะสม​มา​ใน​ชีวิตประจำวัน​ให้​กลายเป็น​ผลงาน​ชื่อดัง​ใน​วงการ​แมว​
4	117:download_img_cat_10402	101;201;301;401	1	ESTJ	ESTJ	ESTJ	ESTJ	ESTJ	ESTJ	三花猫	三花	Calico	三毛猫	칼리코	แมวคาลิโก	成熟稳重、捉摸不定	成熟穩重、捉摸不定	Mature and unpredictable.	頼りになれるミステリアスな大人	성숙하고, 예측하기 어려운 고양이	มี​ความ​เป็นผู้ใหญ่​ แต่​ก็​ไม่​แน่นอน​จน​คาดเดา​ไม่​ได้​	负责任的三花猫，做事有条不絮，讲究效率，总是深得身边猫咪的信赖。天选打工猫，名副其实的卷猫之王。就算是在休息时间，可能也正在教导身边猫咪，如何有效管理猫粮库存。	負責任的三花貓，做事有條不絮，講究效率，總是深得身邊貓咪的信賴。天選打工貓，名副其實的卷貓之王。就算是在休息時間，可能也正在教導身邊貓咪，如何有效管理貓糧庫存。	The responsible Calico Cat is efficient and meticulous in their work, earning the trust of the cats around it. A chosen working cat, they are the true master of multitasking. Even during their downtime, they may be teaching other cats how to effectively manage the stockpile of cat food.	責任感が強く、組織的で効率的な三毛猫は、いつも周りの猫たちから信頼されている。選ばれし働き者として、オフの時間にも、近所の猫たちにキャットフードの効率的な管理方法を教えているのだろう。	책임감 있는 칼리코는 일을 체계적으로 처리하며, 효율성을 중시합니다. 항상 주변 고양이들의 신뢰를 얻고 있습니다. 타고난 일꾼 고양이, 진정한 일하는 고양이의 왕입니다. 쉬는 시간에도 주변 고양이들에게 고양이 사료 관리 방법을 가르치고 있을 수 있습니다.	แมว​สามสี​ผู้​มี​ความรับผิดชอบ​ ทำงาน​อย่าง​เป็นระบบ​ระเบียบ​และ​มีประสิทธิภาพ​ มัก​ได้รับ​ความไว้วางใจ​จาก​แมว​ตัว​อื่นๆ​ เป็น​แมว​ที่​ได้รับ​เลือก​จาก​สวรรค์​ให้​เป็น​ราชา​แมว​แห่ง​การทำงาน​อย่าง​แท้จริง​ แม้​ใน​เวลาพักผ่อน​ก็​อาจจะ​กำลัง​สั่งสอน​แมว​ตัว​อื่นๆ​ เกี่ยวกับ​การบริหาร​สต๊อก​อาหาร​แมว​อย่างไร​ให้​มีประสิทธิภาพ​
5	117:download_img_cat_10502	101;202;301;401	1	ENTJ	ENTJ	ENTJ	ENTJ	ENTJ	ENTJ	豹猫	豹貓	Leopard Cat	ベンガルキャット	벵갈	แมวดาว	活泼自信、精力充沛	活潑自信、精力充沛	Lively and confident.	活発で自信満々、いつでもやる気全開	활기차고 자신감 넘치며 에너지가 넘치는 고양이	ร่าเริง​และ​มั่นใจ​ใน​ตัวเอง​ เต็มเปี่ยม​ไป​ด้วย​พลัง​	野心勃勃的豹猫，充满着自信与干劲。自身有着强大的自驱力，追求成功和自我实现。霸总气质的小猫咪身边总有簇拥者，每周都尽心尽力的讨论着如何让你成为猫界的CEO。	野心勃勃的豹貓，充滿著自信與幹勁。自身有著強大的自驅力，追求成功和自我實現。霸總氣質的小貓咪身邊總有簇擁者，每週都盡心盡力的討論著如何讓你成為貓界的CEO。	The ambitious Leopard Cat is bursting with self-assuredness and determination. They possess strong self-motivation and strive for success and personal fulfillment. With their natural leadership qualities, they always have followers, passionately discussing ways to make you the CEO of the feline world.	野心家のベンガルキャットは自信と意欲に満ちていて、成功と自己実現への強い意欲を持つ自己主導型である。ボスのような猫でいつも崇拝者に囲まれ、あなたを猫界のCEOにするように毎週アイデアを出してくれる。	야심 찬 벵갈 고양이는 자신감과 추진력이 가득합니다. 강력한 자기 동기부여를 가지고 있으며 성공과 자아실현을 추구합니다. 독특한 카리스마를 가진 작은 고양이 주변에는 항상 추종자들이 있으며, 매주 어떻게 하면 고양이 세계의 CEO가 될 수 있을지 열심히 논의합니다.	แมวดาว​ แมว​ที่​เต็มเปี่ยม​ไป​ด้วย​ความทะเยอทะยาน​ ความมั่นใจ​ และ​แรงผลักดัน​ตัวเอง​ มีพลัง​ใน​การ​ขับเคลื่อน​ตัวเอง​ที่​แข็งแกร่ง​ มุ่งมั่น​ที่จะ​บรรลุเป้าหมาย​และ​ประสบความสำเร็จ​ใน​การพัฒนา​ตัวเอง​ บุคลิก​ของ​แมวดาว​นั้น​คล้าย​กับ​ผู้บริหารระดับสูง​ที่​มี​ความมั่นใจ​ และ​มี​ผู้ติดตาม​จำนวนมาก​ ใน​ทุกๆ​ สัปดาห์​พวก​มัน​จะ​ทุ่มเท​กับ​การหารือ​เรื่อง​ที่จะ​ทำ​อย่างไร​ให้​คุณ​กลายเป็น​ CEO​ ของ​วงการ​แมว​
6	117:download_img_cat_10602	102;201;301;402	1	ISTP	ISTP	ISTP	ISTP	ISTP	ISTP	橘猫	橘貓	Ginger Cat	茶トラ	치즈냥이	แมวส้ม	标准吃货、内外反差	標準吃貨、內外反差	Standard food lover with contrasting traits.	食いしん坊、ギャップ	표준적인 먹보, 갭모에	นัก​กินตัว​ตึง​ ปาก​ไม่​ตรง​กับ​ใจ​	天生爱吃的橘猫，日常总爱寻觅美食。不要被他软萌的外表欺骗，实则是一只酷爱冒险的拽猫猫。为了寻找到喜爱的美食可能会在丛林中迷路。但谁在乎呢？冒险才是生活的调味料！	天生愛吃的橘貓，日常總愛尋覓美食。不要被他軟萌的外表欺騙，實則是一隻酷愛冒險的拽貓貓。為了尋找到喜愛的美食可能會在叢林中迷路。但誰在乎呢？冒險才是生活的調味料！	The naturally food-loving Domestic Shorthair Ginger Cat always seeks out delectable treats. Don't be fooled by their adorable appearance, for they are adventurous and fearless. They may get lost in the jungle in pursuit of their favorite food. But who cares? Adventure is the spice of life!	生まれながらの食いしん坊で、見た目が柔らかくてかわいい茶トラだが、実は立派な冒険家。美味しい食べ物を求めてジャングルで迷子になったこともあるが、そんなことで挫けない。だって、冒険は人生のスパイスなんだから！	천성적으로 음식을 좋아하는 치즈냥이는 평소에 항상 맛있는 음식을 찾아다닙니다. 그의 부드럽고 귀여운 외모에 속지 마세요. 사실은 모험을 사랑하는 멋진 고양이입니다. 좋아하는 음식을 찾기 위해 정글에서 길을 잃을 수도 있지만, 누가 신경 쓰나요? 모험은 바로 삶에 매력을 더하는 조미료입니다.	แมว​ส้ม​ เป็น​แมว​ที่รัก​ใน​การ​กิน​มา​ตั้งแต่​เกิด​ มักจะ​ตามหา​ของ​อร่อย​อยู่​เสมอ​ แต่​อย่า​ได้​หลงกล​ภายนอก​ที่​ดู​น่ารัก​และ​อ่อนโยน​ของ​มัน​ จริงๆ​ แล้ว​มัน​คือ​แมว​ที่รัก​การผจญภัย​เป็น​ที่สุด​ เพื่อที่จะ​หา​ของ​อร่อย​ที่​มัน​ชอบ​ บางครั้ง​อาจจะ​ไป​เดิน​หลง​อยู่​ใน​ป่า​ แต่​ใคร​จะ​สน​ล่ะ​?​ การผจญภัย​คือ​เครื่องเทศ​สำหรับ​การปรุง​รสชาติ​ของ​ชีวิต​!​
7	117:download_img_cat_10702	102;201;301;401	1	ISTJ	ISTJ	ISTJ	ISTJ	ISTJ	ISTJ	缅因猫	緬因貓	Maine Coon	メインクーン	메인쿤	แมวเมนคูน	冷静可靠、魅力出众	冷靜可靠、魅力出眾	Calm and reliable, with outstanding charm.	隠しきれないカリスマ性、冷静で頼もしいリーダー	차분하고 신뢰할 수 있으며 매력적인 고양이	สุขุม​และ​ไว้ใจได้​ มีเสน่ห์​โดดเด่น​	完美主义的缅因猫，习惯遵从自己内心的秩序行动。原则性强，认真起来即使面对卖萌的小猫咪也可以忍住不动摇。看着冷静难以接近，但每次在定期举办的猫咪派对上那优雅品茶的姿态，还是迷倒了不少小猫咪。	完美主義的緬因貓，習慣遵從自己內心的秩序行動。原則性強，認真起來即使面對賣萌的小貓咪也可以忍住不動搖。看著冷靜難以接近，但每次在定期舉辦的貓咪派對上那優雅品茶的姿態，還是迷倒了不少小貓咪。	The perfectionist Maine Coon cat adheres to its own internal order. Strong-willed and serious, they can resist even the most irresistible attempts to be cute. Though they may seem composed and unapproachable, their elegant tea-drinking posture at regular cat gatherings has captivated many little felines.	完璧主義者のメインクーンは、自分の中の行動秩序に従うことに慣れている。主張が強く、かわいい子猫を前にしても動揺しない。落ち着いていて近寄りがたいように見えるが、キャットパーティーでお茶をすする優雅な姿勢は、今でも多くの猫を魅了している。	완벽주의자인 메인쿤 고양이는 스스로의 내면의 질서에 따라 행동하는 것에 익숙합니다. 원칙이 강하며 진지해질 때는 귀여운 작은 고양이의 애교에도 흔들리지 않습니다. 차가워 보이고 접근하기 어려워 보이지만, 정기적으로 열리는 고양이 파티에서 우아하게 차를 마시는 모습은 많은 작은 고양이들을 매료시킵니다.	แมว​เมน​คูน​ เป็น​แมว​ที่​ดู​สมบูรณ์แบบ​ โดยธรรมชาติ​จะ​ชอบ​ทำ​ตามระเบียบ​และ​กฎเกณฑ์​ที่​ตัวเอง​ตั้ง​ไว้​ มี​หลักการ​ชัดเจน​ หาก​จริงจัง​ขึ้น​มา​ แม้​จะ​ต้อง​เผชิญหน้า​กับ​ลูก​แมว​น้อย​น่ารัก​ออดอ้อน​ ก็​สามารถ​หักห้ามใจ​ไม่​ให้​หวั่นไหว​ได้​ แม้​ดู​สุขุม​และ​เข้าถึง​ได้​ยาก​ แต่​ทุกครั้งที่​ปรากฏตัว​ใน​งาน​ปาร์ตี้​แมว​ประจำปี​ ท่วงท่า​การ​จิบ​ชา​ที่​สง่างาม​ของ​มัน​ กลับ​ทำให้​เหล่า​ลูก​แมว​น้อย​หลงใหล​ใน​เสน่ห์​ของ​มัน​จน​หมดใจ​
8	117:download_img_cat_10902	101;202;302;401	1	ENFJ	ENFJ	ENFJ	ENFJ	ENFJ	ENFJ	金渐层	金漸層	Golden British Shorthair	ブリティッシュショートヘア	그래디언트	แมวบริติช ช็อตแฮร์สีทอง	勇敢机警、热情个性	勇敢機警、熱情個性	Brave and alert, with a passionate personality.	勇敢で賢く、情熱的	용감하고 경계심이 강하며 열정적인 고양이	กล้าหาญ​ ช่างสังเกต​ เต็มเปี่ยม​ไป​ด้วย​ความ​กระตือรือร้น​	热情洋溢的金渐层，有着很强的共情能力。看到流泪的小猫咪会跟着一起哭泣，并拿出浑身解数安慰对方。像小太阳一样的金渐层，偶尔陷入低谷想开启摆烂的猫生，也会不由自主的寻找到生活里的美好事物然后重整旗鼓。	熱情洋溢的金漸層，有著很強的共情能力。看到流淚的小貓咪會跟著一起哭泣，並拿出渾身解數安慰對方。像小太陽一樣的金漸層，偶爾陷入低谷想開啟擺爛的貓生，也會不由自主的尋找到生活裡的美好事物然後重整旗鼓。	The enthusiastic Golden British Shorthair cat possesses strong empathy. When they see a teary-eyed kitten, they shed tears alongside them and do everything to provide comfort. Like a little sun, the Golden British Shorthair cat may occasionally experience a slump and feel inclined to take it easy in its feline life, but it always manages to find the beauty in life and bounce back.	情熱的なブリティッシュショートヘアは情感豊かで共感能力が高い。泣いている猫を見ると、一緒に涙を流してくれて、お互いに慰め合おうとする。小さな太陽のようなブリティッシュショートヘアはいつも物事の良いところに目を向け、スランプに陥ってダメダメな生活を始めようとするときがあっでも、すぐ気を取り直して歩き続ける。	열정이 넘치는 그래디언트는 강한 공감 능력을 가지고 있습니다. 눈물을 흘리는 작은 고양이를 보면 함께 울며 온몸을 다해 위로합니다. 마치 작은 태양과 같은 골든 그래디언트는 가끔 저조해져서 방치된 고양이의 삶을 시작하고 싶어지지만, 자신도 모르게 삶 속의 아름다운 것들을 찾아 다시 힘을 내게 됩니다.	แมว​บริติช​ ช็อต​แฮร์​สี​ทอง​ เป็น​แมว​ที่​เปี่ยม​ไป​ด้วย​ความอบอุ่น​และ​มีพลัง​แห่ง​ความเห็นอกเห็นใจ​ หาก​เห็น​ลูก​แมว​น้อย​กำลัง​ร้องไห้​ มัน​จะ​ร้องไห้​เป็นเพื่อน​และ​พยายาม​ปลอบโยน​ด้วย​ทุก​วิถีทาง​ ราวกับ​เป็น​แสง​สี​ทอง​จาก​พระอาทิตย์​ดวง​น้อย​ๆ​ แม้​บางครั้ง​อาจ​ต้อง​เผชิญหน้า​กับ​ช่วงเวลา​ชีวิต​แมว​อัน​ตกต่ำ​ที่​อยาก​เมินเฉย​ แต่​ใน​ท้ายที่สุด​ก็​อด​ไม่​ได้​ที่จะ​มองหา​ความงดงาม​ของ​ชีวิต​และ​กลับมา​สู้​ต่อ​อีกครั้ง​
9	117:download_img_cat_11002	101;202;302;402	1	ENFP	ENFP	ENFP	ENFP	ENFP	ENFP	暹罗猫	暹羅貓	Siamese Cat	シャム猫	샴 고양이	แมววิเชียรมาศ	自由潇洒、猫中之狗	自由瀟灑、貓中之狗	A vibrant and versatile presence, like a dog among cats.	自由爛漫、犬っぽい猫	자유분방한 개냥이	อิสระ​ไร้​ข้อจำกัด​ ราวกับ​สุนัข​ท่ามกลาง​ฝูง​แมว​	分享欲旺盛的暹罗猫，喜欢结交各式各样的小猫咪。享乐主义，活在当下，没有惊喜就去创造惊喜。诸如枯燥乏味之类的形容词，与暹罗猫的生活几乎毫无关系。平日里最喜欢的事情是和亲近的小猫咪贴贴。	分享欲旺盛的暹羅貓，喜歡結交各式各樣的小貓咪。享樂主義，活在當下，沒有驚喜就去創造驚喜。諸如枯燥乏味之類的形容詞，與暹羅貓的生活幾乎毫無關係。平日裡最喜歡的事情是和親近的小貓咪貼貼。	The Siamese cat possesses an insatiable desire to share and loves befriending all kinds of kittens. Hedonistic and living in the moment, they are masters of creating surprises even when none exist. The words "dull" and "monotonous" have no place in the Siamese cat's vibrant life. Their favorite pastime is snuggling up with their close kitten companions.	シャム猫はあらゆる種類の猫との出会いを楽しんでいる。快楽主義的で今を生きる、ありふれた日常の中にサプライズを生み出すシャム猫の生活は、退屈とはほとんど無縁だ。ちなみに、シャム猫の一番好きなことは、仲の良い猫にくっつくことだそう。	공유하고 싶은 욕구가 강한 샴 고양이는 다양한 작은 고양이들과 친구가 되길 좋아합니다. 쾌락주의자로 현재에 살며, 놀라움이 없다면 스스로 만들어냅니다. 지루함과는 거리가 먼 샴 고양이의 삶은 거의 관련이 없습니다. 평소에 가장 좋아하는 것은 친한 작은 고양이와 함께 시간을 보내는 것입니다.	แมว​วิเชียร​มาศ​ เป็น​แมว​ที่​ชอบ​การ​แบ่งปัน​ และ​กระตือรือร้น​ที่จะ​ความ​รู้จัก​กับ​เหล่า​แมว​น้อย​นานา​ชนิด​ เป็น​นักปรัชญา​ชีวิต​ที่รัก​ความสุข​ และ​ใช้ชีวิต​อยู่​กับ​ปัจจุบัน​ หาก​ไม่​มี​เซอร์ไพรส์​อะไร​ก็​มักจะ​สร้าง​มัน​ขึ้น​มา​เอง​ ชีวิต​ของ​แมว​วิเชียร​มาศ​นั้น​แทบจะ​ไม่​มี​คำ​ว่า​น่าเบื่อ​หรือ​ขาด​สีสัน​เลย​ ชีวิตประจำวัน​ของ​มัน​มัก​ชอบ​ทำ​แต่​เรื่อง​ที่​มีความสุข​ที่สุด​อย่าง​การ​อยู่​อย่าง​ใกล้ชิด​กับ​แมว​ตัว​อื่นๆ​ ที่​สนิทสนม​กัน​
