Id	roleId	groupId	rolename	name	voice	voice2	status	desk	desk_zh_TW	desk_en_UK	desk_ja_JP	desk_ko_KR	desk_th_TH	desk2	desk2_zh_TW	desk2_en_UK	desk2_ja_JP	desk2_ko_KR	desk2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	101005	1	非天	打招呼	vo_hello_gift_101005	vo_hello_gift_101005	1	调查官背后藏着什么呢？很漂亮的配色。	調查官背後藏著什麼呢？很漂亮的配色。	Where are you? The colors are so beautiful!	調査官…後ろに何を隠してるんですか？	조사관, 뒤에 뭘 숨긴 거야? 색 조합이 너무 근사한걸	ผู้ตรวจ​การซ่อน​อะไร​ไว้​ข้างหลัง​น่ะ​?​ สีสัน​สวยงาม​จัง​	调查官背后藏着什么呢？很漂亮的配色。	調查官背後藏著什麼呢？很漂亮的配色。	What is that behind you? Where are you? The colors are so beautiful!	調査官…後ろに何を隠してるんですか？	조사관, 뒤에 뭘 숨긴 거야? 색 조합이 너무 근사한걸	ผู้ตรวจ​การซ่อน​อะไร​ไว้​ข้างหลัง​น่ะ​?​ สีสัน​สวยงาม​จัง​
2	101005	3	非天	赠送礼物后	vo_give_gift_101005	vo_give_gift_101005	1	我很喜欢，谢谢调查官。	我很喜歡，謝謝調查官。	I really do like it. Thank you, Inspector!	くれるんですか？嬉しい…ありがとうございます！調査官。	너무 마음에 들어. 고마워, 조사관	ฉัน​ชอบ​มาก​เลย​ ขอบคุณ​นะ​ผู้ตรวจการ​	我很喜欢，谢谢调查官。	我很喜歡，謝謝調查官。	I really do like it. Thank you, Inspector!	くれるんですか？嬉しい…ありがとうございます！調査官。	너무 마음에 들어. 고마워, 조사관	ฉัน​ชอบ​มาก​เลย​ ขอบคุณ​นะ​ผู้ตรวจการ​
3	101008	1	非天	打招呼	vo_hello_gift_101008	vo_hello_gift_101008	1	这是……要给我礼物吗？	這是……要給我禮物嗎？	Is this a gift for me?	これは私に？	나... 나한테 주는 거야?	นี่​มัน​...​ จะ​ให้​ของขวัญ​ฉัน​เหรอ​?​	这是……要给我礼物吗？	這是……要給我禮物嗎？	Is this a gift for me?	これは私に？	나... 나한테 주는 거야?	นี่​มัน​...​ จะ​ให้​ของขวัญ​ฉัน​เหรอ​?​
4	101008	3	非天	赠送礼物后	vo_give_gift_101008	vo_give_gift_101008	1	非常感谢，我很喜欢。	非常感謝，我很喜歡。	Thanks a lot; I really like it!	ありがとうございます。嬉しいですよ。	고마워, 너무 마음에 들어	ขอบคุณ​มาก​นะ​ ฉัน​ชอบ​มาก​เลย​	非常感谢，我很喜欢。	非常感謝，我很喜歡。	Thanks a lot; I really like it!	ありがとうございます。嬉しいですよ。	고마워, 너무 마음에 들어	ขอบคุณ​มาก​นะ​ ฉัน​ชอบ​มาก​เลย​
5	101011	1	非天	打招呼	vo_hello_gift_101011	vo_hello_gift_101011	1	调查官是过来看我训练吗？	調查官是過來看我訓練嗎？	Inspector, did you come to observe my training?	調査官、私が訓練してるとこを見に来たのか？	조사관 나 훈련하는 거 봐주러 온 거야?	คุณ​ผู้ตรวจการ​มา​ดู​ฉัน​ฝึกซ้อม​งั้น​เหรอ​?​	调查官是过来看我训练吗？	調查官是過來看我訓練嗎？	Inspector, did you come to observe my training?	調査官、私が訓練してるとこを見に来たのか？	조사관 나 훈련하는 거 봐주러 온 거야?	คุณ​ผู้ตรวจการ​มา​ดู​ฉัน​ฝึกซ้อม​งั้น​เหรอ​?​
6	101011	3	非天	赠送礼物后	vo_give_gift_101011	vo_give_gift_101011	1	多谢。正好训练有些饿了，我们一起吃吧。	多謝。正好訓練有些餓了，我們一起吃吧。	Thanks a bunch. Training's got me a bit hungry. Wanna grab a bite with me?	ありがとう。ちょうど訓練でお腹がすいたわ。一緒に食べましょう。	고마워. 훈련하느라 배고팠는데, 같이 먹자.	ขอบคุณ​นะ​ ฝึก​จน​หิว​พอดี​เลย​ มา​กิน​ด้วยกัน​สิ​	多谢。正好训练有些饿了，我们一起吃吧。	多謝。正好訓練有些餓了，我們一起吃吧。	Thanks a bunch. Training's got me a bit hungry. Wanna grab a bite with me?	ありがとう。ちょうど訓練でお腹がすいたわ。一緒に食べましょう。	고마워. 훈련하느라 배고팠는데, 같이 먹자.	ขอบคุณ​นะ​ ฝึก​จน​หิว​พอดี​เลย​ มา​กิน​ด้วยกัน​สิ​
7	101013	1	非天	打招呼	vo_hello_gift_101013	vo_hello_gift_101013	1	这是……调查官准备了额外的巡逻物资吗？	這是……調查官準備了額外的巡邏物資嗎？	Inspector what's…did you pack extra supplies for patrol?	これらのパトロール用品は全部、調査官が用意したのか？	이건... 조사관이 따로 준비한 비상식량이야?	นี่​มัน​...​ ผู้ตรวจการ​เตรียม​เสบียง​สำหรับ​ลาดตระเวน​มา​เพิ่ม​เหรอ​?​	这是……调查官准备了额外的巡逻物资吗？	這是……調查官準備了額外的巡邏物資嗎？	Inspector, did you... pack extra supplies for patrol?	これらのパトロール用品は全部、調査官が用意したのか？	이건... 조사관이 따로 준비한 비상식량이야?	นี่​มัน​...​ ผู้ตรวจการ​เตรียม​เสบียง​สำหรับ​ลาดตระเวน​มา​เพิ่ม​เหรอ​?​
8	101013	3	非天	赠送礼物后	vo_give_gift_101013	vo_give_gift_101013	1	谢谢，马上就到露营点了，我们坐下来一起慢慢品尝吧。	謝謝，馬上就到露營點了，我們坐下來一起慢慢品嘗吧。	Thanks; we're almost to the campsite! Let's take a minute to just take it in together.	ありがとう、拠点まであと少しだ。座ってゆっくりと楽しみましょう。	고마워. 곧 야영지가 나올 테니 거기서 같이 느긋하게 먹자	ขอบคุณ​นะ​ ใกล้​ถึง​จุด​ตั้ง​แคมป์​แล้ว​ เรา​มา​ค่อยๆ​ ลิ้มรส​ไป​ด้วยกัน​เถอะ​	谢谢，马上就到露营点了，我们坐下来一起慢慢品尝吧。	謝謝，馬上就到露營點了，我們坐下來一起慢慢品嘗吧。	Thanks; we're almost at the campsite! Let's take a minute to just take it in together.	ありがとう、拠点まであと少しだ。座ってゆっくりと楽しみましょう。	고마워. 곧 야영지가 나올 테니 거기서 같이 느긋하게 먹자	ขอบคุณ​นะ​ ใกล้​ถึง​จุด​ตั้ง​แคมป์​แล้ว​ เรา​มา​ค่อยๆ​ ลิ้มรส​ไป​ด้วยกัน​เถอะ​
9	101018	1	非天	打招呼	vo_hello_gift_101018	vo_hello_gift_101018	1	找我有什么事吗？	找我有什麼事嗎？	What can I do for you?	私に何か？	나한테 볼일있어?	มีอะไรให้ฉันช่วยไหม?	找我有什么事吗？	找我有什麼事嗎？	What can I do for you?	私に何か？	나한테 볼일있어?	มีอะไรให้ฉันช่วยไหม?
