id	storyId	groupId	people	headIcon	jumpId	choiceOneType	choiceOneJumpId	choiceTwoType	choiceTwoJumpId	choiceThreeType	choiceThreeJumpId	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	choiceOne	choiceOne_zh_TW	choiceOne_en_UK	choiceOne_ja_JP	choiceOne_ko_KR	choiceOne_th_TH	choiceTwo	choiceTwo_zh_TW	choiceTwo_en_UK	choiceTwo_ja_JP	choiceTwo_ko_KR	choiceTwo_th_TH	choiceThree	choiceThree_zh_TW	choiceThree_en_UK	choiceThree_ja_JP	choiceThree_ko_KR	choiceThree_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	101	1	2		2								1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	先生，请问需要些什么？	先生，請問需要些什麼？	Good day, how may I assist you today?	いらっしゃいませ。ご注文はいかがですか？	무엇이 필요하신가요?	ไม่​ทราบ​ว่า​คุณ​ต้องการ​อะไร​หรือเปล่า​?​																		
2	101	2	1	18:merchant_icon_101	3								1	疯帽子	瘋帽子	Hatter	マッドハッター	매드 해터	แมดแฮตเตอร์	噢，我亲爱的客人，您是在问我吗？	噢，我親愛的客人，您是在問我嗎？	Oh, pardon me, I didn't realize you were addressing me.	おお、お客様、私に聞かれているですか？	아, 손님, 저한테 물어보신 건가요?	โอ้​ คุณ​ลูกค้า​ผู้​เป็น​ที่รัก​ของ​ฉัน​ คุณ​กำลัง​ถาม​ฉัน​อยู่​งั้น​เหรอ​?​																		
3	101	3	2		4								1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	（……我才是客人？）	（……我才是客人？）	(…Am I the one being served here?)	（……お客様、だと？）	(...내가 손님이라고?)	(...​นี่​ฉัน​เป็น​ลูกค้า​ไป​แล้ว​เหรอ​?)​																		
4	101	4	2		5								1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	看您一直站在这里……我是这家店的店长——#playerName。	看您一直站在這裡……我是這家店的店長——#playerName。	Seeing you've been standing here, let me clarify—I'm the cafe manager, #playerName.	はい、店長の#playerNameですが。	여기 계속 서 계셔서요... 저는 이 가게의 점장——#playerName입니다	เห็น​คุณ​เอาแต่​ยืน​อยู่​ตรงนี้​มา​นาน​แล้ว​...​ ฉัน​เป็น​ผู้จัดการ​ของ​ร้าน​นี้​——#playerName​																		
5	101	5	2		6								1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	如果有什么问题，可以直接和我说。	如果有什麼問題，可以直接和我說。	Please, feel free to speak with me directly if you have any questions or concerns.	何かお手伝いできることがあれば、お気軽に言ってください。	문제가 있으신 것 같은데, 저랑 이야기하시면 됩니다	หาก​มีปัญหา​อะไร​ สามารถ​พูด​กับ​ฉัน​ได้​เลย​นะ​																		
6	101	6	1	18:merchant_icon_101	7								1	疯帽子	瘋帽子	Hatter	マッドハッター	매드 해터	แมดแฮตเตอร์	真是抱歉，看来是我的行为让您误会了。请容我自我介绍一下。	真是抱歉，看來是我的行為讓您誤會了。請容我自我介紹一下。	I apologize for the confusion. It seems my actions have led to a misunderstanding. Allow me to introduce myself.	これは失礼。私の振る舞いが誤解を招いたようです。まずは自己紹介をさせてください。	아, 죄송합니다. 제가 오해할만한 행동을 했나 보네요. 자기소개 먼저 할 게요	ขออภัย​อย่างยิ่ง​ ดูเหมือน​การกระทำ​ของ​ฉัน​จะ​ทำให้​คุณ​เข้าใจผิด​ กรุณา​ให้​ฉัน​ได้​แนะนำตัว​สักหน่อย​																		
7	101	7	1	18:merchant_icon_101	8								1	疯帽子	瘋帽子	Hatter	マッドハッター	매드 해터	แมดแฮตเตอร์	我是热爱着「美食」与「魔法」的美食家——疯帽子。	我是熱愛著「美食」與「魔法」的美食家——瘋帽子。	I am the Hatter, a gourmet who adores fine cuisine and magic.	「美食」と「魔法」を愛するグルメ、マッドハッターと申します。	저는 「맛있는 음식」과 「마법」을 사랑하는 미식가——매드 해터라고 합니다	ฉัน​เป็น​นัก​ชิม​ผู้​ชื่นชอบ​ใน​ "​อาหาร​เลิศ​รส​"​ และ​ "​เวทมนตร์​"——​แมด​แฮ​ตเตอร์​																		
8	101	8	2		9								1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	（疯帽子？明明只是穿着玩偶服的普通人啊……难道是什么用来宣传的人设吗？）	（瘋帽子？明明只是穿著玩偶服的普通人啊……難道是什麼用來宣傳的人設嗎？）	(The Hatter? He looks like an ordinary person in a mascot costume... Is this some kind of promotional persona?)	(マッドハッター？着ぐるみを着た普通の人間にしか見えないけど……何かのマスコットな？）	(매드 해터? 그냥 인형 옷을 입은 일반 사람 아닌가... 혹시 홍보용 컨셉인 건가?)	(​แมด​แฮ​ตเตอร์​?​ เห็นได้ชัด​ว่า​เป็น​แค่​คนธรรมดา​ที่​ใส่​ชุด​ตุ๊กตา​...​ หรือ​จะ​เป็น​คาแรคเตอร์​ที่​ใช้​ใน​การ​โฆษณา​อะไร​หรือเปล่า​นะ​?)​																		
9	101	9	1	18:merchant_icon_101	10								1	疯帽子	瘋帽子	Hatter	マッドハッター	매드 해터	แมดแฮตเตอร์	看上去您似乎对我的身份有所怀疑呢？那么接下来……	看上去您似乎對我的身份有所懷疑呢？那麼接下來……	Ah, you seem intrigued by my identity. Well then...	疑っているように見えますが？それなら……	제 신분에 대해서 의문이 있으신가 보군요? 그렇다면 지금부터...	ดูเหมือนว่า​คุณ​ยังคง​สงสัย​ใน​ตัวตน​ของ​ฉัน​อยู่​สิ​นะ​ ถ้าเช่นนั้น​...​																		
