id	maxLevel	activeId	plotId	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12002501	6	1	10101	123:nightcat_buff_icon_12002501	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	这个平平无奇的小物件，却是每个人进入某些场所的必要条件。	這個平平無奇的小物件，卻是每個人進入某些場所的必要條件。	This unremarkable item is a necessary requirement for entering certain locations.	平凡な小物に見えるが、ある場所へ足を踏み入れるための必須の証明である。	특별할 것 없는 조그마한 물건이지만, 특정 장소에 들어가려면 필요한 조건이다.	ของธรรมดา​ชิ้น​นี้​ กลับเป็น​กุญแจ​สำคัญ​สำหรับ​เข้า​บาง​สถานที่​
12002502	6	1	10102	123:nightcat_buff_icon_12002502	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	香醇的咖啡香气四溢，让人不禁驻足品尝。	香醇的咖啡香氣四溢，讓人不禁駐足品嘗。	The rich aroma of coffee wafts through the air, enticing passersby to stop and indulge.	コーヒーの芳醇な香りがあたりに広がり、思わず足を止めて味わいたくなる。	향긋하고 진한 커피 향기는 사방에 퍼져 맛보고 싶게 만든다.	กลิ่น​หอมกรุ่น​ของ​กาแฟ​ลอย​อบอวล​ ชวน​ให้​หยุด​ลิ้มรส​
12002503	6	1	10103	123:nightcat_buff_icon_12002503	1	密卷	密卷	Secret Scroll	秘巻	비밀 문서	คัมภีร์ลับ	密卷上的字迹早已模糊不清，无人知晓那被世人遗忘的秘密。	密卷上的字跡早已模糊不清，無人知曉那被世人遺忘的秘密。	The writing on this scroll has long faded, leaving its forgotten secrets shrouded in mystery.	秘伝の巻物に記された文字はすでにぼやけており、そこに隠された世に忘れ去られた秘密を知る者はいない。	밀봉된 문서의 글씨는 흐릿하게 지워져 이미 세상 사람들에게서 비밀이 잊혀졌다.	อักษร​บน​คัมภีร์​นั้น​เลือนราง​ ไม่​มี​ผู้​ได้​ล่วงรู้​ถึง​ความลับ​ของ​โลก​ที่​ถูก​ผู้คน​ลืมเลือน​
12002504	6	1	10104	123:nightcat_buff_icon_12002504	1	宝箱	寶箱	Chest	宝箱	보물상자	หีบสมบัติ	那未曾开启的宝箱，究竟藏着怎样的宝物？	那未曾開啟的寶箱，究竟藏著怎樣的寶物？	What treasures might await within the unopened chest?	まだ開かれることのない宝箱の中には、いったいどんな宝物が隠されているのだろうか？	열리지 않은 보물 상자에는 도대체 어떤 것이 숨겨져 있을까?	หีบ​สมบัติ​ปิดผนึก​นั้น​ ซ่อน​ของล้ำค่า​อะไร​กัน​นะ​?​
12002505	6	1	10201	123:nightcat_buff_icon_12002505	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	无人在意的角落，一只黑猫静静走过。	無人在意的角落，一隻黑貓靜靜走過。	In a hidden corner, a black cat silently slips by.	誰の目にも留まらぬ片隅を、一匹の黒猫が静かに横切っていく。	아무도 신경 쓰지 않는 구석에 한 마리의 흑묘가 조용히 지나간다.	ใน​มุม​ที่​ไร้​ผู้​ใส่ใจ​ แมว​ดำ​ตัว​หนึ่ง​ก้าว​ผ่าน​ไป​อย่าง​เงียบงัน​
12002506	6	1	10202	123:nightcat_buff_icon_12002506	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	作为信息的日常载体，报纸每日都向公众传递着最新鲜的资讯。	作為資訊的日常載體，報紙每日都向公眾傳遞著最新鮮的資訊。	Newspapers, the daily vessels of information, convey the freshest news to the public.	日々の情報を伝える新聞は、今日も新鮮なニュースを世の人々へ届けている。	일반적인 정보 매개체로서 신문은 매일 대중에게 새로운 소식을 전달한다.	ใน​ฐานะ​สื่อ​ข้อมูล​รายวัน​ หนังสือพิมพ์​ยัง​ส่งต่อ​ข่าวสาร​สด​ใหม่​สู่​สาธารณะ​ทุกวัน​
12002507	6	1	10203	123:nightcat_buff_icon_12002507	1	锁链	鎖鏈	Chains	鎖	쇠사슬	โซ่ตรวน	锁链既能剥夺杀人者的呼吸，亦能束缚复仇者的自由。	鎖鏈既能剝奪殺人者的呼吸，亦能束縛復仇者的自由。	Chains possess the power to strip the murderer's breath and confine the avenger's freedom.	鎖は殺人者の息を奪い、同時に復讐者の自由をも縛りつける。	쇠사슬을 살인자의 숨을 앚아가고, 복수자의 자유도 구속할 수 있다.	โซ่ตรวน​พราก​ลมหายใจ​ของ​นักฆ่า​ และ​จองจำ​อิสรภาพ​ของ​ผู้​ล้างแค้น​
12002508	6	1	10204	123:nightcat_buff_icon_12002508	1	吊坠	吊墜	Pendant	ペンダント	펜던트	จี้	精美的吊坠泛着光亮，仿佛有着神秘的力量，静待着有人倾心，将其收入囊中。	精美的吊墜泛著光亮，仿佛有著神秘的力量，靜待著有人傾心，將其收入囊中。	This exquisite pendant glows mysteriously, waiting for its destined owner to claim it.	精巧なペンダントが淡い光を放ち、まるで神秘的な力を宿しているかのように、誰かに愛され手に取られる瞬間を静かに待っている。	정교한 펜던트가 빛을 반사해 마치 신비로운 힘을 지닌 것처럼 보였고, 조용히 누군가의 마음을 사로잡기를 기다리고 있다.	จี้​ที่​เปล่งประกาย​ราวกับ​แฝง​พลัง​ลึกลับ​ เฝ้ารอ​ผู้​ที่​หลงใหล​มา​ครอบครอง​มัน​
12002509	6	1	10301	123:nightcat_buff_icon_12002509	1	匕首	匕首	Dagger	ナイフ	단검	กริช	染血的匕首被遗落在街角，或许某些不幸早已悄然发生……	染血的匕首被遺落在街角，或許某些不幸早已悄然發生……	The bloodstained dagger lies forgotten at the street corner, hinting at misfortunes quietly unfolding...	血に染まった短剣が街角に捨てられている。ひょっとすると、すでに何か不幸な出来事がひそかに起きてしまったのかもしれない……	피로 물든 단검은 잔혹한 상징과 함께 불행이 벌어졌을 가능성을 암시한다.	กริช​เปื้อน​เลือด​ถูก​ทิ้ง​ไว้​ที่​มุมถนน​ บางที​โศกนาฏกรรม​อาจ​เกิด​ขึ้นไป​แล้ว​...​
