Id,Name,Race,Introduction,,,,Picture
5806001,Name_Introduction_5806001,Race_Introduction_5806001,Introduction_5806001,律,魔女,神谕司的枢机官，拥有非比寻常的直觉与嗅觉。虽然平日里总是马马虎虎，但是对于贯彻魔女的使命异常认真。,ui_dn_tj_mv_3000001
5806002,Name_Introduction_5806002,Race_Introduction_5806002,Introduction_5806002,黑神月咏,魔女,第四纪元以来实力最为强大的魔女，上议院黑神家族的继承人，同时也是神赦司的魔女队长。很会照顾人，偶尔会因缺乏生活常识而闹笑话。,ui_dn_tj_mv_3000003
5806003,Name_Introduction_5806003,Race_Introduction_5806003,Introduction_5806003,克萝萝,星痕,被侍主意外召唤出来的星痕，有着奇特的能力──克萝萝大百科、心灵沟通。和侍主心灵相通，一直黏在侍主身边。,ui_dn_tj_mv_3000002
5806004,Name_Introduction_5806004,Race_Introduction_5806004,Introduction_5806004,牧,半星痕,真理圣殿的审判长，是神国暴力机构的最高长官。牧是主神童年时饲养的宠物，后来成为其强大的助力。在进化为人形后成为米伦史上唯一一个半星痕。,ui_dn_tj_npc_5100001_2
5806005,Name_Introduction_5806005,Race_Introduction_5806005,Introduction_5806005,米娅,魔女,深渊贵族霍洛韦尔最后的族裔，有异于常人的战斗天赋。活泼开朗，不擅长拒绝的老好人。在行动时会尽量照顾每一个人的感受，有时候会有点腹黑。,ui_dn_tj_mv_3000005
5806006,Name_Introduction_5806006,Race_Introduction_5806006,Introduction_5806006,黑神伊娜,人类,黑神家现任家主，上议院领袖。温和大方，端庄华丽的贵妇人。任何时候的态度都是从容文雅，仪态中有极为出众的庄重感，但不至于盛气凌人。,ui_dn_tj_npc_5100005_2
5806007,Name_Introduction_5806007,Race_Introduction_5806007,Introduction_5806007,露西,魔女,卡尔佩恩家族的家主，国民议会议长，以其威严和聪慧著称。常有人称赞她，为人沉稳，认真，而不似年轻人那般毛躁。,ui_dn_tj_npc_5100003_2
5806008,Name_Introduction_5806008,Race_Introduction_5806008,Introduction_5806008,克蕾尔,魔女,神赦司司主，有着特殊能力——净化一切原罪，是所有人都非常尊敬的存在。平日里一直以冷峻形象示人，因而显得高贵、难以接近。,ui_dn_tj_npc_5100002_2
5806009,Name_Introduction_5806009,Race_Introduction_5806009,Introduction_5806009,罗德,人类,克莱因家现任家主，下议院领袖。在律法和规则方面有着近乎教条般的恪守，对于认定正确的事会坚定不移的执行下去，是一位称职且典型的克莱因。,ui_dn_tj_npc_5100004_2
5806010,Name_Introduction_5806010,Race_Introduction_5806010,Introduction_5806010,凯尔丝,魔女,灾厄之女，亦是神眷之人。与夸张的名头不同，平易近人，在正事上特别可靠。,ui_dn_tj_npc_5100006_2
5806011,Name_Introduction_5806011,Race_Introduction_5806011,Introduction_5806011,安洁,魔女,常年以来一直保持着理论成绩第一的魔女，擅长制定计划，并且拥有极强的执行能力。安静寡言，对任何人和事物的态度都很冷淡。,ui_dn_tj_mv_3000004
