id	activityId	placeId	unlockRepaintingQuestId	type	pic	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	levelName	levelName_zh_TW	levelName_en_UK	levelName_ja_JP	levelName_ko_KR	levelName_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1133101	1	101		1	173:activity_nokopara_chapter_configuration_1	0			1	15000					99	0	4	0	0	1	1-1	1-1	1-1	1-1	1-1	1-1	天降猫娘	天降貓娘	Catgirls Out of the Blue!	謎の郵便物	하늘에서 뚝 떨어진 고양이 소녀	สาวแมวฟ้าประทาน	一个平凡的周末，快递员送来了三个巨大的货箱。陌生的地址让你有些摸不着头脑，箱子里却突然传来响动……	一個平凡的週末，快遞員送來了三個巨大的貨箱。陌生的地址讓你有些摸不著頭腦，箱子裡卻突然傳來響動……	Three massive crates arrive at your door on a weekend. The unfamiliar address piques your curiosity as rustling sounds emerge from within...	ある日、しっかり包装された三つの大きなダンボールが届いた。見知らぬ送り先で戸惑っているところ、ダンボールの中からシリシリと物音が聞こえてきた。	어느 평범한 주말, 택배 기사가 커다란 화물 상자 3개를 배달했다. 낯선 주소에 고개를 갸우뚱하던 와중에 갑자기 상자 안에서 기척이 느껴지는데...	วันหยุดสุดสัปดาห์ทั่วไป ​มีพัสดุ​ขนาดใหญ่​สามกล่อง​ส่งมายัง​เบเกอร์คาเฟ่ ​เป็น​พัสดุ​ที่ส่ง​มาจาก​ที่อยู่​ที่ไม่​คุ้นเคย ​ทำให้​คุณ​รู้สึก​งุนงง​ในใจ ​แต่จู่ๆ ​ก็มี​เสียง​ดัง​ออก​มา​จาก​ใน​กล่อง​...​
1133102	1	101		1	173:activity_nokopara_chapter_configuration_2	1133101			1	15000					99	0	4	0	0	1	1-2	1-2	1-2	1-2	1-2	1-2	开店吧！	開店吧！	Let's Open a Shop!	お店を開こう！	가게 오픈!	มาเปิดร้านกัน!	由于地址错误，三位猫娘被送到了遥远的新海市，如何回家也成了一件麻烦的事情……	由於位址錯誤，三位貓娘被送到了遙遠的新海市，如何回家也成了一件麻煩的事情……	A shipping mishap has stranded the three catgirls in distant Catto City. Getting home is proving to be a challenge...	遠く離れた新海市に届けられたショコラ、バニラ、カカオは、しばらくここに留まることになった...	주소 표기 실수로 뉴오션 시티까지 배달된 고양이 소녀 세 명이라니, 집으로 돌려보내는 것도 번거로울 것 같은데...	เพราะที่อยู่ผิด ​แมวสาว​ทั้งสาม​จึงถูกส่ง​มาไกล​ถึง​แคทโตะ ซิตี้ ​การ​กลับบ้าน​กลาย​เป็น​เรื่อง​ยุ่งยาก​ซะแล้วสิ​...​
1133103	1	101		1	173:activity_nokopara_chapter_configuration_3	1133102			1	15000					99	0	4	0	0	1	1-3	1-3	1-3	1-3	1-3	1-3	那么，店名是……	那麼，店名是……	The Shop's Name Shall Be...	店の名前は？	그럼 가게 이름은...	ถ้างั้น ชื่อร้านก็คือ...	店面确定了下来，店名却迟迟无法确定。为了寻找灵感，三位猫娘为贝克猫的各位制作出了“特别”的饮料……	店面確定了下來，店名卻遲遲無法確定。為了尋找靈感，三位貓娘為貝克貓的各位製作出了“特別”的飲料……	Naming their new shop poses a challenge. Seeking inspiration, the catgirls craft special drinks for all at the Baker's Cafe.	店舗は無事に決まったが、店の名前がなかなか決まらない。インスピレーションを探すために、ショコラたちはチームベイカーキャットのために、「特製ドリンク」を用意した。	매장 위치는 정해졌지만 가게 이름은 아직 정하지 못했다. 영감을 얻기 위해 세 명의 고양이 소녀가 베이커캣 팀원들에게 ‘특별한’ 음료를 만들어 주는데...	ได้หน้าร้านแล้ว ​แต่ยังตั้งชื่อร้านไม่ได้ ​เพื่อหาแรงบันดาลใจ ​แมวสาว​ทั้งสาม​จึง​ทำ​เครื่องดื่ม​สูตร ​"พิเศษ" ​ให้​ทุกคน​ที่​เบเกอร์คาเฟ่​...​
1133104	1	101		2	173:activity_nokopara_chapter_configuration_4	1133103			1	15000	3000004	10		11101	99	0	4	0	0	1	1-4	1-4	1-4	1-4	1-4	1-4	为了厨具，战斗吧！	為了廚具，戰鬥吧！	Fight for the Kitchenware!	目指せ！ブランドキッチン用具！	주방 기구를 얻기 위해 도전!	ต่อสู้เพื่อเครื่องครัว!	店名仍未确定，众人决定先去商场购买开店所需的厨具。来到商场，一张海报吸引了众人的注意力……	店名仍未確定，眾人決定先去商場購買開店所需的廚具。來到商場，一張海報吸引了眾人的注意力……	Since the group was unable to decide on a name for the shop at the moment, they opted to head to the mall first to procure the necessary kitchenware. During a mall visit for kitchenware, the group spots a captivating poster...	キッチン用具を一式揃ってから、店の名前を考えることにした。しかし、ショッピングモールに着くと、巨大なキャンペーン広告ポスターが目に留まった。	가게 이름을 정하기 전에 우선 가게에 필요한 주방 기구를 구입하기로 했다. 쇼핑몰에 도착하니 포스터 한 장이 모두의 시선을 끄는데...	เมื่อยังตั้งชื่อร้านไม่ได้ ​ทุกคนเลยตัดสินใจ​ออกไปหาซื้อ​เครื่องครัวกันก่อน ​เมื่อ​มาถึง​ห้าง​สรรพสินค้า ​ก็ได้​พบกับ​โปสเตอร์​แผ่น​หนึ่ง​ที่​ดึงดูด​ความสนใจ​ของ​ทุกคน​...​
1133105	1	101		2	173:activity_nokopara_chapter_configuration_5	1133104			1	20000	3000004	10		11101	99	0	4	0	0	1	1-5	1-5	1-5	1-5	1-5	1-5	恐怖游戏专用眼镜	恐怖遊戲專用眼鏡	Horror Game Goggles	VR専用メガネ	공포 게임 전용 안경	แว่นตา​สำหรับเกมสยองขวัญโดยเฉพาะ	为了赢得厨具奖品，众人开始尝试通关游戏城的VR恐怖游戏，但都败下阵来。这时，香草想出了一个办法……	為了贏得廚具獎品，眾人開始嘗試通關遊戲城的VR恐怖遊戲，但都敗下陣來。這時，香草想出了一個辦法……	Eager to secure a grand prize, they attempt the arcade's VR horror game without success... Until Vanilla devises a plan.	二等賞のブランドキッチン用具をゲットするために、VRホラーゲームを挑戦することにした。しかし、あまりの恐怖度で全員は挑戦に失敗した。この時、バニラは策を考えた…	상품으로 걸린 주방 기구를 얻기 위해 게임 센터의 VR 공포 게임에 도전하지만 모두 실패하고 만다. 바로 그때, 바닐라가 좋은 아이디어를 떠올리는데...	เพื่อชิงรางวัลเครื่องครัว ​ทุกคนพยายามเล่นเกม ​VR ​สยองขวัญ​ที่ศูนย์เกม ​แต่กลับ​ไม่มี​ใคร​ผ่านด่าน จนกระทั้ง​วานิลลา​คิด​วิธี​บางอย่าง​ขึ้นมา​ได้​...​
1133106	1	101		1	173:activity_nokopara_chapter_configuration_6	1133105			1	20000					99	0	4	0	0	1	1-6	1-6	1-6	1-6	1-6	1-6	温暖的日与月	溫暖的日與月	Warm Times	太陽と月	따뜻한 해와 달 	ตะวันและจันทราอันอบอุ่น	开店所需的厨具准备好了，众人回到贝克猫庆祝放松。在温柔的月光下，大家终于想出了蛋糕店的店名。	開店所需的廚具準備好了，眾人回到貝克貓慶祝放鬆。在溫柔的月光下，大家終於想出了蛋糕店的店名。	Equipped with kitchen essentials, they return to Baker's Cafe to relax and choose a name for their cake store under the moonlight.	ついにキッチン用具の用意ができた。全員レストラン・ベイカーキャットに戻った。そして月の優しい光からインスピレーションを受け、やっと店の名前が決まった。	개점에 필요한 주방 기구를 마련한 뒤 사람들은 베이커캣으로 돌아가 서로 축하하고 휴식을 취했다. 부드러운 달빛 아래서 마침내 케이크 가게 이름을 생각해 냈다.	เมื่อได้เครื่องครัวที่ต้องการแล้ว ​ทุกคนก็กลับมาฉลองที่​เบเกอร์คาเฟ่ ​ภายใต้​แสงจันทร์​อัน​อ่อนโยน ​ในที่สุด​ทุกคน​ก็​คิด​ชื่อ​ร้านเค้ก​ออก​แล้ว​
1133201	1	102		2	173:activity_nokopara_chapter_configuration_7	1133106			1	25000	3000004	10		18201	99	0	4	0	0	1	2-1	2-1	2-1	2-1	2-1	2-1	忙碌的开始	忙碌的開始	A Busy Beginning	営業開始！	바쁜 시작	การเริ่มต้นที่วุ่นวาย	蛋糕店一开张就收获了巨大的客流量，你和非天在工作间隙前来查看情况，帮助三位猫娘应对困难。	蛋糕店一開張就收穫了巨大的客流量，你和非天在工作間隙前來查看情況，幫助三位貓娘應對困難。	The cake shop becomes a bustling success. You and Asura help the catgirls manage the delightful chaos between cases.	ケーキ屋は開店早々に大きな客流を集めた。アスラと一緒に様子を見にきて、ショコラたちの手伝いをした。	케이크 가게는 오픈하자마자 많은 손님이 몰렸다. 짬이 났을 때 아수라와 함께 가게 상황을 파악하고 곤란해하는 세 고양이 소녀를 도왔다.	ทันทีที่ร้านเค้กเปิด ​ก็มีลูกค้าอย่างล้นหลาม ​คุณ​และ​อาสึระ​แวะมาดู​สถานการณ์​ระหว่าง​ช่วงพัก ​และ​ได้ช่วย​แมวสาว​ทั้งสาม​รับมือ​กับ​ปัญหา​ต่างๆ​
1133202	1	102		2	173:activity_nokopara_chapter_configuration_8	1133201			1	30000	3000004	10		12101	99	0	4	0	0	1	2-2	2-2	2-2	2-2	2-2	2-2	想吃新鲜食物的垃圾桶傀	想吃新鮮食物的垃圾桶傀	Trash Can Anomaly Who Craves Fresh Food	ゴミ箱の傀に遭遇？！	방금 만든 음식이 먹고 싶은 쓰레기통 퍼펫	ถังขยะหุ่นเชิดที่อยากกินอาหารสดใหม่	打烊后，巧克力前往后巷倒垃圾，却遇到了一位特殊的客人：想吃新鲜食物的垃圾桶傀。	打烊後，巧克力前往後巷倒垃圾，卻遇到了一位特殊的客人：想吃新鮮食物的垃圾桶傀。	While handling the closing duties, Chocola encounters an unexpected visitor: The Trash Can Anomaly, craving something fresher...	閉店後、路地裏にゴミ捨てに行ったショコラは、新鮮な食べ物を食べたがっているゴミ箱の傀に遭遇した。	영업이 끝나고 쓰레기를 버리러 뒷골목에 간 쇼콜라는 특별한 손님과 마주친다. 손님은 바로 방금 만든 음식을 먹고 싶어 하는 쓰레기통 퍼펫이었다	หลังปิดร้าน ​ช็อกโกล่า​ไปทิ้งขยะ​ที่ตรอกหลังร้าน ​แต่กลับ​พบ​ลูกค้า​สุด​เซอร์ไพรส์ ​ซึ่งนั่นก็คือ ​ถังขยะ​หุ่นเชิด​ที่​อยาก​กิน​อาหาร​สด​ใหม่​
1133203	1	102		2	173:activity_nokopara_chapter_configuration_9	1133202			1	40000	3000004	10		12101	99	0	4	0	0	1	2-3	2-3	2-3	2-3	2-3	2-3	新鲜的食物，来了！	新鮮的食物，來了！	Freshly Cooked for You!	どうか、新鮮な食べ物を	신선한 음식이 왔습니다!	อาหารสดใหม่มาแล้ว!	在三位猫娘的努力下，新鲜出炉的蛋糕被端到了垃圾桶傀的面前。吃下食物的垃圾桶傀却产生了异常反应……	在三位貓娘的努力下，新鮮出爐的蛋糕被端到了垃圾桶傀的面前。吃下食物的垃圾桶傀卻產生了異常反應……	Presenting the Trash Can Anomaly with a freshly baked cake, the catgirls are met with unusual reactions.	みんなでばたばたして、ようやく美味しい料理を仕上げたが、料理を食べたゴミ箱の傀の様子が変だ……	세 고양이 소녀의 노력 덕에 갓 구운 케이크가 쓰레기통 퍼펫의 눈앞에 놓였다. 그러나 음식을 먹은 쓰레기통 퍼펫은 이상 반응을 보이는데...	ด้วยความพยายามของแมวสาวทั้งสาม ​เค้กอบใหม่หอมกรุ่น ​ถูกยก​มาเสิร์ฟ​ที่หน้า​ถังขยะ​หุ่นเชิด ​แต่​หลัง​กิน​เข้า​ไป ​ถังขยะ​หุ่นเชิด​กลับ​มี​ปฏิกิริยา​ผิด​ปกติ​...​
