eventId	storyId	npcId	type	randomId	unlockItem	eventWeight	eventUnlockWeight	isGuideEvent	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	15	1	1			80	40		1	迷失警戒线	迷失警戒線	Lost Cordon	迷いの非常線	폴리스 라인 실종	เส้นกีดขวางหายไป
1002	16	1	1			80	40		1	进步的方向	進步的方向	Path of Progress	前進の道	발전 방향	ทิศทางที่ก้าวหน้า
1003	17	1	1			80	40		1	注意！请平复情绪	注意！請平復情緒	Attention! Calm Down!	注意！落ち着いて	잠깐! 진정하세요	ระวัง​!​ กรุณา​สงบสติอารมณ์​
1004	18	1	1			80	40	1	1	兴衰的秘密	興衰的秘密	Secrets of Rise and Fall	栄枯盛衰の秘密	흥망성쇄의 비밀	ความลับ​ของ​ขา​ขึ้น​และ​ขา​ลง​
1005	19	1	1			80	40		1	错失的假期	錯失的假期	Missed Vacation	見逃した休日	놓쳐버린 휴가	วันหยุดที่ผิดพลาด
1006	20	1	1			80	40	1	1	请远离「光幕」	請遠離「光幕」	Stay Away from The Curtain	「光幕」に近づかないで	「빛의 장막」에서 떨어져	กรุณา​ออกห่าง​จาก​ "​ม่าน​แสง​"​
1007	12	1	1		5730004	80	40		1	料理与高端食材	料理與高端食材	Culinary Arts and Fine Ingredients	料理と高級食材	요리와 고급 식재료	อาหารและวัตถุดิบชั้นเลิศ
1008	11	1	1		4198001	80	40		1	消失的渔湾	消失的漁灣	Vanished Fishing Cove	消えた漁港	사라진 바다 낚시터	อ่าวปลาที่หายไป
1009	14	1	1		4102903	80	40	1	1	重在参与	重在參與	Participation Matters	まずは参加すること	재참가	สำคัญที่เข้าร่วม
1010	13	1	1		4100032	80	40		1	英雄，永不退缩	英雄，永不退縮	Heroes Never Back Down	ヒーローは後ずさりをしない	물러설 수 없는 영웅	วีรบุรุษ ไม่มีวันยอมแพ้
1011	1		2	999		50			1	随机字谜	隨機字謎	Random Riddles	ランダムクイズ	크로스워드	ปริศนาคำศัพท์แบบสุ่ม
1012	22	2	1			80	40		1	小心纠纷	小心糾紛	Beware of Disputes	争いを避ける	분쟁 조심	ระวังความขัดแย้ง
1013	23	2	1			80	40	1	1	法外追击者	法外追擊者	Outlaw Hunter	法外追撃者	치외법권 추격자	ผู้ไล่โจมตีนอกกฎหมาย
1014	25	2	1			80	40	1	1	正义之钟	正義之鐘	Bell of Justice	正義の鐘	정의의 종	ระฆังแห่งความยุติธรรม
1015	26	2	1			80	40	1	1	请勿自暴自弃	請勿自暴自棄	No Giving Up	自分を諦めないで	포기하지 마세요	โปรดอย่ายอมแพ้ตัวเอง
1016	28	2	1			80	40		1	佣兵的原则	傭兵的原則	Mercenary's Code	傭兵の原則	용병의 원칙	หลักการของทหารรับจ้าง
1017	29	2	1			80	40	1	1	无回城往事	無回城往事	Tales of Reaver City	不帰ノ城の昔話	네버백의 과거	เรื่องราว​เมือง​ไม่​หวนคืน​
1018	21	2	1		5720003	80	40		1	超距离订单	超距離訂單	Long-Distance Order	超長距離オーダー	장거리 배달 주문	คำสั่งซื้อทางไกล
1019	24	2	1		5710001	80	40		1	被识破的阴谋	被識破的陰謀	Exposed Conspiracy	暴かれた陰謀	간파당한 음모	แผนร้ายที่โดนเปิดโปง
1020	27	2	1		5400004	80	40	1	1	甜蜜往昔	甜蜜往昔	Sweet Memories	甘い思い出	달콤한 과거	อดีตอันแสนหวาน
1021	30	2	1		3000002	80	40	1	1	真假之分	真假之分	Line Between Real and Fake	本物と偽物	진실과 거짓	แบ่งแยกความจริงเท็จ
1022	31	3	1			80	40		1	限定好运	限定好運	Limited Luck	限定の幸運	한정된 행운	โชคลาภที่มีจำกัด
1023	32	3	1			80	40		1	闭店疑云	閉店疑雲	Mystery of the Closed Shop	休業の謎	폐점 의혹	การปิดร้านที่น่าสงสัย
1024	33	3	1			80	40		1	乐园迷踪	樂園迷蹤	Lost Wonderland	楽園の迷宮	파라다이스 실종	สวนสนุกที่หายไป
1025	34	3	1			80	40		1	移动乌云	移動烏雲	Drifting Dark Clouds	移動する雲	먹구름 이동	เมฆดำที่เคลื่อนย้าย
1026	35	3	1			80	40		1	紧急作废	緊急作廢	Urgent Annulment	緊急廃除	긴급 폐기	โมฆะด่วน
1027	36	3	1			80	40		1	社会性休眠	社會性休眠	Societal Hibernation	社会的ハイバネーション	사회적 휴면	การจำศีลทางสังคม
1028	37	3	1		4199003	80	40		1	凶恶劫掠者	兇惡劫掠者	Vicious Marauder	凶悪な略奪者	흉악한 약탈자	นักโจรกรรมที่ชั่วร้าย
1029	38	3	1		5740003	80	40		1	爆米花，离家出走	爆米花，離家出走	Popcorn's Escape	ポップコーン、家出をする	팝콘, 가출하다	ป๊อปคอร์น​ หนี​ออกจาก​บ้าน​
1030	39	3	1		4199002	80	40		1	小猫的眷顾	小貓的眷顧	Kitten's Favor	子猫のお気に入り	고양이 보호자	การ​เอาใจใส่​ของ​แมว​น้อย​
1031	40	3	1		8000531	80	40		1	注定的一生	註定的一生	Predestined Life	定められた人生	정해진 운명	ชีวิตที่กำหนดไว้แล้ว
1032	41	4	1			80	40	1	1	不必仰望	不必仰望	Don't Look Up	見上げる必要はない	부러워할 필요없다	ไม่จำเป็นต้องชื่นชม
1033	42	4	1			80	40		1	撬不动的墙角	撬不動的牆角	Unshakeable Cornerstone	こじ開けないコーナー	옮길 수 없는 담 모퉁이	มุมกำแพงที่แงะไม่ได้
1034	43	4	1			80	40	1	1	行走的植物全书	行走的植物全書	Walking Flora Encyclopedia	植物学の生き字引	걸어다니는 식물사전	หนังสือ​พืช​เดิน​ได้​ฉบับ​สมบูรณ์​
1035	44	4	1			80	40		1	误区消除术	誤區消除術	Art of Clarifying Misunderstandings	誤解排除	오류 제거술	วิชาการ​ปัดเป่า​ความเข้าใจผิด​
1036	47	4	1			80	40	1	1	时尚的标准	時尚的標準	Fashion Benchmark	ファッションの基準	패션의 기준	มาตรฐานของแฟชัน
1037	48	4	1			80	40	1	1	傲慢的代价	傲慢的代價	Price of Arrogance	傲慢の代償	오만의 대가	สิ่ง​ที่​ต้อง​แลก​กับ​ความ​จองหอง​
1038	45	4	1		4110001	80	40	1	1	期盼之心	期盼之心	Heart of Anticipation	楽しみな気分	기대하는 마음	รอคอยความหวัง
