id	icon	type	url	weight	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	content	content_zh_TW	content_en_UK	content_ja_JP	content_ko_KR	content_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
400001		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	猫咪肛门左右的两个「小点」是「肛门腺」，肛门腺分泌的信息素可以用来标记领土、威慑敌人。	貓咪肛門左右的兩個「小點」是「肛門腺」，肛門腺分泌的資訊素可以用來標記領土、威懾敵人。	The two little dots beside a cat's anus are its "anal glands." The pheromones secreted by the anal glands can mark a cat's territory and intimidate its enemies.	猫の「肛門腺」とは、肛門の左右にある小さな点のことで、分泌するフェロモンは領土を示すマーキングや敵を威嚇するために使用されます。	고양이 항문 주위의 두 개의 '작은 점'은 '항문선'으로, 항문선에서 분비하는 페로몬은 영역 표시나 적을 위협하는 데 사용된답니다.	จุด​สอง​จุด​ที่อยู่​ซ้าย​ขวา​ของ​ทวารหนัก​แมว​คือ​ "​ต่อม​ทวารหนัก​"​ ซึ่ง​จะ​หลั่ง​ฟีโรโมน​เพื่อ​ใช้​ใน​การ​ทำเครื่องหมาย​อาณาเขต​และ​ข่มขู่​ศัตรู​
400002		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	很多花草对猫咪都是有害的，比如：百合花、绿萝、常春藤等。	很多花草對貓咪都是有害的，比如：百合花、綠蘿、常春藤等。	Many plants are harmful to cats, such as lilies, pothos, and ivy.	多くの花や草は猫にとって有害であり、例えば百合、スパティフィラム、アイビーなどが含まれます。	많은 식물이 고양이에게 해로울 수 있습니다. 예를 들어: 백합, 스킨답서스, 아이비 등.	ดอกไม้​และ​พืช​หลายชนิด​เป็นอันตราย​ต่อ​แมว​ เช่น​ ดอก​ลิลลี่​ พลู​ด่าง​ และ​ไอ​วี่​
400003		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	大多数的猫咪都讨厌柑橘的气味。	大多數的貓咪都討厭柑橘的氣味。	Most cats dislike the scent of citrus.	ほとんどの猫は柑橘類の香りを嫌います。	대부분의 고양이들은 감귤류의 냄새를 싫어합니다.	แมว​ส่วนใหญ่​ไม่​ชอบ​กลิ่น​ของ​ผลไม้​ตระกูล​ส้ม​
400004		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	90%的猫咪都是A型血，而不同品种的猫，血型的比例也会不同。	90%的貓咪都是A型血，而不同品種的貓，血型的比例也會不同。	90% of all cats have Type-A blood. Different cat breeds will have various distributions of blood types.	猫の90％がA型血液型であり、品種によって血液型の割合は異なることがあります。	90%의 고양이는 A형입니다, 하지만 다른 품종의 고양이는 혈액형 비율이 다를 수 있습니다.	90%​ ของ​แมว​มี​หมู่​เลือด​ A​ แต่​สัดส่วน​ของ​หมู่​เลือด​อาจ​แตก​ต่างกัน​ไป​ตาม​สายพันธุ์​
400005		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	如果摸到猫咪的肚子上有「小豆豆」，请不要用力扣它们，那可能是猫咪的胸噢。	如果摸到貓咪的肚子上有「小豆豆」，請不要用力扣它們，那可能是貓咪的胸唷。	If you find little bumps on your cat's tummy, please don't try to yank them! Those might be the cat's nipples.	猫のお腹に「小さな豆」を感じたら、強く押さえないでください。それは猫の乳首かもしれません。	고양이의 배에 「작은 콩」처럼 생긴 것을 만졌다면, 세게 누르지 말아야 합니다, 그것은 고양이의 젖꼭지일지도 모르니까요.	หาก​คุณ​สัมผัส​ได้​ถึง​ "​ปุ่ม​เล็ก​ๆ​"​ บน​ท้อง​แมว​ อย่า​บี​บแรง​เกินไป​ เพราะ​อาจ​เป็น​เต้านม​ของ​แมว​
400006		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	冬季可以尝试将猫咪碗里的水换成温水。	冬季可以嘗試將貓咪碗裡的水換成溫水。	You can try changing the water in a cat's water bowl to warm water in the winter.	冬には、猫の水の入ったボウルを温水に変えることが試みられます。	겨울에는 고양이의 물그릇에 따뜻한 물을 넣어줘도 된답니다.	ใน​ช่วง​ฤดูหนาว​ สามารถ​ลอง​เปลี่ยน​น้ำ​ใน​ชาม​ของ​เจ้า​เหมียว​ให้​เป็น​น้ำอุ่น​ได้​
400007		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	很多猫咪都有乳糖不耐受症，喝了牛奶会拉肚子，因此只能喝羊奶或零乳糖的牛奶。	很多貓咪都有乳糖不耐受症，喝了牛奶會拉肚子，因此只能喝羊奶或零乳糖的牛奶。	Many cats are lactose intolerant and will have an upset stomach if they drink milk. Therefore, they can only drink goat milk, sheep milk, or lactose-free cow milk.	多くの猫が乳糖不耐症を持っており、牛乳を飲むと下痢を引き起こすため、羊乳や無乳糖の牛乳しか飲むことができません。	많은 고양이가 유당 불내증을 가지고 있어서, 우유를 마시면 설사를 할 수 있습니다. 그래서 양젖이나 락토프리 우유만 마실 수 있답니다.	แมว​หลาย​ตัว​มี​อาการ​แพ้​แลคโตส​ การ​ดื่ม​นมวัว​อาจ​ทำให้​ท้องเสีย​ ดังนั้น​ควร​ให้​ดื่ม​นม​แพะ​หรือ​นมวัว​ที่​ไม่​มี​แลคโตส​แทน​
400008		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	由于雄性激素的作用，公猫普遍看起来比母猫「更大一号」。	由於雄性激素的作用，公貓普遍看起來比母貓「更大一號」。	Male cats usually look bigger than female cats due to testosterone.	雄猫は雌猫よりも「一回り大きく」見えることが多いですが、これは男性ホルモンの影響によるものです。	남성 호르몬의 작용으로 인해, 수컷 고양이는 일반적으로 암컷보다「더 크게」 보인답니다.	เนื่องจาก​ฮอร์โมน​เพศ​ผู้​ โดยทั่วไป​แมว​ตัวผู้​มักจะ​ดูตัว​ใหญ่​กว่า​แมว​ตัวเมีย​
400009		4		100	1	小猫咪课堂开课啦！	小貓咪課堂開課啦！	The Kitten Class Is Starting!	ニャンニャン教室が始まります！	고양이 교실	เปิด​คลาส​เรียน​ของ​เจ้า​เหมียว​!​	和人类的指纹一样，猫咪的鼻纹也是独一无二的身份象征。	和人類的指紋一樣，貓咪的鼻紋也是獨一無二的身份象徵。	Like human fingerprints, a cat's nose print is unique to each individual.	猫の鼻紋は人間の指紋と同様に、独自の識別記号です。	사람의 지문과 같이, 고양이의 코 무늬도 자신만의 고유한 상징 중 하나랍니다.	เช่นเดียวกับ​ลายนิ้วมือ​ของ​มนุษย์​ ลาย​จมูก​ของ​แมว​ก็​เป็น​เอกลักษณ์​เฉพาะตัว​เช่นกัน​
