id	type	showType	quality	stack	openType	openParameter	photoId	storeIcon	effectType	effectId	effectNum	Maxnum	cardId	needNum	skinId	heXieId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
6000001	60	601	5	-1			6:goods_icon_6000001	185:store_scene_bg_11300102					113001		11300102		1	灯下缱绻	燈下繾綣	Tender Moments	灯下のぬくもり	등불 아래 아쉬움	แสงไฟอันอบอุ่น	用于解锁 浮光跃金 的深度互动。	用於解鎖 浮光躍金 的深度互動。	Used to unlock the immersive interaction of "Flying Embers (Gleam)."	「火樹流光」のお触りイベントを解放するのに使える。	반짝반짝 시네마틱 인터랙션을 해제할 때 사용된다.	ใช้​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​ประกาย​แสง​สี​ทอง​"​	亲友的婚礼即将举行，云灿作为重要的伴娘，穿上了你为她精心挑选的伴娘礼服，她似乎还有别的愿望…	親友的婚禮即將舉行，雲燦作為重要的伴娘，穿上了你為她精心挑選的伴娘禮服，她似乎還有別的願望…	With her close friend's wedding on the horizon, Yuncan, as a key bridesmaid, slipped into the carefully chosen gown you selected for her, yet it seemed she harbored another desire...	親友の結婚式が間近に迫り、雲燦はブライズメイドとして、あなたが選んでくれたドレスに身を包んだが……どうやら彼女にはまだ別の願いがあるようで……	친구의 결혼식이 곧 열리는데, 운찬이 들러리로서 당신이 정성스럽게 골라준 들러리 드레스를 입었다. 그녀에게는 아직 다른 소원이 있는 것 같다...	งานแต่งงาน​ของ​เพื่อนสนิท​กำลังจะ​เริ่ม​ขึ้น​ หยุ​น​ซาน​ใน​ฐานะ​เพื่อนเจ้าสาว​ได้​สวม​ชุด​เพื่อนเจ้าสาว​ที่​คุณ​ตั้งใจ​เลือก​ให้​ แต่​ดูเหมือนว่า​เธอ​ยังมี​ความปรารถนา​อื่น​อยู่​...​
6000002	60	601	5	-1			6:goods_icon_6000002	185:store_scene_bg_11400102					114001		11400102		1	婆娑私语	婆娑私語	Whispers of the Willow	揺れるささやき	속삭임	เสียงกระซิบของสายลม	用于解锁 玉润冰沁 的深度互动。	用於解鎖 玉潤冰沁 的深度互動。	Used to unlock the immersive interaction of "Sunset Radiance (Meltflake)."	「夕雪晩照」のお触りイベントを解放するのに使える。	블링블링 시네마틱 인터랙션을 해제할 때 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​หยก​น้ำแข็ง​พิสุทธิ์​"​	亲友的婚礼即将举行，云沛作为重要的伴娘，穿上了你为她精心挑选的伴娘礼服，她似乎还有别的愿望…	親友的婚禮即將舉行，雲沛作為重要的伴娘，穿上了你為她精心挑選的伴娘禮服，她似乎還有別的願望…	With her close friend's wedding on the horizon, Yunpei, as a key bridesmaid, slipped into the carefully chosen gown you selected for her, yet it seemed she harbored another desire...	親友の結婚式が間近に迫り、雲沛はブライズメイドとして、あなたが選んでくれたドレスに身を包んだが……どうやら彼女にはまだ別の願いがあるようで……	친구의 결혼식이 곧 열리는데, 운비가 들러리로서 당신이 정성스럽게 골라준 들러리 드레스를 입었다. 그녀에게는 아직 다른 소원이 있는 것 같다...	งานแต่งงาน​ของ​เพื่อนสนิท​กำลังจะ​เริ่ม​ขึ้น​ หยุ​น​เพ่​ย​ใน​ฐานะ​เพื่อนเจ้าสาว​ได้​สวม​ชุด​เพื่อนเจ้าสาว​ที่​คุณ​ตั้งใจ​เลือก​ให้​ แต่​ดูเหมือนว่า​เธอ​ยังมี​ความปรารถนา​อื่น​อยู่​...​
6000003	60	601	5	-1			6:goods_icon_6000003	185:store_scene_bg_11100250					111002		11100250	6100001	1	胜利后的奖励	勝利後的獎勵	Victory Reward	勝利後のご褒美	승리 후의 보상	รางวัลหลังได้รับชัยชนะ	用于解锁 庆功夜浴 的深度互动。	用於解鎖 慶功夜浴 的深度互動。	Used to unlock the immersive interaction of "Victory Bath."	「勝利後のご褒美」のお触りイベントを解放するのに使える。	승리 후의 보상-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​ไน​ต์​บา​ธ​ปาร์ตี้​"​	庆功宴后，微醺的安雅来到浴室，在缥缈的雾气中若隐若现的是动人心魄的....	慶功宴後，微醺的安雅來到浴室，在縹緲的霧氣中若隱若現的是動人心魄的....	After the celebratory feast, a somewhat tipsy Anja wobbled her way to the bathroom, where an alluring silhouette flickered through the misty haze...	打ち上げのあと、ほろ酔い気分のアンヤはバスルームへ。漂う湯気の向こうに、心を揺さぶるその姿がかすかに見え隠れして――	축하 파티가 끝난 뒤, 조금 취한 아냐는 욕실에 돌아왔고, 몽환적인 안개 속에 드러난 것은 사람의 마음을 흔드는…	หลัง​งานเลี้ยง​ฉลอง​ อัน​ยา​ที่​เมา​เล็กน้อย​เดิน​เข้า​ห้องอาบน้ำ​ ใน​ท่ามกลาง​หมอก​ควัน​จางๆ​ เผย​ให้​เห็น​ร่าง​ที่​น่าหลงใหล​...​
6000004	60	601	5	-1			6:goods_icon_6000004	185:store_scene_bg_10302150					103021		10302150		1	迷离之夜	迷離之夜	Night of Illusions	迷乱の夜	몽환의 밤	ราตรีอันพร่ามัว	用于解锁 雾浴迷情 的深度互动。	用於解鎖 霧浴迷情 的深度互動。	Used to unlock the immersive interaction of "Mistveil of Passion."	「魅惑のひととき」のお触りイベントを解放するのに使える。	안갯속 유혹-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​เสน่ห์​หมอก​ลุ่มลึก​"​	忙碌的一天过后，特莉丝习惯好好泡个澡，消除身体的疲劳，可今天特莉丝似乎遇到了什么情况需要帮助...	忙碌的一天過後，特莉絲習慣好好泡個澡，消除身體的疲勞，可今天特莉絲似乎遇到了什麼情況需要幫助...	At the end of a long, busy day, Triss usually indulged in a soothing soak in the tub to ease her fatigue. However, today she found herself facing an unexpected dilemma that called for a helping hand...	忙しい一日を終えたあと、トリスはいつものように湯に浸かり、体の疲れを癒していた。だが今日は、どうやら何か困ったことが起きているようで、助けが必要みたいだ……	바쁜 하루를 보낸 후, 트리스는 몸의 피로를 풀기 위해 목욕을 하는 것을 즐기지만, 오늘은 트리스에게 도움이 필요한 상황이 생긴 것 같다...	หลังจาก​วันที่​ยุ่งเหยิง​ ท​ริ​ส​มักจะ​อาบน้ำ​เพื่อ​ผ่อนคลาย​ความ​เหนื่อยล้า​ แต่​วันนี้​ดูเหมือนว่า​เธอ​จะ​เจอ​ปัญหา​บางอย่าง​ที่​ต้องการ​ความช่วยเหลือ​...​
6000005	60	601	6	-1			6:goods_icon_6000005	185:store_scene_bg_12900250					129002		12900250		1	危情搜查开始！	危情搜查開始！	Emergency Investigation Begins!	捜査開始	밀실조사	เริ่มปฏิบัติการตรวจค้นเสน่ห์อันตราย!	用于解锁 危情夜媚 的深度互动。	用於解鎖 危情夜媚 的深度互動。	Used to unlock the immersive interaction of "Enchanting Night."	「捜査開始」のお触りイベントを解放するのに使える。	밀실조사-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​ ไนต์​แอ​งเจิล​"​	引诱可爱的猎物对丝薇蒂而言可谓轻车熟路。她等着出场的时机，只是猎人还是猎物，一切尚未可知…	引誘可愛的獵物對絲薇蒂而言可謂輕車熟路。她等著出場的時機，只是獵人還是獵物，一切尚未可知…	Luring in cute prey is a breeze for Sylviette. She waits patiently, yet whether she's the hunter or the hunted, the result remains unknown…	可愛い獲物を誘い込むことなど、シルヴェッティにとってはお手の物。彼女は出番の時を待っている――ただし、獲物と狩人、どちらになるかはまだ分からない……	귀여운 사냥감을 유인하는 건 스위티에게는 일상적인 일이다. 나타날 타이밍을 기다리지만, 사냥꾼 혹은 먹이 중 어느 쪽이 될지는 아직 알 수 없다…	การ​ล่อลวง​เหยื่อ​ที่​น่ารัก​ถือ​เป็นความ​เชี่ยวชาญ​ของ​ซิ​ลเว็ตต์​ แต่​ระหว่าง​นัก​ล่า​และ​เหยื่อ​ ใคร​จะ​เป็น​ใคร​ยังคง​ไม่​แน่ชัด​...​
6000006	60	601	5	-1			6:goods_icon_6000006	185:store_scene_bg_13600850					136008		13600850		1	浇灌花园的午后	澆灌花園的午後	Afternoon Garden Tending	花園アフタヌーン	정원에 물주는 오후	การรดน้ำสวนยามบ่าย	用于解锁 春色满园 的深度互动。	用於解鎖 春色滿園 的深度互動。	Used to unlock the immersive interaction of "Bountiful Bloom."	「春の陽気に包まれて」のお触りイベントを解放するのに使える。	봄의 정원-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​สปริง​การ์​เดน​"​	天气晴朗，法夕黛像往常一样在花园里浇花，没想到浇花的水枪出了问题，花园里水花四溅……	天氣晴朗，法夕黛像往常一樣在花園裡澆花，沒想到澆花的水槍出了問題，花園裡水花四濺……	On a sunny afternoon, Felicia is tending to her garden as she does every day. But suddenly, something goes awry with her water hose, causing it to suddenly burst and splash water everywhere.	晴れ渡る空の下、ファルスタはいつものように庭の花に水をやっていた。だが水やり用のホースにトラブルが起き、庭中に水しぶきが飛び散ってしまう……	날씨가 맑은 오후, 파르시타는 평소처럼 정원에서 꽃에 물을 주고 있었지만, 물뿌리개에 문제가 생겨 물이 사방으로 튀어버렸다…	ใน​วันที่​ท้องฟ้า​ปลอดโปร่ง​ เฟ​ริ​เซีย​รดน้ำต้นไม้​ใน​สวน​เหมือน​ทุกครั้ง​ แต่​ไม่​คาดคิด​ว่า​เครื่อง​ฉีด​น้ำ​จะ​มีปัญหา​ ทำ​ให้น้ำ​สาด​กระเซ็น​ไป​ทั่ว​สว​น.​..​
6000007	60	601	5	-1			6:goods_icon_6000007	185:store_scene_bg_12700150					127001		12700150		1	由身入心的放松	由身入心的放鬆	Restful Retreat	身を以て心に伝う	마음을 다하는 서비스	วิถีแห่งการผ่อนคลาย	用于解锁 幽夜密会 的深度互动。	用於解鎖 幽夜密會 的深度互動。	Used to unlock the immersive interaction of "Restful Retreat."	「身を以て心に伝う」のお触りイベントを解放するのに使える。	늦은 밤의 밀회-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "เดตลับคืนสลัว"​	夜幕低垂，微风穿梭于夜色之中，带着些许凉意，而在床榻上身着薄衣的祈，正等待着某位重要的客人到来……	夜幕低垂，微風穿梭於夜色之中，帶著些許涼意，而在床榻上身著薄衣的祈，正等待著某位重要的客人到來……	As night descends and a gentle breeze carries a hint of coolness, Qi lounges on the bed, dressed lightly, awaiting an important guest…	夜の帳が降り、そよ風が涼しさを運んでくる。薄衣をまとった祈はベッドの上で、ある大切な客人の訪れを静かに待っていた……	어두운 밤이 내려앉고, 잔잔한 바람이 스쳐 지나가며 약간의 서늘함을 전한다. 침대에 얇은 옷을 입고 누워 있는 기는 중요한 손님의 도착을 기다리고 있다…	ยามค่ำคืน​ บรรยากาศ​เย็นสบาย​ บน​เตียง​ที่​มี​คน​สวมใส่​เสื้อ​บางเบา​อย่าง​ฉี​ เธอ​กำลัง​รอ​แขก​สำคัญ​บางคน​มาถึง​...​
6000008	60	601	5	-1			6:goods_icon_6000008	185:store_scene_bg_14100850					141008		14100850		1	炎夏海滩的绮梦	炎夏海灘的綺夢	Sun-kissed Seashore Reverie	夏薫る砂浜の綺夢にて	여름 해변에서의 꿈	ซัมเมอร์ดรีม	用于解锁 浪涌夏梦 的深度互动。	用於解鎖 浪湧夏夢 的深度互動。	Used to unlock the immersive interaction of "Sun-kissed Seashore Reverie."	「サマードリーム」のお触りイベントを解放するのに使える。	파도와 여름의 꿈-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​ฮาร์ททัช​"​	海浪轻拍着细腻的沙滩，宛如自然界最悠扬的摇篮曲，在躺椅上沉沉睡去的铃，似乎已沉浸在美好的梦境之中……	海浪輕拍著細膩的沙灘，宛如自然界最悠揚的搖籃曲，在躺椅上沉沉睡去的鈴，似乎已沉浸在美好的夢境之中……	The waves softly caress the beach, creating a calming natural melody. Linn, peacefully napping on the lounge chair, appears to have slipped into a delightful dream…	波がやさしく打ち、まるで自然が奏でる子守歌のように。ビーチチェアで眠り込んだリンは、どうやら甘い夢を見ているようだ……	바다의 파도가 부드럽게 고운 모래사장을 두드리는 게, 마치 자연의 은은한 자장가처럼 들린다. 의자에 깊은 잠에 빠진 린은 아름다운 꿈속에 빠져 있는 것 같다…	เสียง​คลื่น​กระทบ​ชายหาด​ ราวกับ​บทเพลง​กล่อม​ที่​ไพเราะ​ที่สุด​ ลินน์​ที่​นอนหลับ​อยู่​บน​เก้าอี้​ชายหาด​ดูเหมือน​กำลัง​จมดิ่ง​อยู่​ใน​ความฝัน​อัน​แสน​หวา​น.​..​
6000009	60	601	6	-1			6:goods_icon_6000009	185:store_scene_bg_12900150					129001		12900150		1	危情搜查开始！	危情搜查開始！	Emergency Investigation Begins!	捜査開始	밀실조사	เริ่มปฏิบัติการตรวจค้นเสน่ห์อันตราย!	用于解锁 危情夜媚 的深度互动。	用於解鎖 危情夜媚 的深度互動。	Used to unlock the immersive interaction of "Enchanting Night."	「捜査開始」のお触りイベントを解放するのに使える。	밀실조사-시네마틱 인터랙션 해제 시에 사용된다.	ใช้​สำหรับ​ปลดล็อก​การโต้ตอบ​เชิง​ลึก​กับ​ "​ ไนต์​แอ​งเจิล​"​	引诱可爱的猎物对丝薇蒂而言可谓轻车熟路。她等着出场的时机，只是猎人还是猎物，一切尚未可知…	引誘可愛的獵物對絲薇蒂而言可謂輕車熟路。她等著出場的時機，只是獵人還是獵物，一切尚未可知…	Luring in cute prey is a breeze for Sylviette. She waits patiently, yet whether she's the hunter or the hunted, the result remains unknown…	可愛い獲物を誘い込むことなど、シルヴェッティにとってはお手の物。彼女は出番の時を待っている――ただし、獲物と狩人、どちらになるかはまだ分からない……	귀여운 사냥감을 유인하는 건 스위티에게는 일상적인 일이다. 나타날 타이밍을 기다리지만, 사냥꾼 혹은 먹이 중 어느 쪽이 될지는 아직 알 수 없다…	การ​ล่อลวง​เหยื่อ​ที่​น่ารัก​ถือ​เป็นความ​เชี่ยวชาญ​ของ​ซิ​ลเว็ตต์​ แต่​ระหว่าง​นัก​ล่า​และ​เหยื่อ​ ใคร​จะ​เป็น​ใคร​ยังคง​ไม่​แน่ชัด​...​
